country,region,start_date,end_date,year,week,population,total_deaths
Israel,Israel,28/12/2014,03/01/2015,2015,1,9176200,938
Israel,Israel,04/01/2015,10/01/2015,2015,2,9176200,1006
Israel,Israel,11/01/2015,17/01/2015,2015,3,9176200,1029
Israel,Israel,18/01/2015,24/01/2015,2015,4,9176200,1049
Israel,Israel,25/01/2015,31/01/2015,2015,5,9176200,1087
Israel,Israel,01/02/2015,07/02/2015,2015,6,9176200,1091
Israel,Israel,08/02/2015,14/02/2015,2015,7,9176200,1046
Israel,Israel,15/02/2015,21/02/2015,2015,8,9176200,1050
Israel,Israel,22/02/2015,28/02/2015,2015,9,9176200,1010
Israel,Israel,01/03/2015,07/03/2015,2015,10,9176200,1009
Israel,Israel,08/03/2015,14/03/2015,2015,11,9176200,1012
Israel,Israel,15/03/2015,21/03/2015,2015,12,9176200,863
Israel,Israel,22/03/2015,28/03/2015,2015,13,9176200,935
Israel,Israel,29/03/2015,04/04/2015,2015,14,9176200,907
Israel,Israel,05/04/2015,11/04/2015,2015,15,9176200,832
Israel,Israel,12/04/2015,18/04/2015,2015,16,9176200,777
Israel,Israel,19/04/2015,25/04/2015,2015,17,9176200,825
Israel,Israel,26/04/2015,02/05/2015,2015,18,9176200,807
Israel,Israel,03/05/2015,09/05/2015,2015,19,9176200,852
Israel,Israel,10/05/2015,16/05/2015,2015,20,9176200,774
Israel,Israel,17/05/2015,23/05/2015,2015,21,9176200,835
Israel,Israel,24/05/2015,30/05/2015,2015,22,9176200,784
Israel,Israel,31/05/2015,06/06/2015,2015,23,9176200,718
Israel,Israel,07/06/2015,13/06/2015,2015,24,9176200,734
Israel,Israel,14/06/2015,20/06/2015,2015,25,9176200,780
Israel,Israel,21/06/2015,27/06/2015,2015,26,9176200,773
Israel,Israel,28/06/2015,04/07/2015,2015,27,9176200,792
Israel,Israel,05/07/2015,11/07/2015,2015,28,9176200,767
Israel,Israel,12/07/2015,18/07/2015,2015,29,9176200,740
Israel,Israel,19/07/2015,25/07/2015,2015,30,9176200,798
Israel,Israel,26/07/2015,01/08/2015,2015,31,9176200,739
Israel,Israel,02/08/2015,08/08/2015,2015,32,9176200,898
Israel,Israel,09/08/2015,15/08/2015,2015,33,9176200,748
Israel,Israel,16/08/2015,22/08/2015,2015,34,9176200,824
Israel,Israel,23/08/2015,29/08/2015,2015,35,9176200,775
Israel,Israel,30/08/2015,05/09/2015,2015,36,9176200,782
Israel,Israel,06/09/2015,12/09/2015,2015,37,9176200,786
Israel,Israel,13/09/2015,19/09/2015,2015,38,9176200,816
Israel,Israel,20/09/2015,26/09/2015,2015,39,9176200,771
Israel,Israel,27/09/2015,03/10/2015,2015,40,9176200,788
Israel,Israel,04/10/2015,10/10/2015,2015,41,9176200,790
Israel,Israel,11/10/2015,17/10/2015,2015,42,9176200,846
Israel,Israel,18/10/2015,24/10/2015,2015,43,9176200,804
Israel,Israel,25/10/2015,31/10/2015,2015,44,9176200,800
Israel,Israel,01/11/2015,07/11/2015,2015,45,9176200,848
Israel,Israel,08/11/2015,14/11/2015,2015,46,9176200,849
Israel,Israel,15/11/2015,21/11/2015,2015,47,9176200,865
Israel,Israel,22/11/2015,28/11/2015,2015,48,9176200,863
Israel,Israel,29/11/2015,05/12/2015,2015,49,9176200,795
Israel,Israel,06/12/2015,12/12/2015,2015,50,9176200,941
Israel,Israel,13/12/2015,19/12/2015,2015,51,9176200,931
Israel,Israel,20/12/2015,26/12/2015,2015,52,9176200,949
Israel,Israel,27/12/2015,02/01/2016,2015,53,9176200,1000
Israel,Israel,03/01/2016,09/01/2016,2016,1,9176200,1036
Israel,Israel,10/01/2016,16/01/2016,2016,2,9176200,1044
Israel,Israel,17/01/2016,23/01/2016,2016,3,9176200,938
Israel,Israel,24/01/2016,30/01/2016,2016,4,9176200,966
Israel,Israel,31/01/2016,06/02/2016,2016,5,9176200,1107
Israel,Israel,07/02/2016,13/02/2016,2016,6,9176200,1110
Israel,Israel,14/02/2016,20/02/2016,2016,7,9176200,1035
Israel,Israel,21/02/2016,27/02/2016,2016,8,9176200,916
Israel,Israel,28/02/2016,05/03/2016,2016,9,9176200,933
Israel,Israel,06/03/2016,12/03/2016,2016,10,9176200,852
Israel,Israel,13/03/2016,19/03/2016,2016,11,9176200,849
Israel,Israel,20/03/2016,26/03/2016,2016,12,9176200,819
Israel,Israel,27/03/2016,02/04/2016,2016,13,9176200,817
Israel,Israel,03/04/2016,09/04/2016,2016,14,9176200,923
Israel,Israel,10/04/2016,16/04/2016,2016,15,9176200,864
Israel,Israel,17/04/2016,23/04/2016,2016,16,9176200,829
Israel,Israel,24/04/2016,30/04/2016,2016,17,9176200,875
Israel,Israel,01/05/2016,07/05/2016,2016,18,9176200,771
Israel,Israel,08/05/2016,14/05/2016,2016,19,9176200,766
Israel,Israel,15/05/2016,21/05/2016,2016,20,9176200,786
Israel,Israel,22/05/2016,28/05/2016,2016,21,9176200,785
Israel,Israel,29/05/2016,04/06/2016,2016,22,9176200,828
Israel,Israel,05/06/2016,11/06/2016,2016,23,9176200,773
Israel,Israel,12/06/2016,18/06/2016,2016,24,9176200,779
Israel,Israel,19/06/2016,25/06/2016,2016,25,9176200,749
Israel,Israel,26/06/2016,02/07/2016,2016,26,9176200,772
Israel,Israel,03/07/2016,09/07/2016,2016,27,9176200,718
Israel,Israel,10/07/2016,16/07/2016,2016,28,9176200,783
Israel,Israel,17/07/2016,23/07/2016,2016,29,9176200,754
Israel,Israel,24/07/2016,30/07/2016,2016,30,9176200,786
Israel,Israel,31/07/2016,06/08/2016,2016,31,9176200,819
Israel,Israel,07/08/2016,13/08/2016,2016,32,9176200,750
Israel,Israel,14/08/2016,20/08/2016,2016,33,9176200,796
Israel,Israel,21/08/2016,27/08/2016,2016,34,9176200,759
Israel,Israel,28/08/2016,03/09/2016,2016,35,9176200,779
Israel,Israel,04/09/2016,10/09/2016,2016,36,9176200,766
Israel,Israel,11/09/2016,17/09/2016,2016,37,9176200,741
Israel,Israel,18/09/2016,24/09/2016,2016,38,9176200,797
Israel,Israel,25/09/2016,01/10/2016,2016,39,9176200,781
Israel,Israel,02/10/2016,08/10/2016,2016,40,9176200,806
Israel,Israel,09/10/2016,15/10/2016,2016,41,9176200,827
Israel,Israel,16/10/2016,22/10/2016,2016,42,9176200,754
Israel,Israel,23/10/2016,29/10/2016,2016,43,9176200,780
Israel,Israel,30/10/2016,05/11/2016,2016,44,9176200,836
Israel,Israel,06/11/2016,12/11/2016,2016,45,9176200,838
Israel,Israel,13/11/2016,19/11/2016,2016,46,9176200,841
Israel,Israel,20/11/2016,26/11/2016,2016,47,9176200,850
Israel,Israel,27/11/2016,03/12/2016,2016,48,9176200,977
Israel,Israel,04/12/2016,10/12/2016,2016,49,9176200,951
Israel,Israel,11/12/2016,17/12/2016,2016,50,9176200,1014
Israel,Israel,18/12/2016,24/12/2016,2016,51,9176200,988
Israel,Israel,25/12/2016,31/12/2016,2016,52,9176200,1063
Israel,Israel,01/01/2017,07/01/2017,2017,1,9176200,1132
Israel,Israel,08/01/2017,14/01/2017,2017,2,9176200,1182
Israel,Israel,15/01/2017,21/01/2017,2017,3,9176200,1121
Israel,Israel,22/01/2017,28/01/2017,2017,4,9176200,1103
Israel,Israel,29/01/2017,04/02/2017,2017,5,9176200,1052
Israel,Israel,05/02/2017,11/02/2017,2017,6,9176200,1106
Israel,Israel,12/02/2017,18/02/2017,2017,7,9176200,923
Israel,Israel,19/02/2017,25/02/2017,2017,8,9176200,1008
Israel,Israel,26/02/2017,04/03/2017,2017,9,9176200,994
Israel,Israel,05/03/2017,11/03/2017,2017,10,9176200,971
Israel,Israel,12/03/2017,18/03/2017,2017,11,9176200,914
Israel,Israel,19/03/2017,25/03/2017,2017,12,9176200,931
Israel,Israel,26/03/2017,01/04/2017,2017,13,9176200,905
Israel,Israel,02/04/2017,08/04/2017,2017,14,9176200,858
Israel,Israel,09/04/2017,15/04/2017,2017,15,9176200,865
Israel,Israel,16/04/2017,22/04/2017,2017,16,9176200,858
Israel,Israel,23/04/2017,29/04/2017,2017,17,9176200,923
Israel,Israel,30/04/2017,06/05/2017,2017,18,9176200,783
Israel,Israel,07/05/2017,13/05/2017,2017,19,9176200,889
Israel,Israel,14/05/2017,20/05/2017,2017,20,9176200,808
Israel,Israel,21/05/2017,27/05/2017,2017,21,9176200,752
Israel,Israel,28/05/2017,03/06/2017,2017,22,9176200,825
Israel,Israel,04/06/2017,10/06/2017,2017,23,9176200,831
Israel,Israel,11/06/2017,17/06/2017,2017,24,9176200,742
Israel,Israel,18/06/2017,24/06/2017,2017,25,9176200,780
Israel,Israel,25/06/2017,01/07/2017,2017,26,9176200,790
Israel,Israel,02/07/2017,08/07/2017,2017,27,9176200,774
Israel,Israel,09/07/2017,15/07/2017,2017,28,9176200,791
Israel,Israel,16/07/2017,22/07/2017,2017,29,9176200,791
Israel,Israel,23/07/2017,29/07/2017,2017,30,9176200,814
Israel,Israel,30/07/2017,05/08/2017,2017,31,9176200,765
Israel,Israel,06/08/2017,12/08/2017,2017,32,9176200,772
Israel,Israel,13/08/2017,19/08/2017,2017,33,9176200,747
Israel,Israel,20/08/2017,26/08/2017,2017,34,9176200,766
Israel,Israel,27/08/2017,02/09/2017,2017,35,9176200,751
Israel,Israel,03/09/2017,09/09/2017,2017,36,9176200,760
Israel,Israel,10/09/2017,16/09/2017,2017,37,9176200,772
Israel,Israel,17/09/2017,23/09/2017,2017,38,9176200,741
Israel,Israel,24/09/2017,30/09/2017,2017,39,9176200,788
Israel,Israel,01/10/2017,07/10/2017,2017,40,9176200,801
Israel,Israel,08/10/2017,14/10/2017,2017,41,9176200,763
Israel,Israel,15/10/2017,21/10/2017,2017,42,9176200,861
Israel,Israel,22/10/2017,28/10/2017,2017,43,9176200,871
Israel,Israel,29/10/2017,04/11/2017,2017,44,9176200,834
Israel,Israel,05/11/2017,11/11/2017,2017,45,9176200,783
Israel,Israel,12/11/2017,18/11/2017,2017,46,9176200,896
Israel,Israel,19/11/2017,25/11/2017,2017,47,9176200,836
Israel,Israel,26/11/2017,02/12/2017,2017,48,9176200,893
Israel,Israel,03/12/2017,09/12/2017,2017,49,9176200,873
Israel,Israel,10/12/2017,16/12/2017,2017,50,9176200,924
Israel,Israel,17/12/2017,23/12/2017,2017,51,9176200,975
Israel,Israel,24/12/2017,30/12/2017,2017,52,9176200,941
Israel,Israel,31/12/2017,06/01/2018,2018,1,9176200,993
Israel,Israel,07/01/2018,13/01/2018,2018,2,9176200,1058
Israel,Israel,14/01/2018,20/01/2018,2018,3,9176200,1003
Israel,Israel,21/01/2018,27/01/2018,2018,4,9176200,1003
Israel,Israel,28/01/2018,03/02/2018,2018,5,9176200,1076
Israel,Israel,04/02/2018,10/02/2018,2018,6,9176200,966
Israel,Israel,11/02/2018,17/02/2018,2018,7,9176200,1052
Israel,Israel,18/02/2018,24/02/2018,2018,8,9176200,984
Israel,Israel,25/02/2018,03/03/2018,2018,9,9176200,949
Israel,Israel,04/03/2018,10/03/2018,2018,10,9176200,934
Israel,Israel,11/03/2018,17/03/2018,2018,11,9176200,908
Israel,Israel,18/03/2018,24/03/2018,2018,12,9176200,901
Israel,Israel,25/03/2018,31/03/2018,2018,13,9176200,878
Israel,Israel,01/04/2018,07/04/2018,2018,14,9176200,871
Israel,Israel,08/04/2018,14/04/2018,2018,15,9176200,797
