country,region,region_code,start_date,end_date,year,month,population,total_deaths
Peru,Peru,PE,01/01/2017,31/01/2017,2017,1,32824358,7536
Peru,Peru,PE,01/02/2017,28/02/2017,2017,2,32824358,7271
Peru,Peru,PE,01/03/2017,31/03/2017,2017,3,32824358,8458
Peru,Peru,PE,01/04/2017,30/04/2017,2017,4,32824358,7508
Peru,Peru,PE,01/05/2017,31/05/2017,2017,5,32824358,7890
Peru,Peru,PE,01/06/2017,30/06/2017,2017,6,32824358,8149
Peru,Peru,PE,01/07/2017,31/07/2017,2017,7,32824358,8722
Peru,Peru,PE,01/08/2017,31/08/2017,2017,8,32824358,8630
Peru,Peru,PE,01/09/2017,30/09/2017,2017,9,32824358,8732
Peru,Peru,PE,01/10/2017,31/10/2017,2017,10,32824358,9053
Peru,Peru,PE,01/11/2017,30/11/2017,2017,11,32824358,8504
Peru,Peru,PE,01/12/2017,31/12/2017,2017,12,32824358,8521
Peru,Peru,PE,01/01/2018,31/01/2018,2018,1,32824358,8660
Peru,Peru,PE,01/02/2018,28/02/2018,2018,2,32824358,7825
Peru,Peru,PE,01/03/2018,31/03/2018,2018,3,32824358,8597
Peru,Peru,PE,01/04/2018,30/04/2018,2018,4,32824358,8491
Peru,Peru,PE,01/05/2018,31/05/2018,2018,5,32824358,9534
Peru,Peru,PE,01/06/2018,30/06/2018,2018,6,32824358,10378
Peru,Peru,PE,01/07/2018,31/07/2018,2018,7,32824358,10630
Peru,Peru,PE,01/08/2018,31/08/2018,2018,8,32824358,10232
Peru,Peru,PE,01/09/2018,30/09/2018,2018,9,32824358,9754
Peru,Peru,PE,01/10/2018,31/10/2018,2018,10,32824358,10110
Peru,Peru,PE,01/11/2018,30/11/2018,2018,11,32824358,8963
Peru,Peru,PE,01/12/2018,31/12/2018,2018,12,32824358,9637
Peru,Peru,PE,01/01/2019,31/01/2019,2019,1,32824358,9636
Peru,Peru,PE,01/02/2019,28/02/2019,2019,2,32824358,9226
Peru,Peru,PE,01/03/2019,31/03/2019,2019,3,32824358,9819
Peru,Peru,PE,01/04/2019,30/04/2019,2019,4,32824358,8880
Peru,Peru,PE,01/05/2019,31/05/2019,2019,5,32824358,8937
Peru,Peru,PE,01/06/2019,30/06/2019,2019,6,32824358,9332
Peru,Peru,PE,01/07/2019,31/07/2019,2019,7,32824358,9917
Peru,Peru,PE,01/08/2019,31/08/2019,2019,8,32824358,9959
Peru,Peru,PE,01/09/2019,30/09/2019,2019,9,32824358,9715
Peru,Peru,PE,01/10/2019,31/10/2019,2019,10,32824358,9980
Peru,Peru,PE,01/11/2019,30/11/2019,2019,11,32824358,9579
Peru,Peru,PE,01/12/2019,31/12/2019,2019,12,32824358,9967
Peru,Peru,PE,01/01/2020,31/01/2020,2020,1,32824358,9919
Peru,Peru,PE,01/02/2020,29/02/2020,2020,2,32824358,9427
Peru,Peru,PE,01/03/2020,31/03/2020,2020,3,32824358,9879
Peru,Peru,PE,01/04/2020,30/04/2020,2020,4,32824358,13016
Peru,Peru,PE,01/05/2020,31/05/2020,2020,5,32824358,25452
Peru,Peru,PE,01/06/2020,30/06/2020,2020,6,32824358,27216
Peru,Peru,PE,01/07/2020,31/07/2020,2020,7,32824358,28678
Peru,Peru,PE,01/08/2020,31/08/2020,2020,8,32824358,27141
