country,region,region_code,start_date,end_date,year,month,population,total_deaths
Russia,Russia,0,01/01/2015,31/01/2015,2015,1,146748590,174723
Russia,Russia,0,01/02/2015,28/02/2015,2015,2,146748590,156737
Russia,Russia,0,01/03/2015,31/03/2015,2015,3,146748590,175810
Russia,Russia,0,01/04/2015,30/04/2015,2015,4,146748590,164705
Russia,Russia,0,01/05/2015,31/05/2015,2015,5,146748590,154855
Russia,Russia,0,01/06/2015,30/06/2015,2015,6,146748590,161267
Russia,Russia,0,01/07/2015,31/07/2015,2015,7,146748590,155922
Russia,Russia,0,01/08/2015,31/08/2015,2015,8,146748590,145113
Russia,Russia,0,01/09/2015,30/09/2015,2015,9,146748590,154600
Russia,Russia,0,01/10/2015,31/10/2015,2015,10,146748590,156753
Russia,Russia,0,01/11/2015,30/11/2015,2015,11,146748590,147626
Russia,Russia,0,01/12/2015,31/12/2015,2015,12,146748590,163302
Russia,Russia,0,01/01/2016,31/01/2016,2016,1,146748590,169771
Russia,Russia,0,01/02/2016,29/02/2016,2016,2,146748590,156779
Russia,Russia,0,01/03/2016,31/03/2016,2016,3,146748590,166307
Russia,Russia,0,01/04/2016,30/04/2016,2016,4,146748590,150761
Russia,Russia,0,01/05/2016,31/05/2016,2016,5,146748590,160437
Russia,Russia,0,01/06/2016,30/06/2016,2016,6,146748590,156514
Russia,Russia,0,01/07/2016,31/07/2016,2016,7,146748590,146874
Russia,Russia,0,01/08/2016,31/08/2016,2016,8,146748590,159864
Russia,Russia,0,01/09/2016,30/09/2016,2016,9,146748590,149829
Russia,Russia,0,01/10/2016,31/10/2016,2016,10,146748590,150667
Russia,Russia,0,01/11/2016,30/11/2016,2016,11,146748590,156836
Russia,Russia,0,01/12/2016,31/12/2016,2016,12,146748590,163274
Russia,Russia,0,01/01/2017,31/01/2017,2017,1,146748590,179410
Russia,Russia,0,01/02/2017,28/02/2017,2017,2,146748590,146802
Russia,Russia,0,01/03/2017,31/03/2017,2017,3,146748590,161610
Russia,Russia,0,01/04/2017,30/04/2017,2017,4,146748590,142226
Russia,Russia,0,01/05/2017,31/05/2017,2017,5,146748590,161000
Russia,Russia,0,01/06/2017,30/06/2017,2017,6,146748590,149314
Russia,Russia,0,01/07/2017,31/07/2017,2017,7,146748590,143413
Russia,Russia,0,01/08/2017,31/08/2017,2017,8,146748590,152367
Russia,Russia,0,01/09/2017,30/09/2017,2017,9,146748590,141652
Russia,Russia,0,01/10/2017,31/10/2017,2017,10,146748590,155161
Russia,Russia,0,01/11/2017,30/11/2017,2017,11,146748590,145248
Russia,Russia,0,01/12/2017,31/12/2017,2017,12,146748590,146137
Russia,Russia,0,01/01/2018,31/01/2018,2018,1,146748590,165836
Russia,Russia,0,01/02/2018,28/02/2018,2018,2,146748590,142931
Russia,Russia,0,01/03/2018,31/03/2018,2018,3,146748590,169408
Russia,Russia,0,01/04/2018,30/04/2018,2018,4,146748590,157368
Russia,Russia,0,01/05/2018,31/05/2018,2018,5,146748590,162805
Russia,Russia,0,01/06/2018,30/06/2018,2018,6,146748590,148590
Russia,Russia,0,01/07/2018,31/07/2018,2018,7,146748590,152478
Russia,Russia,0,01/08/2018,31/08/2018,2018,8,146748590,147822
Russia,Russia,0,01/09/2018,30/09/2018,2018,9,146748590,136140
Russia,Russia,0,01/10/2018,31/10/2018,2018,10,146748590,153705
Russia,Russia,0,01/11/2018,30/11/2018,2018,11,146748590,143519
Russia,Russia,0,01/12/2018,31/12/2018,2018,12,146748590,147225
Russia,Russia,0,01/01/2019,31/01/2019,2019,1,146748590,172451
Russia,Russia,0,01/02/2019,28/02/2019,2019,2,146748590,148496
Russia,Russia,0,01/03/2019,31/03/2019,2019,3,146748590,151913
Russia,Russia,0,01/04/2019,30/04/2019,2019,4,146748590,153867
Russia,Russia,0,01/05/2019,31/05/2019,2019,5,146748590,154539
Russia,Russia,0,01/06/2019,30/06/2019,2019,6,146748590,137237
Russia,Russia,0,01/07/2019,31/07/2019,2019,7,146748590,151554
Russia,Russia,0,01/08/2019,31/08/2019,2019,8,146748590,143394
Russia,Russia,0,01/09/2019,30/09/2019,2019,9,146748590,139051
Russia,Russia,0,01/10/2019,31/10/2019,2019,10,146748590,157679
Russia,Russia,0,01/11/2019,30/11/2019,2019,11,146748590,141331
Russia,Russia,0,01/12/2019,31/12/2019,2019,12,146748590,149165
Russia,Russia,0,01/01/2020,31/01/2020,2020,1,146748590,164075
Russia,Russia,0,01/02/2020,29/02/2020,2020,2,146748590,143179
Russia,Russia,0,01/03/2020,31/03/2020,2020,3,146748590,152740
Russia,Russia,0,01/04/2020,30/04/2020,2020,4,146748590,150873
Russia,Russia,0,01/05/2020,31/05/2020,2020,5,146748590,172914
Russia,Russia,0,01/06/2020,30/06/2020,2020,6,146748590,162758
Russia,Russia,0,01/07/2020,31/07/2020,2020,7,146748590,181479
