FID,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,SHAPE_AREA,SHAPE_LEN,POSITIVI,DECEDUTI,TOTALE,Shape__Area,Shape__Length
1,30,03018144,SANT`ANGELO LOMELLINA,PAVIA,PV,LOMBARDIA,10397074.7209035,16920.89680001,0,1,1,20983787.69043,24044.548565
2,31,03015155,NOSATE,MILANO,MI,LOMBARDIA,4923315.4153587,10882.7520813082,1,0,1,10047848.312988,15553.037527
3,32,03108028,LISSONE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,9332518.61121148,21400.6488847849,122,10,132,19088484.549316,30607.903663
4,33,03017110,MONNO,BRESCIA,BS,LOMBARDIA,31034027.7061786,27930.5382224918,1,0,1,64879964.653809,40405.409388
5,34,03098037,MASSALENGO,LODI,LO,LOMBARDIA,8534672.51939301,18575.19090297,24,0,24,17239942.112793,26404.577174
6,35,03016223,VALBONDIONE,BERGAMO,BG,LOMBARDIA,96490797.2945535,50835.9326946417,9,4,13,200364875.027832,73241.308358
7,36,03019079,RICENGO,CREMONA,CR,LOMBARDIA,12548234.8928615,22122.6960464388,7,0,7,25477325.129395,31521.251435
8,37,03017022,BORNO,BRESCIA,BS,LOMBARDIA,30534282.7127987,30381.9186282654,23,4,27,63199912.662109,43698.963523
9,38,03020022,DOSOLO,MANTOVA,MN,LOMBARDIA,25654047.0676521,27199.8464364971,21,5,26,51263006.325195,38465.877017
10,39,03014053,POSTALESIO,SONDRIO,SO,LOMBARDIA,10533342.1507612,19631.0707311106,1,0,1,21988097.891602,28381.478707
11,41,03016189,SAN PAOLO D`ARGON,BERGAMO,BG,LOMBARDIA,5254573.66987101,12944.2127634442,30,10,40,10772991.580566,18537.168514
12,42,03098008,CASALETTO LODIGIANO,LODI,LO,LOMBARDIA,9917021.24079599,28474.0409985923,6,1,7,20056883.281738,40492.879569
13,43,03018157,TORRE D`ARESE,PAVIA,PV,LOMBARDIA,4376580.740956,12414.2030617814,1,1,2,8832570.104492,17636.670419
14,44,03015192,SAN DONATO MILANESE,MILANO,MI,LOMBARDIA,12824817.1036885,26388.914340718,65,8,73,26042588.452148,37600.29737
15,45,03097075,SIRONE,LECCO,LC,LOMBARDIA,3248560.42440138,11893.0487293212,6,0,6,6681827.245605,17058.645152
16,46,03012127,TRADATE,VARESE,VA,LOMBARDIA,21341876.4445769,27592.5773827651,19,3,22,43804909.039551,39541.535191
17,47,03097018,CASSINA VALSASSINA,LECCO,LC,LOMBARDIA,2623531.48381742,14024.9825316187,1,0,1,5423455.631836,20174.584621
18,48,03018152,SPESSA,PAVIA,PV,LOMBARDIA,12250432.2857325,16042.144261163,2,0,2,24621677.386719,22742.100347
19,1,03015074,CESANO BOSCONE,MILANO,MI,LOMBARDIA,3968100.944667,13732.3644186767,47,6,53,8066066.535156,19579.566581
20,2,03017206,PIANCOGNO,BRESCIA,BS,LOMBARDIA,14124145.9611643,30777.6106903593,20,2,22,29207824.489258,44250.180483
21,3,03015200,SANTO STEFANO TICINO,MILANO,MI,LOMBARDIA,5029242.180515,13713.4091193685,8,3,11,10239952.03125,19568.052768
22,4,03014021,CINO,SONDRIO,SO,LOMBARDIA,5048184.07597276,11144.454512366,1,0,1,10530701.561035,16096.805078
23,5,03014013,CASPOGGIO,SONDRIO,SO,LOMBARDIA,6795788.87268808,13979.4143698954,9,1,10,14219184.110352,20217.165632
24,6,03012051,CITTIGLIO,VARESE,VA,LOMBARDIA,11488684.1770793,14945.0457396703,1,0,1,23741947.706543,21489.778414
25,7,03016030,BONATE SOPRA,BERGAMO,BG,LOMBARDIA,6046718.4961975,13572.9622503853,47,6,53,12395691.684082,19432.10464
26,8,03012108,OLGIATE OLONA,VARESE,VA,LOMBARDIA,7345202.92891507,15253.5839241438,15,3,18,15030641.178223,21821.994353
27,9,03016017,AZZONE,BERGAMO,BG,LOMBARDIA,17315730.8043558,22193.7890296165,2,0,2,35864369.646484,31937.906974
28,10,03018158,TORRE DE` NEGRI,PAVIA,PV,LOMBARDIA,4019717.834618,11220.3713492217,0,1,1,8086815.753906,15914.416504
29,11,03015036,BUCCINASCO,MILANO,MI,LOMBARDIA,11998573.1754675,27089.9030321709,28,6,34,24360650.772461,38608.25852
30,12,03012141,SANGIANO,VARESE,VA,LOMBARDIA,2127845.67685535,7105.41110824292,2,0,2,4392720.102051,10214.097415
31,13,03016012,ARDESIO,BERGAMO,BG,LOMBARDIA,54655498.2918759,43880.1928258453,22,3,25,113095051.687012,63103.293548
32,14,03020060,SCHIVENOGLIA,MANTOVA,MN,LOMBARDIA,13162773.6158007,18742.9345591166,28,1,29,26330826.645996,26501.592753
33,15,03015236,VERNATE,MILANO,MI,LOMBARDIA,14676883.0547545,24400.4918110012,9,1,10,29708786.836426,34716.358821
34,16,03020017,CASTIGLIONE DELLE STIVIERE,MANTOVA,MN,LOMBARDIA,42151025.6648023,31241.0710096586,144,0,144,85465262.043457,44496.126259
35,17,03019110,TRIGOLO,CREMONA,CR,LOMBARDIA,16160757.5023,25252.9399828687,15,6,21,32714972.332031,35936.602886
36,18,03015093,CORSICO,MILANO,MI,LOMBARDIA,5378465.059671,17445.8787698447,41,7,48,10929784.37793,24873.157175
37,19,03012036,CASALE LITTA,VARESE,VA,LOMBARDIA,10627642.7432315,17501.4198632142,3,0,3,21850766.581543,25102.048315
38,20,03098026,FOMBIO,LODI,LO,LOMBARDIA,7456740.34103851,19279.7435984742,21,9,30,14993904.638184,27343.27826
39,21,03018110,PAVIA,PAVIA,PV,LOMBARDIA,63243395.5265115,47660.1104421055,201,25,226,127463024.316895,67649.328694
40,22,03017168,SABBIO CHIESE,BRESCIA,BS,LOMBARDIA,18348803.6495654,23006.5990187936,15,4,19,37554871.384277,32919.260954
41,23,03014077,VILLA DI CHIAVENNA,SONDRIO,SO,LOMBARDIA,32682576.9749313,28471.9614741557,2,0,2,68556405.940918,41245.272353
42,24,03108019,CESANO MADERNO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,11443883.5393736,21008.054654591,64,9,73,23416812.938477,30038.870932
43,25,03012081,GRANTOLA,VARESE,VA,LOMBARDIA,2051912.55668932,10902.2159658858,1,0,1,4246588.909668,15683.552647
44,27,03014069,TRAONA,SONDRIO,SO,LOMBARDIA,6252957.45605731,18284.9497712776,1,0,1,13035740.332031,26403.993652
45,28,03019032,CORTE DE` CORTESI CON CIGNONE,CREMONA,CR,LOMBARDIA,12790951.135111,22413.7213640325,10,2,12,25837928.708008,31852.250963
46,52,03016037,BREMBATE,BERGAMO,BG,LOMBARDIA,5629402.634132,14397.4954549447,36,10,46,11510036.959473,20597.929622
47,57,03018096,MONTECALVO VERSIGGIA,PAVIA,PV,LOMBARDIA,11288952.9881965,21052.0121338396,1,2,3,22578346.407227,29775.946751
48,58,03016075,CISERANO,BERGAMO,BG,LOMBARDIA,5295169.5372705,11504.8017746803,26,7,33,10817971.371582,16439.813721
49,59,03018184,ZAVATTARELLO,PAVIA,PV,LOMBARDIA,28352879.8613955,33022.552614761,10,9,19,56490265.416016,46615.868437
50,60,03098052,SECUGNAGO,LODI,LO,LOMBARDIA,6697666.01880949,15960.6054625179,14,1,15,13513251.978516,22671.739203
51,64,03018090,MEZZANA BIGLI,PAVIA,PV,LOMBARDIA,18726439.3957705,32088.3814197426,1,1,2,37568123.430664,45447.2278
52,65,03013084,CUCCIAGO,COMO,CO,LOMBARDIA,4997406.38848281,11868.3237179454,2,1,3,10266227.388672,17013.940673
53,67,03015076,CESATE,MILANO,MI,LOMBARDIA,5689489.3900725,15447.5594092088,27,3,30,11629035.636719,22082.601112
54,68,03015005,ALBAIRATE,MILANO,MI,LOMBARDIA,14993957.920374,24654.6670796603,3,0,3,30457842.657715,35144.165561
55,69,03019082,RIPALTA GUERINA,CREMONA,CR,LOMBARDIA,2958530.4344555,8406.78319529591,2,0,2,5985006.484863,11955.362542
56,70,03020012,CASALROMANO,MANTOVA,MN,LOMBARDIA,11886133.8115919,18837.8416872765,11,2,13,23949077.837402,26731.803939
57,71,03097051,MOLTENO,LECCO,LC,LOMBARDIA,3162253.06214345,14161.262589563,6,1,7,6505933.407715,20315.602659
58,61,03018043,CERANOVA,PAVIA,PV,LOMBARDIA,5308955.43403501,13419.7266238928,2,2,4,10721761.209961,19072.791992
59,62,03016213,TERNO D`ISOLA,BERGAMO,BG,LOMBARDIA,4100689.58800674,11073.7820962059,37,6,43,8407549.832031,15853.015131
60,63,03015101,DRESANO,MILANO,MI,LOMBARDIA,3505876.12855051,9639.65654972042,11,3,14,7109741.91748,13728.489153
61,109,03017161,REZZATO,BRESCIA,BS,LOMBARDIA,18283591.1806912,22539.5828862586,55,13,68,37242552.286621,32175.469905
62,72,03016084,COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,5227692.15080313,11697.6768372088,14,5,19,10706023.23877,16747.393086
63,73,03108004,ARCORE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,9354154.876633,20983.4550635854,52,8,60,19141258.14209,30017.325268
64,74,03020061,SERMIDE E FELONICA,MANTOVA,MN,LOMBARDIA,80316061.4748956,55683.6303623864,52,8,60,160511450.360352,78698.732722
65,75,03016136,MOIO DE` CALVI,BERGAMO,BG,LOMBARDIA,6763698.39611921,12301.0579937956,1,1,2,14004799.278809,17702.681971
66,76,03108009,BIASSONO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,4793865.66067604,16331.7804930497,32,2,34,9809667.898926,23366.290261
67,77,03017196,VEROLAVECCHIA,BRESCIA,BS,LOMBARDIA,21054912.7945845,33160.4704881057,23,10,33,42601966.213867,47177.961531
68,78,03017031,CAINO,BRESCIA,BS,LOMBARDIA,17255638.0415053,18220.9503885327,6,0,6,35285239.737793,26050.559896
69,79,03097093,VALVARRONE,LECCO,LC,LOMBARDIA,15103623.2696736,31078.8192227767,4,0,4,31410836.813965,44820.407013
70,80,03019115,VOLTIDO,CREMONA,CR,LOMBARDIA,12289401.6651413,22154.9956561539,1,0,1,24685253.936523,31400.233443
71,81,03016123,LALLIO,BERGAMO,BG,LOMBARDIA,2136121.58557311,8581.93290211056,21,2,23,4375954.403809,12285.65431
72,82,03019096,SOLAROLO RAINERIO,CREMONA,CR,LOMBARDIA,11388672.5401374,24442.490644016,6,3,9,22847286.019043,34636.81471
73,83,03013248,SAN SIRO,COMO,CO,LOMBARDIA,21536046.0222696,23472.9182966886,8,1,9,44746887.476563,33848.203668
74,84,03018160,TORREVECCHIA PIA,PAVIA,PV,LOMBARDIA,16434847.0185205,32088.460486507,4,1,5,33213803.765625,45623.266663
75,85,03017135,PASPARDO,BRESCIA,BS,LOMBARDIA,11216790.7262541,15603.2996388295,2,1,3,23287837.680176,22478.450115
76,86,03020016,CASTELLUCCHIO,MANTOVA,MN,LOMBARDIA,46551388.0510464,34150.1429658947,8,1,9,93621842.929199,48424.930287
77,87,03097042,LECCO,LECCO,LC,LOMBARDIA,45249051.9751714,36925.566337308,185,26,211,93345805.12207,53046.356008
78,88,03017152,PRALBOINO,BRESCIA,BS,LOMBARDIA,17229850.6251356,21613.6675397826,15,2,17,34798756.686035,30720.28543
79,89,03018007,BAGNARIA,PAVIA,PV,LOMBARDIA,16572521.391769,22899.8599190573,1,0,1,32972257.078125,32297.178192
80,90,03020045,PORTO MANTOVANO,MANTOVA,MN,LOMBARDIA,37478660.1699841,43870.0599328736,24,1,25,75486126.443848,62259.663179
81,91,03016248,ALGUA,BERGAMO,BG,LOMBARDIA,8303301.87651186,20255.7717739771,4,0,4,17104054.119141,29072.393888
82,92,03017029,BRESCIA,BRESCIA,BS,LOMBARDIA,90514892.9365423,57489.9796238646,1030,199,1229,184543529.438965,82096.630931
83,93,03016008,ALZANO LOMBARDO,BERGAMO,BG,LOMBARDIA,13605101.5549765,22188.5365292008,118,54,172,27959956.026855,31813.551678
84,95,03017090,LODRINO,BRESCIA,BS,LOMBARDIA,16465031.7665164,21032.8765568252,8,2,10,33785584.401855,30131.832787
85,96,03012136,VENEGONO INFERIORE,VARESE,VA,LOMBARDIA,5792348.73529929,17618.3279609279,6,0,6,11898279.624512,25252.735451
86,98,03098010,CASALPUSTERLENGO,LODI,LO,LOMBARDIA,25603519.9183046,32307.2410068871,137,34,171,51594850.684082,45866.637961
87,99,03016139,MONTELLO,BERGAMO,BG,LOMBARDIA,1773815.68221559,6721.60091408604,18,8,26,3634889.853516,9616.223592
88,100,03017093,LONGHENA,BRESCIA,BS,LOMBARDIA,3411555.5077185,9799.54008733013,7,1,8,6932034.016113,13971.186521
89,101,03016184,RONCOBELLO,BERGAMO,BG,LOMBARDIA,25226789.8171068,23760.2103967228,1,0,1,52215762.769531,34178.999563
90,102,03019055,MADIGNANO,CREMONA,CR,LOMBARDIA,10763141.9316495,17557.4426023449,19,5,24,21796791.688477,24983.686371
91,103,03017073,GAMBARA,BRESCIA,BS,LOMBARDIA,31589988.9825544,33071.1861328382,23,0,23,63785296.143555,46992.161454
92,104,03098040,MONTANASO LOMBARDO,LODI,LO,LOMBARDIA,9632745.468732,18579.2298660133,14,1,15,19507751.185547,26436.145091
93,105,03017111,MONTE ISOLA,BRESCIA,BS,LOMBARDIA,11131314.8906241,12527.4203121871,11,0,11,22838527.221191,17949.970299
94,106,03012027,CADEGLIANO - VICONAGO,VARESE,VA,LOMBARDIA,9993051.76794283,17292.3402963245,3,0,3,20696744.001953,24885.797859
95,108,03019010,CAMISANO,CREMONA,CR,LOMBARDIA,10821062.05065,19037.8756076972,10,2,12,21997415.753906,27151.238014
96,49,03018175,VERRUA PO,PAVIA,PV,LOMBARDIA,10978771.102384,18482.2017952971,3,3,6,22059419.722168,26204.911328
97,50,03017026,BRANDICO,BRESCIA,BS,LOMBARDIA,8452304.8516825,16501.2481527601,8,2,10,17185949.291016,23533.83811
98,51,03012002,ALBIZZATE,VARESE,VA,LOMBARDIA,3867477.71540901,11210.0011566385,3,1,4,7941138.979004,16069.331497
99,54,03016094,ENTRATICO,BERGAMO,BG,LOMBARDIA,4189149.93995478,9762.30677968855,8,2,10,8593617.639648,13982.692304
100,55,03017066,DELLO,BRESCIA,BS,LOMBARDIA,23447134.3111208,32134.803459365,37,4,41,47611046.131836,45797.199608
101,56,03017189,TREMOSINE SUL GARDA,BRESCIA,BS,LOMBARDIA,72844983.5838466,42147.7268277579,1,2,3,149893440.626953,60454.748195
102,110,03016010,ANTEGNATE,BERGAMO,BG,LOMBARDIA,9637220.81988251,19434.7189551968,7,4,11,19620321.342773,27727.608943
103,111,03098030,LIVRAGA,LODI,LO,LOMBARDIA,12157372.903381,23586.584547359,17,7,24,24492564.886719,33473.836174
104,112,03108044,USMATE VELATE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,9671983.44341577,20458.7515715538,14,3,17,19807675.440918,29280.454813
105,113,03014043,MESE,SONDRIO,SO,LOMBARDIA,4163367.5357664,12038.187652387,2,0,2,8729271.666016,17432.455975
106,114,03013074,COLONNO,COMO,CO,LOMBARDIA,5981723.64226652,14449.7385115671,1,1,2,12386266.264648,20801.530841
107,115,03098005,BORGO SAN GIOVANNI,LODI,LO,LOMBARDIA,7643551.71466251,18942.4497933469,12,0,12,15446149.26709,26930.975478
108,116,03014037,LIVIGNO,SONDRIO,SO,LOMBARDIA,210667872.942416,74617.7956031344,13,2,15,445031893.711426,108475.518963
109,117,03017099,MAIRANO,BRESCIA,BS,LOMBARDIA,11582609.1752202,21773.7282960633,13,2,15,23551781.416504,31065.506798
110,158,03016232,VERDELLINO,BERGAMO,BG,LOMBARDIA,3833384.446813,10899.3212433782,36,11,47,7836265.195313,15585.591621
111,160,03017109,MONIGA DEL GARDA,BRESCIA,BS,LOMBARDIA,15858933.0673171,23883.6637864785,11,4,15,32320962.241699,34065.952887
112,165,03018156,TORRE BERETTI E CASTELLARO,PAVIA,PV,LOMBARDIA,17435129.2782065,26578.9368337496,2,1,3,34986225.666016,37652.650951
113,166,03013154,MONTANO LUCINO,COMO,CO,LOMBARDIA,5250958.75014725,13157.4815294174,9,0,9,10806926.892578,18877.258106
114,167,03097083,VALMADRERA,LECCO,LC,LOMBARDIA,12319558.8244076,16661.2386494228,29,3,32,25409515.556641,23924.73056
115,169,03016149,ONORE,BERGAMO,BG,LOMBARDIA,11764123.9366708,17996.0959624894,9,2,11,24292031.262207,25863.784117
116,171,03016080,COLZATE,BERGAMO,BG,LOMBARDIA,6682781.8511047,21266.7830291979,12,5,17,13773513.439941,30532.902147
117,172,03013137,LURAGO MARINONE,COMO,CO,LOMBARDIA,3852042.40774944,11190.7598069897,2,0,2,7903454.460449,16031.472215
118,173,03017123,OME,BRESCIA,BS,LOMBARDIA,9885260.9876062,15834.8106651319,22,4,26,20224493.524902,22656.541411
119,118,03017008,AZZANO MELLA,BRESCIA,BS,LOMBARDIA,10494118.619506,23781.8660273352,15,4,19,21345405.587891,33936.470463
