"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Ecuador","Bolívar","EC-B","2020-05-01","2020-05-31",2020,5,208400,72,0,65.5,6.5,72,0,3.1190019193858,0.0992366412213741
"Ecuador","Carchi","EC-C","2020-01-01","2020-01-31",2020,1,185500,56,0,54.5,1.5,56,0,0.808625336927224,0.0275229357798166
"Ecuador","Carchi","EC-C","2020-02-01","2020-02-29",2020,2,185500,57,0,59,-2,57,0,-1.07816711590296,-0.0338983050847458
"Ecuador","Carchi","EC-C","2020-03-01","2020-03-31",2020,3,185500,51,0,54.5,-3.5,51,0,-1.88679245283019,-0.0642201834862385
"Ecuador","Carchi","EC-C","2020-04-01","2020-04-30",2020,4,185500,49,0,50,-1,49,0,-0.539083557951482,-0.02
"Ecuador","Carchi","EC-C","2020-05-01","2020-05-31",2020,5,185500,57,0,59,-2,57,0,-1.07816711590296,-0.0338983050847458
"Ecuador","Orellana","EC-D","2020-01-01","2020-01-31",2020,1,159500,42,0,34.5,7.5,42,0,4.70219435736677,0.217391304347826
"Ecuador","Orellana","EC-D","2020-02-01","2020-02-29",2020,2,159500,26,0,35,-9,26,0,-5.64263322884013,-0.257142857142857
"Ecuador","Orellana","EC-D","2020-03-01","2020-03-31",2020,3,159500,23,0,40.5,-17.5,23,0,-10.9717868338558,-0.432098765432099
"Ecuador","Orellana","EC-D","2020-04-01","2020-04-30",2020,4,159500,23,0,33.5,-10.5,23,0,-6.58307210031348,-0.313432835820896
"Ecuador","Orellana","EC-D","2020-05-01","2020-05-31",2020,5,159500,30,0,35.5,-5.5,30,0,-3.44827586206897,-0.154929577464789
"Ecuador","Esmeraldas","EC-E","2020-01-01","2020-01-31",2020,1,635200,133,0,155.5,-22.5,133,0,-3.54219143576826,-0.144694533762058
"Ecuador","Esmeraldas","EC-E","2020-02-01","2020-02-29",2020,2,635200,149,0,128.5,20.5,149,0,3.22732997481108,0.159533073929961
"Ecuador","Esmeraldas","EC-E","2020-03-01","2020-03-31",2020,3,635200,90,0,139.5,-49.5,90,0,-7.79282115869018,-0.354838709677419
"Ecuador","Esmeraldas","EC-E","2020-04-01","2020-04-30",2020,4,635200,172,0,137.5,34.5,172,0,5.43136020151134,0.250909090909091
"Ecuador","Esmeraldas","EC-E","2020-05-01","2020-05-31",2020,5,635200,213,0,112.5,100.5,213,0,15.8217884130982,0.893333333333333
"Ecuador","Cañar","EC-F","2020-01-01","2020-01-31",2020,1,276800,107,0,92,15,107,0,5.41907514450867,0.16304347826087
"Ecuador","Cañar","EC-F","2020-02-01","2020-02-29",2020,2,276800,75,0,85.5,-10.5,75,0,-3.79335260115607,-0.12280701754386
"Ecuador","Cañar","EC-F","2020-03-01","2020-03-31",2020,3,276800,72,0,90.5,-18.5,72,0,-6.68352601156069,-0.204419889502762
"Ecuador","Cañar","EC-F","2020-04-01","2020-04-30",2020,4,276800,132,0,72.5,59.5,132,0,21.4956647398844,0.820689655172414
"Ecuador","Cañar","EC-F","2020-05-01","2020-05-31",2020,5,276800,68,0,80,-12,68,0,-4.33526011560694,-0.15
"Ecuador","Guayas","EC-G","2020-01-01","2020-01-31",2020,1,4327800,1960,0,1892,68,1960,0,1.57123711816627,0.0359408033826638
"Ecuador","Guayas","EC-G","2020-02-01","2020-02-29",2020,2,4327800,1703,0,1653.5,49.5,1703,0,1.14376819631221,0.0299364983368613
"Ecuador","Guayas","EC-G","2020-03-01","2020-03-31",2020,3,4327800,5021,0,1843,3178,5021,0,73.432228846065,1.72436245252306
"Ecuador","Guayas","EC-G","2020-04-01","2020-04-30",2020,4,4327800,11376,0,1772.5,9603.5,11376,0,221.902583298674,5.41805359661495
"Ecuador","Guayas","EC-G","2020-05-01","2020-05-31",2020,5,4327800,2350,0,1675.5,674.5,2350,0,15.5852858265169,0.402566398090122
"Ecuador","Chimborazo","EC-H","2020-01-01","2020-01-31",2020,1,519800,216,0,209.5,6.5,216,0,1.25048095421316,0.0310262529832936
"Ecuador","Chimborazo","EC-H","2020-02-01","2020-02-29",2020,2,519800,184,0,203.5,-19.5,184,0,-3.75144286263948,-0.0958230958230958
"Ecuador","Chimborazo","EC-H","2020-03-01","2020-03-31",2020,3,519800,182,0,205.5,-23.5,182,0,-4.52096960369373,-0.114355231143552
"Ecuador","Chimborazo","EC-H","2020-04-01","2020-04-30",2020,4,519800,286,0,190,96,286,0,18.468641785302,0.505263157894737
"Ecuador","Chimborazo","EC-H","2020-05-01","2020-05-31",2020,5,519800,183,0,184,-1,183,0,-0.192381685263563,-0.00543478260869568
"Ecuador","Imbabura","EC-I","2020-01-01","2020-01-31",2020,1,470100,185,0,179.5,5.5,185,0,1.16996383748139,0.0306406685236769
"Ecuador","Imbabura","EC-I","2020-02-01","2020-02-29",2020,2,470100,154,0,147,7,154,0,1.48904488406722,0.0476190476190477
"Ecuador","Imbabura","EC-I","2020-03-01","2020-03-31",2020,3,470100,135,0,162,-27,135,0,-5.74345883854499,-0.166666666666667
"Ecuador","Imbabura","EC-I","2020-04-01","2020-04-30",2020,4,470100,159,0,160,-1,159,0,-0.212720697723889,-0.00624999999999998
"Ecuador","Imbabura","EC-I","2020-05-01","2020-05-31",2020,5,470100,142,0,178,-36,142,0,-7.65794511805999,-0.202247191011236
"Ecuador","Loja","EC-L","2020-01-01","2020-01-31",2020,1,516200,210,0,217.5,-7.5,210,0,-1.45292522278187,-0.0344827586206896
"Ecuador","Loja","EC-L","2020-02-01","2020-02-29",2020,2,516200,162,0,219.5,-57.5,162,0,-11.139093374661,-0.261958997722096
"Ecuador","Loja","EC-L","2020-03-01","2020-03-31",2020,3,516200,139,0,195,-56,139,0,-10.8485083301046,-0.287179487179487
"Ecuador","Loja","EC-L","2020-04-01","2020-04-30",2020,4,516200,149,0,192.5,-43.5,149,0,-8.42696629213483,-0.225974025974026
"Ecuador","Loja","EC-L","2020-05-01","2020-05-31",2020,5,516200,144,0,196.5,-52.5,144,0,-10.1704765594731,-0.267175572519084
"Ecuador","Manabí","EC-M","2020-01-01","2020-01-31",2020,1,1549800,623,0,567.5,55.5,623,0,3.58110723964383,0.0977973568281938
"Ecuador","Manabí","EC-M","2020-02-01","2020-02-29",2020,2,1549800,532,0,524.5,7.5,532,0,0.483933410762679,0.0142993326978074
"Ecuador","Manabí","EC-M","2020-03-01","2020-03-31",2020,3,1549800,506,0,574.5,-68.5,506,0,-4.41992515163247,-0.119234116623151
"Ecuador","Manabí","EC-M","2020-04-01","2020-04-30",2020,4,1549800,1445,0,519.5,925.5,1445,0,59.7173828881146,1.78152069297401
"Ecuador","Manabí","EC-M","2020-05-01","2020-05-31",2020,5,1549800,1017,0,473.5,543.5,1017,0,35.0690411666021,1.14783526927138
"Ecuador","Napo","EC-N","2020-01-01","2020-01-31",2020,1,131000,35,0,33.5,1.5,35,0,1.14503816793893,0.044776119402985
"Ecuador","Napo","EC-N","2020-02-01","2020-02-29",2020,2,131000,29,0,22.5,6.5,29,0,4.9618320610687,0.288888888888889
"Ecuador","Napo","EC-N","2020-03-01","2020-03-31",2020,3,131000,13,0,32,-19,13,0,-14.5038167938931,-0.59375
