"country","region","region_code","start_date","end_date","days","year","quarter","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Iran","Iran","0",2019-12-21,2020-03-20,91,2020,"1",83183741,7868.7,1433,8745.03351046674,-876.333510466739,6435.7,1.72269241894278,-1.05349134329837,-0.100209279863579,605.284615384615,110.230769230769,672.694885420518,-67.410270035903,495.053846153846,0.132514801457137,-0.0810377956383364
"Iran","Iran","0",2020-03-21,2020-06-19,91,2020,"2",83183741,7527.1,7959,8552.75536231883,-1025.65536231883,-431.9,9.56797554945263,-1.23299980259222,-0.119921045191774,579.007692307692,612.230769230769,657.90425863991,-78.8965663322174,-33.2230769230769,0.735998119188664,-0.0948461386609403
"Iran","Iran","0",2020-06-20,2020-09-19,92,2020,"3",83183741,7717.3,14726,8786.1098168498,-1068.8098168498,-7008.7,17.7029787587937,-1.28487827549113,-0.121647673330928,587.185869565217,1120.45652173913,668.508355629876,-81.322486064659,-533.270652173913,1.34696577512561,-0.0977624774830204
"Iran","Iran","0",2020-09-20,2020-12-20,92,2020,"4",83183741,7509.4,29507,8733.07648351647,-1223.67648351647,-21997.6,35.4720762077772,-1.47105247829197,-0.140119748845225,571.367391304348,2245.09782608696,664.47321070234,-93.1058193979924,-1673.73043478261,2.69896232015696,-0.111927905956998
"Iran","Iran","0",2020-12-21,2021-03-20,90,2021,"1",83183741,8929,8099,8997.88469501502,-68.8846950150182,830,9.73627766993552,-0.0828102874274652,-0.00765565433986737,694.477777777778,629.922222222222,699.835476278946,-5.35769850116808,64.5555555555555,0.757266040994985,-0.00644080013324729
"Iran","Iran","0",2021-03-21,2021-06-19,91,2021,"2",83183741,8628.3,21130,8905.58304347838,-277.283043478385,-12501.7,25.4015986128828,-0.333338029938308,-0.0311358663576149,663.715384615385,1625.38461538462,685.044849498337,-21.3294648829527,-961.669230769231,1.95396912406791,-0.0256413869183314
"Iran","Iran","0",2021-06-20,2021-09-19,92,2021,"3",83183741,8651.4,30081,9142.81472527485,-491.414725274852,-21429.6,36.1621149017571,-0.59075814500198,-0.0537487349400574,658.258695652174,2288.77173913043,695.648946488304,-37.39025083613,-1630.51304347826,2.75146526426412,-0.0449489892936289
"Iran","Iran","0",2021-09-20,2021-12-20,92,2021,"4",83183741,8933.9,0,9089.78139194152,-155.881391941519,8933.9,0,-0.187394062911307,-0.0171490804035963,679.753260869565,0,691.613801560768,-11.8605406912025,679.753260869565,0,-0.0142582439171647
"Tajikistan","Tajikistan","0",2020-01-01,2020-03-31,91,2020,"1",9537645,8922,0,8734.92100845412,187.078991545883,8922,0,1.96147992031453,0.0214173650070582,686.307692307692,0,671.917000650317,14.3906916573756,686.307692307692,0,0.150883070793425
"Tajikistan","Tajikistan","0",2020-04-01,2020-06-30,91,2020,"2",9537645,9392,52,7832.78545289856,1559.21454710144,9340,0.545207962762296,16.3480035910483,0.199062588459441,722.461538461538,4,602.521957915274,119.939580546265,718.461538461538,0.0419390740586382,1.25753873777295
"Tajikistan","Tajikistan","0",2020-07-01,2020-09-30,92,2020,"3",9537645,9627,23,7644.83584249085,1982.16415750915,9604,0.241149675837169,20.7825323495386,0.25928145461176,732.489130434783,1.75,581.672292363434,150.816838071348,730.739130434783,0.0183483449006542,1.58127963529098
"Tajikistan","Tajikistan","0",2020-10-01,2020-12-31,92,2020,"4",9537645,13802,15,8636.63584249085,5165.36415750915,13787,0.157271527719893,54.1576474854028,0.598075946666223,1050.15217391304,1.14130434782609,657.135335841695,393.016838071348,1049.01086956522,0.011966311891731,4.12069056954152
