"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-05-13","2020-05-19",2020,"20",125666,27,3,24.231249999958,2.76875000004202,24,2.38728056912769,2.20326102529087,0.114263605882768
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-05-20","2020-05-26",2020,"21",125666,26,0,25.8312499999475,0.168750000052512,26,0,0.134284532055219,0.0065327849040544
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-05-27","2020-06-02",2020,"22",125666,27,0,24.6312499999484,2.36875000005162,27,0,1.88495694941481,0.0961684851583491
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-06-03","2020-06-09",2020,"23",125666,25,1,24.0312499999946,0.968750000005443,24,0.795760189709229,0.770892683785147,0.0403120936283241
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-06-10","2020-06-16",2020,"24",125666,27,0,21.2312499999659,5.76875000003415,27,0,4.59054159441229,0.271710332648498
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-06-17","2020-06-23",2020,"25",125666,25,2,24.2312499999978,0.768750000002242,23,1.59152037941846,0.611740645840754,0.0317255610008693
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-06-24","2020-06-30",2020,"26",125666,26,0,28.2312499999729,-2.2312499999729,26,0,-1.77553992326715,-0.0790347575815823
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-07-01","2020-07-07",2020,"27",125666,25,0,29.2312499999846,-4.2312499999846,25,0,-3.36706030269492,-0.144750908701709
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-07-08","2020-07-14",2020,"28",125666,18,0,26.6312499999597,-8.63124999995968,18,0,-6.8684051373957,-0.32410232339724
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-07-15","2020-07-21",2020,"29",125666,31,0,26.4312499999618,4.56875000003819,31,0,3.63562936676443,0.172854102626429
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-07-22","2020-07-28",2020,"30",125666,22,0,25.6312499999816,-3.63124999998156,22,0,-2.88960418886697,-0.141672762740177
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-07-29","2020-08-04",2020,"31",125666,28,0,23.8312499999738,4.16875000002617,28,0,3.31732529087117,0.174927878312331
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-08-05","2020-08-11",2020,"32",125666,36,0,21.831249999984,14.168750000016,36,0,11.2749271879554,0.649012310336166
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-08-12","2020-08-18",2020,"33",125666,27,0,20.0312499999754,6.96875000002464,27,0,5.5454538220558,0.347893915758288
"Italy","Valle d'Aosta/Vallée d'Aoste","2","2020-08-19","2020-08-25",2020,"34",125666,35,0,24.631249999988,10.368750000012,35,0,8.25103846705712,0.420959147425204
"Italy","Lombardy","3","2020-01-01","2020-01-07",2020,"1",10051747,2095,0,2354.49166666643,-259.491666666425,2095,0,-2.58155787910724,-0.110211333656501
"Italy","Lombardy","3","2020-01-08","2020-01-14",2020,"2",10051747,2063,0,2375.15833333292,-312.158333332918,2063,0,-3.10551323399722,-0.131426325964082
"Italy","Lombardy","3","2020-01-15","2020-01-21",2020,"3",10051747,2146,0,2348.49166666654,-202.491666666542,2146,0,-2.01449227349775,-0.0862220077425098
"Italy","Lombardy","3","2020-01-22","2020-01-28",2020,"4",10051747,2187,0,2306.15833333303,-119.158333333026,2187,0,-1.18544899043943,-0.0516696237247551
"Italy","Lombardy","3","2020-01-29","2020-02-04",2020,"5",10051747,2126,0,2267.32499999976,-141.324999999761,2126,0,-1.40597450373314,-0.0623311611700024
"Italy","Lombardy","3","2020-02-05","2020-02-11",2020,"6",10051747,2125,0,2215.32499999967,-90.3249999996742,2125,0,-0.8986000145017,-0.0407727985734316
"Italy","Lombardy","3","2020-02-12","2020-02-18",2020,"7",10051747,2089,0,2180.65833333313,-91.6583333331259,2089,0,-0.911864707031782,-0.0420324137587509
"Italy","Lombardy","3","2020-02-19","2020-02-25",2020,"8",10051747,2163,9,2151.99166666653,11.008333333466,2154,0.0895366745701021,0.109516617693084,0.00511541633918977
"Italy","Lombardy","3","2020-02-26","2020-03-03",2020,"9",10051747,2358,46,2102.7899999997,255.210000000298,2312,0.457631892247188,2.53896163522916,0.121367326266691
"Italy","Lombardy","3","2020-03-04","2020-03-10",2020,"10",10051747,3594,413,2015.38999999986,1578.61000000014,3181,4.10873851082802,15.7048322047913,0.783277678265872
"Italy","Lombardy","3","2020-03-11","2020-03-17",2020,"11",10051747,5842,1172,2003.78999999979,3838.21000000021,4670,11.6596647329066,38.1845066335256,1.91547517454455
"Italy","Lombardy","3","2020-03-18","2020-03-24",2020,"12",10051747,7785,2538,1927.38999999979,5857.61000000021,5247,25.2493422287688,58.2745467031772,3.03914101453304
"Italy","Lombardy","3","2020-03-25","2020-03-31",2020,"13",10051747,7259,3021,1895.78999999979,5363.21000000021,4238,30.0544770973643,53.3559987134596,2.82901059716573
"Italy","Lombardy","3","2020-04-01","2020-04-07",2020,"14",10051747,5560,2285,1904.98999999978,3655.01000000022,3275,22.7323668214093,36.3619378800543,1.91865049160396
"Italy","Lombardy","3","2020-04-08","2020-04-14",2020,"15",10051747,4544,1658,1852.98999999981,2691.01000000019,2886,16.4946451596921,26.7715651816564,1.45225284540147
"Italy","Lombardy","3","2020-04-15","2020-04-21",2020,"16",10051747,3551,1437,1830.78999999976,1720.21000000024,2114,14.2960223730263,17.1135425513619,0.939599844875966
"Italy","Lombardy","3","2020-04-22","2020-04-28",2020,"17",10051747,2799,996,1778.78999999974,1020.21000000026,1803,9.9087253190913,10.1495789736874,0.573541564771785
"Italy","Lombardy","3","2020-04-29","2020-05-05",2020,"18",10051747,2368,814,1768.5899999997,599.410000000296,1554,8.0980947888959,5.96324201156571,0.338919704397513
"Italy","Lombardy","3","2020-05-06","2020-05-12",2020,"19",10051747,2196,727,1794.58999999974,401.410000000257,1469,7.23257360138491,3.99343517102308,0.223677831705467
"Italy","Lombardy","3","2020-05-13","2020-05-19",2020,"20",10051747,1907,481,1734.78999999973,172.210000000269,1426,4.78523782980212,1.7132345253046,0.0992684993574413
"Italy","Lombardy","3","2020-05-20","2020-05-26",2020,"21",10051747,1760,299,1765.78999999972,-5.7899999997212,1461,2.97460729960673,-0.0576019273039921,-0.00327898560968298
"Italy","Lombardy","3","2020-05-27","2020-06-02",2020,"22",10051747,1778,247,1744.98999999972,33.0100000002792,1531,2.45728429097947,0.328400625287119,0.0189170138512453
"Italy","Lombardy","3","2020-06-03","2020-06-09",2020,"23",10051747,1760,174,1799.78999999976,-39.7899999997642,1586,1.73104237502197,-0.395851586791472,-0.0221081348378251
"Italy","Lombardy","3","2020-06-10","2020-06-16",2020,"24",10051747,1707,149,1713.38999999974,-6.38999999973839,1558,1.48232939010502,-0.0635710389421699,-0.00372944863676072
"Italy","Lombardy","3","2020-06-17","2020-06-23",2020,"25",10051747,1775,113,1721.98999999977,53.0100000002308,1662,1.12418269182462,0.527371013220197,0.0307841508953233
"Italy","Lombardy","3","2020-06-24","2020-06-30",2020,"26",10051747,1799,65,1792.18999999975,6.8100000002546,1734,0.646653760784071,0.0677494170939102,0.00379982033169224
"Italy","Lombardy","3","2020-07-01","2020-07-07",2020,"27",10051747,1815,69,1851.18999999976,-36.1899999997568,1746,0.686447838370783,-0.360036916963357,-0.0195495870222729
"Italy","Lombardy","3","2020-07-08","2020-07-14",2020,"28",10051747,1622,47,1747.98999999973,-125.989999999732,1575,0.467580411643866,-1.2534139587848,-0.0720770713789846
"Italy","Lombardy","3","2020-07-15","2020-07-21",2020,"29",10051747,1703,37,1806.18999999974,-103.189999999738,1666,0.368095217677086,-1.0265877165406,-0.0571313095520146
"Italy","Lombardy","3","2020-07-22","2020-07-28",2020,"30",10051747,1706,5,1829.98999999975,-123.989999999754,1701,0.04974259698339,-1.23351691999166,-0.0677544686035283
"Italy","Lombardy","3","2020-07-29","2020-08-04",2020,"31",10051747,1834,17,1820.18999999975,13.810000000251,1817,0.169124829743526,0.13738905287062,0.0075871200260702
"Italy","Lombardy","3","2020-08-05","2020-08-11",2020,"32",10051747,1797,14,1798.58999999976,-1.58999999975617,1783,0.139279271553492,-0.0158181458382923,-0.000884025820090395
