"country","region","region_code","start_date","end_date","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Germany","Germany","0","2020-03-25","2020-03-31",2020,"13",83149300,20097,583,19188.9916666663,908.008333333735,19514,0.701148416162253,1.0920216205473,0.0473192312085404
"Germany","Germany","0","2020-04-01","2020-04-07",2020,"14",83149300,20876,1129,18937.2416666663,1938.75833333373,19747,1.35779856234508,2.33165923625783,0.10237807424438
"Germany","Germany","0","2020-04-08","2020-04-14",2020,"15",83149300,19817,1393,18306.9916666663,1510.00833333374,18424,1.67529973192799,1.81602049967196,0.082482603413383
"Germany","Germany","0","2020-04-15","2020-04-21",2020,"16",83149300,19225,1625,17660.9916666663,1564.00833333374,17600,1.95431591125842,1.88096392072301,0.0885572205034038
"Germany","Germany","0","2020-04-22","2020-04-28",2020,"17",83149300,18341,1236,17711.7416666663,629.258333333728,17105,1.48648274850179,0.756781275769884,0.0355277501883398
"Germany","Germany","0","2020-04-29","2020-05-05",2020,"18",83149300,17698,881,17306.7416666663,391.258333333735,16817,1.05953988788841,0.47054916076712,0.0226072787627796
"Germany","Germany","0","2020-05-06","2020-05-12",2020,"19",83149300,17500,638,17659.2416666663,-159.241666666268,16862,0.767294493158692,-0.191512937169968,-0.00901746913441104
"Germany","Germany","0","2020-05-13","2020-05-19",2020,"20",83149300,17057,456,17310.7416666663,-253.741666666261,16601,0.548411111097748,-0.305163924009296,-0.014658047098864
"Germany","Germany","0","2020-05-20","2020-05-26",2020,"21",83149300,16954,259,16932.2416666663,21.7583333337461,16695,0.311487889855958,0.0261677889456028,0.0012850237884674
"Germany","Germany","0","2020-05-27","2020-06-02",2020,"22",83149300,16728,202,17208.4916666663,-480.491666666272,16526,0.242936500968739,-0.577866159626445,-0.0279217769908916
"Germany","Germany","0","2020-06-03","2020-06-09",2020,"23",83149300,17006,178,16788.2416666663,217.758333333735,16828,0.214072758279384,0.26188835424199,0.0129708838875071
"Germany","Germany","0","2020-06-10","2020-06-16",2020,"24",83149300,16632,101,16298.9916666663,333.008333333722,16531,0.12146825048437,0.400494451948149,0.0204312229949029
"Germany","Germany","0","2020-06-17","2020-06-23",2020,"25",83149300,16570,84,16735.7416666663,-165.741666666265,16486,0.101023099412743,-0.199330200814998,-0.00990345513018909
"Germany","Germany","0","2020-06-24","2020-06-30",2020,"26",83149300,16897,71,17116.9916666663,-219.991666666272,16826,0.0853885721226757,-0.264574285852403,-0.012852238930202
"Germany","Germany","0","2020-07-01","2020-07-07",2020,"27",83149300,16514,51,16535.9916666663,-21.9916666662575,16463,0.0613354532148797,-0.0264484086652053,-0.00132992729493142
