"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths"
"Ecuador","Chimborazo","EC-H","2020-03-01","2020-03-31",2020,3,519800,182,0,205.5,-23.5,182
"Ecuador","Chimborazo","EC-H","2020-04-01","2020-04-30",2020,4,519800,286,0,190,96,286
"Ecuador","Chimborazo","EC-H","2020-05-01","2020-05-31",2020,5,519800,183,0,184,-1,183
"Ecuador","Imbabura","EC-I","2020-01-01","2020-01-31",2020,1,470100,185,0,179.5,5.5,185
"Ecuador","Imbabura","EC-I","2020-02-01","2020-02-29",2020,2,470100,154,0,147,7,154
"Ecuador","Imbabura","EC-I","2020-03-01","2020-03-31",2020,3,470100,135,0,162,-27,135
"Ecuador","Imbabura","EC-I","2020-04-01","2020-04-30",2020,4,470100,159,0,160,-1,159
"Ecuador","Imbabura","EC-I","2020-05-01","2020-05-31",2020,5,470100,142,0,178,-36,142
"Ecuador","Loja","EC-L","2020-01-01","2020-01-31",2020,1,516200,210,0,217.5,-7.5,210
"Ecuador","Loja","EC-L","2020-02-01","2020-02-29",2020,2,516200,162,0,219.5,-57.5,162
"Ecuador","Loja","EC-L","2020-03-01","2020-03-31",2020,3,516200,139,0,195,-56,139
"Ecuador","Loja","EC-L","2020-04-01","2020-04-30",2020,4,516200,149,0,192.5,-43.5,149
"Ecuador","Loja","EC-L","2020-05-01","2020-05-31",2020,5,516200,144,0,196.5,-52.5,144
"Ecuador","Manabí","EC-M","2020-01-01","2020-01-31",2020,1,1549800,623,0,567.5,55.5,623
"Ecuador","Manabí","EC-M","2020-02-01","2020-02-29",2020,2,1549800,532,0,524.5,7.5,532
"Ecuador","Manabí","EC-M","2020-03-01","2020-03-31",2020,3,1549800,506,0,574.5,-68.5,506
"Ecuador","Manabí","EC-M","2020-04-01","2020-04-30",2020,4,1549800,1445,0,519.5,925.5,1445
"Ecuador","Manabí","EC-M","2020-05-01","2020-05-31",2020,5,1549800,1017,0,473.5,543.5,1017
"Ecuador","Napo","EC-N","2020-01-01","2020-01-31",2020,1,131000,35,0,33.5,1.5,35
"Ecuador","Napo","EC-N","2020-02-01","2020-02-29",2020,2,131000,29,0,22.5,6.5,29
"Ecuador","Napo","EC-N","2020-03-01","2020-03-31",2020,3,131000,13,0,32,-19,13
"Ecuador","Napo","EC-N","2020-04-01","2020-04-30",2020,4,131000,31,0,32,-1,31
"Ecuador","Napo","EC-N","2020-05-01","2020-05-31",2020,5,131000,44,0,31,13,44
"Ecuador","El Oro","EC-O","2020-01-01","2020-01-31",2020,1,707200,298,0,270.5,27.5,298
"Ecuador","El Oro","EC-O","2020-02-01","2020-02-29",2020,2,707200,224,0,244.5,-20.5,224
"Ecuador","El Oro","EC-O","2020-03-01","2020-03-31",2020,3,707200,251,0,268,-17,251
"Ecuador","El Oro","EC-O","2020-04-01","2020-04-30",2020,4,707200,564,0,227.5,336.5,564
"Ecuador","El Oro","EC-O","2020-05-01","2020-05-31",2020,5,707200,546,0,250.5,295.5,546
"Ecuador","Pichincha","EC-P","2020-01-01","2020-01-31",2020,1,3172200,1204,0,1268.5,-64.5,1204
"Ecuador","Pichincha","EC-P","2020-02-01","2020-02-29",2020,2,3172200,1143,0,998,145,1143
"Ecuador","Pichincha","EC-P","2020-03-01","2020-03-31",2020,3,3172200,1086,0,1047.5,38.5,1086
"Ecuador","Pichincha","EC-P","2020-04-01","2020-04-30",2020,4,3172200,1255,0,1001.5,253.5,1255
"Ecuador","Pichincha","EC-P","2020-05-01","2020-05-31",2020,5,3172200,1507,0,1096,411,1507
