"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change","total_deaths_per_7_days","covid_deaths_per_7_days","expected_deaths_per_7_days","excess_deaths_per_7_days","non_covid_deaths_per_7_days","covid_deaths_per_100k_per_7_days","excess_deaths_per_100k_per_7_days"
"Nicaragua","Nicaragua","0",2020-01-01,2020-01-31,31,2020,"1",6486201,2108,0,2167.28034954083,-59.2803495408307,2108,0,-0.9139456137858,-0.0273524140766515,476,0,489.385885380188,-13.3858853801876,476,0,-0.206374816016148
"Nicaragua","Nicaragua","0",2020-02-01,2020-02-29,29,2020,"2",6486201,1798,0,1875.7175236104,-77.7175236103992,1798,0,-1.19819789134501,-0.0414334901882282,434,0,452.759402250786,-18.759402250786,434,0,-0.289220180669486
"Nicaragua","Nicaragua","0",2020-03-01,2020-03-31,31,2020,"3",6486201,2759,1,2057.73641944901,701.263580550994,2758,0.0154173452225733,10.8116227133725,0.340793686656316,623,0.225806451612903,464.650159230421,158.349840769579,622.774193548387,0.00348133601800042,2.44133416108411
"Nicaragua","Nicaragua","0",2020-04-01,2020-04-30,30,2020,"4",6486201,3240,2,2056.40943817646,1183.59056182354,3238,0.0308346904451466,18.247824293813,0.575561724163795,756,0.466666666666667,479.82886890784,276.17113109216,755.533333333333,0.00719476110386753,4.25782566855637
"Nicaragua","Nicaragua","0",2020-05-01,2020-05-31,31,2020,"5",6486201,3348,32,2073.73641944901,1274.26358055099,3316,0.493355047122345,19.645761525907,0.614477118981962,756,7.2258064516129,468.263062456227,287.736937543773,748.774193548387,0.111402752576013,4.43613969939835
"Nicaragua","Nicaragua","0",2020-06-01,2020-06-30,30,2020,"6",6486201,3240,48,2088.00943817646,1151.99056182354,3192,0.740032570683517,17.7606361847797,0.551717123860141,756,11.2,487.202202241173,268.797797758827,744.8,0.172674266492821,4.14414844311527
"Nicaragua","Nicaragua","0",2020-07-01,2020-07-31,31,2020,"7",6486201,3544,33,2204.33641944901,1339.66358055099,3511,0.508772392344918,20.6540559034633,0.607740074850216,800.258064516129,7.45161290322581,497.753385036872,302.504679479257,792.806451612903,0.114884088594014,4.66381907497558
"Nicaragua","Nicaragua","0",2020-08-01,2020-08-31,31,2020,"8",6486201,3544,21,2193.53641944901,1350.46358055099,3523,0.323764249674039,20.8205632318671,0.61565587358254,800.258064516129,4.74193548387097,495.314675359453,304.943389156676,795.516129032258,0.0731080563780088,4.70141750396998
