"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Slovakia","Slovakia","0",2020-03-16,2020-03-22,7,2020,"12",5460726,1187,0,1077.0570224719,109.942977528101,1187,0,2.01333993919675,0.102077211544266
"Slovakia","Slovakia","0",2020-03-23,2020-03-29,7,2020,"13",5460726,1054,0,1048.6570224719,5.34297752810039,1054,0,0.097843721294575,0.00509506675071503
"Slovakia","Slovakia","0",2020-03-30,2020-04-05,7,2020,"14",5460726,1081,1,1013.2570224719,67.7429775281011,1080,0.018312583345145,1.24054892203163,0.0668566573196188
"Slovakia","Slovakia","0",2020-04-06,2020-04-12,7,2020,"15",5460726,1003,1,1042.8570224719,-39.8570224718987,1002,0.018312583345145,-0.729885045905961,-0.0382190670562155
"Slovakia","Slovakia","0",2020-04-13,2020-04-19,7,2020,"16",5460726,957,10,1002.0570224719,-45.0570224718992,947,0.18312583345145,-0.825110479300724,-0.0449645294244349
"Slovakia","Slovakia","0",2020-04-20,2020-04-26,7,2020,"17",5460726,977,6,1006.0570224719,-29.0570224718997,971,0.10987550007087,-0.532109145778413,-0.0288820830458557
"Slovakia","Slovakia","0",2020-04-27,2020-05-03,7,2020,"18",5460726,970,6,976.457022471898,-6.45702247189843,964,0.10987550007087,-0.118244762178114,-0.00661270524283031
"Slovakia","Slovakia","0",2020-05-04,2020-05-10,7,2020,"19",5460726,1005,2,951.657022471898,53.3429775281015,1003,0.0366251666902899,0.976847721861553,0.056052733567336
"Slovakia","Slovakia","0",2020-05-11,2020-05-17,7,2020,"20",5460726,979,2,941.457022471898,37.5429775281016,977,0.0366251666902899,0.687508905008264,0.0398775266761815
"Slovakia","Slovakia","0",2020-05-18,2020-05-24,7,2020,"21",5460726,953,0,957.857022471899,-4.8570224718992,953,0,-0.088944628825896,-0.00507071761019706
"Slovakia","Slovakia","0",2020-05-25,2020-05-31,7,2020,"22",5460726,913,0,950.857022471899,-37.8570224718994,913,0,-0.693259879215684,-0.039813580356681
"Slovakia","Slovakia","0",2020-06-01,2020-06-07,7,2020,"23",5460726,963,0,919.457022471899,43.5429775281007,963,0,0.797384405079117,0.0473572733296856
"Slovakia","Slovakia","0",2020-06-08,2020-06-14,7,2020,"24",5460726,981,0,969.457022471899,11.5429775281007,981,0,0.211381738034479,0.0119066418216958
"Slovakia","Slovakia","0",2020-06-15,2020-06-21,7,2020,"25",5460726,899,0,952.4570224719,-53.4570224719001,899,0,-0.978936179399958,-0.0561253906587447
