country,region,start_date,end_date,population,total_deaths
Netherlands,Netherlands,29/12/2014,04/01/2015,17414806,3255
Netherlands,Netherlands,05/01/2015,11/01/2015,17414806,3429
Netherlands,Netherlands,12/01/2015,18/01/2015,17414806,3377
Netherlands,Netherlands,19/01/2015,25/01/2015,17414806,3353
Netherlands,Netherlands,26/01/2015,01/02/2015,17414806,3322
Netherlands,Netherlands,02/02/2015,08/02/2015,17414806,3272
Netherlands,Netherlands,09/02/2015,15/02/2015,17414806,3311
Netherlands,Netherlands,16/02/2015,22/02/2015,17414806,3381
Netherlands,Netherlands,23/02/2015,01/03/2015,17414806,3207
Netherlands,Netherlands,02/03/2015,08/03/2015,17414806,3222
Netherlands,Netherlands,09/03/2015,15/03/2015,17414806,3086
Netherlands,Netherlands,16/03/2015,22/03/2015,17414806,3052
Netherlands,Netherlands,23/03/2015,29/03/2015,17414806,3084
Netherlands,Netherlands,30/03/2015,05/04/2015,17414806,2839
Netherlands,Netherlands,06/04/2015,12/04/2015,17414806,2888
Netherlands,Netherlands,13/04/2015,19/04/2015,17414806,2893
Netherlands,Netherlands,20/04/2015,26/04/2015,17414806,2829
Netherlands,Netherlands,27/04/2015,03/05/2015,17414806,2674
Netherlands,Netherlands,04/05/2015,10/05/2015,17414806,2741
Netherlands,Netherlands,11/05/2015,17/05/2015,17414806,2721
Netherlands,Netherlands,18/05/2015,24/05/2015,17414806,2566
Netherlands,Netherlands,25/05/2015,31/05/2015,17414806,2660
Netherlands,Netherlands,01/06/2015,07/06/2015,17414806,2595
Netherlands,Netherlands,08/06/2015,14/06/2015,17414806,2680
Netherlands,Netherlands,15/06/2015,21/06/2015,17414806,2559
Netherlands,Netherlands,22/06/2015,28/06/2015,17414806,2547
Netherlands,Netherlands,29/06/2015,05/07/2015,17414806,2848
Netherlands,Netherlands,06/07/2015,12/07/2015,17414806,2587
Netherlands,Netherlands,13/07/2015,19/07/2015,17414806,2567
Netherlands,Netherlands,20/07/2015,26/07/2015,17414806,2548
Netherlands,Netherlands,27/07/2015,02/08/2015,17414806,2490
Netherlands,Netherlands,03/08/2015,09/08/2015,17414806,2544
Netherlands,Netherlands,10/08/2015,16/08/2015,17414806,2529
Netherlands,Netherlands,17/08/2015,23/08/2015,17414806,2519
Netherlands,Netherlands,24/08/2015,30/08/2015,17414806,2527
Netherlands,Netherlands,31/08/2015,06/09/2015,17414806,2510
Netherlands,Netherlands,07/09/2015,13/09/2015,17414806,2599
Netherlands,Netherlands,14/09/2015,20/09/2015,17414806,2633
Netherlands,Netherlands,21/09/2015,27/09/2015,17414806,2683
Netherlands,Netherlands,28/09/2015,04/10/2015,17414806,2742
Netherlands,Netherlands,05/10/2015,11/10/2015,17414806,2690
Netherlands,Netherlands,12/10/2015,18/10/2015,17414806,2712
Netherlands,Netherlands,19/10/2015,25/10/2015,17414806,2832
Netherlands,Netherlands,26/10/2015,01/11/2015,17414806,2824
Netherlands,Netherlands,02/11/2015,08/11/2015,17414806,2692
Netherlands,Netherlands,09/11/2015,15/11/2015,17414806,2599
Netherlands,Netherlands,16/11/2015,22/11/2015,17414806,2806
Netherlands,Netherlands,23/11/2015,29/11/2015,17414806,2721
Netherlands,Netherlands,30/11/2015,06/12/2015,17414806,2759
Netherlands,Netherlands,07/12/2015,13/12/2015,17414806,2844
Netherlands,Netherlands,14/12/2015,20/12/2015,17414806,2881
Netherlands,Netherlands,21/12/2015,27/12/2015,17414806,2592
Netherlands,Netherlands,28/12/2015,03/01/2016,17414806,2920
Netherlands,Netherlands,04/01/2016,10/01/2016,17414806,3173
Netherlands,Netherlands,11/01/2016,17/01/2016,17414806,3075
Netherlands,Netherlands,18/01/2016,24/01/2016,17414806,3062
Netherlands,Netherlands,25/01/2016,31/01/2016,17414806,3201
Netherlands,Netherlands,01/02/2016,07/02/2016,17414806,3103
Netherlands,Netherlands,08/02/2016,14/02/2016,17414806,3036
Netherlands,Netherlands,15/02/2016,21/02/2016,17414806,3027
Netherlands,Netherlands,22/02/2016,28/02/2016,17414806,3319
Netherlands,Netherlands,29/02/2016,06/03/2016,17414806,3185
Netherlands,Netherlands,07/03/2016,13/03/2016,17414806,3151
Netherlands,Netherlands,14/03/2016,20/03/2016,17414806,3062
Netherlands,Netherlands,21/03/2016,27/03/2016,17414806,3028
Netherlands,Netherlands,28/03/2016,03/04/2016,17414806,3037
Netherlands,Netherlands,04/04/2016,10/04/2016,17414806,3010
Netherlands,Netherlands,11/04/2016,17/04/2016,17414806,2767
Netherlands,Netherlands,18/04/2016,24/04/2016,17414806,2751
Netherlands,Netherlands,25/04/2016,01/05/2016,17414806,2742
Netherlands,Netherlands,02/05/2016,08/05/2016,17414806,2754
Netherlands,Netherlands,09/05/2016,15/05/2016,17414806,2952
Netherlands,Netherlands,16/05/2016,22/05/2016,17414806,2671
Netherlands,Netherlands,23/05/2016,29/05/2016,17414806,2713
Netherlands,Netherlands,30/05/2016,05/06/2016,17414806,2682
Netherlands,Netherlands,06/06/2016,12/06/2016,17414806,2587
Netherlands,Netherlands,13/06/2016,19/06/2016,17414806,2620
Netherlands,Netherlands,20/06/2016,26/06/2016,17414806,2597
Netherlands,Netherlands,27/06/2016,03/07/2016,17414806,2609
Netherlands,Netherlands,04/07/2016,10/07/2016,17414806,2693
Netherlands,Netherlands,11/07/2016,17/07/2016,17414806,2627
Netherlands,Netherlands,18/07/2016,24/07/2016,17414806,2753
Netherlands,Netherlands,25/07/2016,31/07/2016,17414806,2542
Netherlands,Netherlands,01/08/2016,07/08/2016,17414806,2500
Netherlands,Netherlands,08/08/2016,14/08/2016,17414806,2558
Netherlands,Netherlands,15/08/2016,21/08/2016,17414806,2568
Netherlands,Netherlands,22/08/2016,28/08/2016,17414806,2701
Netherlands,Netherlands,29/08/2016,04/09/2016,17414806,2591
Netherlands,Netherlands,05/09/2016,11/09/2016,17414806,2584
Netherlands,Netherlands,12/09/2016,18/09/2016,17414806,2725
Netherlands,Netherlands,19/09/2016,25/09/2016,17414806,2500
Netherlands,Netherlands,26/09/2016,02/10/2016,17414806,2665
Netherlands,Netherlands,03/10/2016,09/10/2016,17414806,2683
Netherlands,Netherlands,10/10/2016,16/10/2016,17414806,2934
Netherlands,Netherlands,17/10/2016,23/10/2016,17414806,2744
Netherlands,Netherlands,24/10/2016,30/10/2016,17414806,2948
Netherlands,Netherlands,31/10/2016,06/11/2016,17414806,2731
