country,region,start_date,end_date,population,total_deaths,expected_deaths
Austria,Austria,27/01/2020,02/02/2020,8902600,1946,1814
Austria,Austria,03/02/2020,09/02/2020,8902600,1677,1815
Austria,Austria,10/02/2020,16/02/2020,8902600,1720,1768
Austria,Austria,17/02/2020,23/02/2020,8902600,1712,1773
Austria,Austria,24/02/2020,01/03/2020,8902600,1765,1799
Austria,Austria,02/03/2020,08/03/2020,8902600,1731,1731
Austria,Austria,09/03/2020,15/03/2020,8902600,1707,1699
Austria,Austria,16/03/2020,22/03/2020,8902600,1826,1574
Austria,Austria,23/03/2020,29/03/2020,8902600,1749,1626
Austria,Austria,30/03/2020,05/04/2020,8902600,1788,1581
