"country","region","region_code","start_date","end_date","days","year","quarter","population","total_deaths","covid_deaths","expected_deaths"
"Malaysia","Malaysia",0,"2016-01-01","2016-03-31",91,2016,1,32730000,40800,0,"TBC"
"Malaysia","Malaysia",0,"2016-04-01","2016-06-30",91,2016,2,32730000,40600,0,"TBC"
"Malaysia","Malaysia",0,"2016-07-01","2016-09-30",92,2016,3,32730000,40900,0,"TBC"
"Malaysia","Malaysia",0,"2016-10-01","2016-12-31",92,2016,4,32730000,39900,0,"TBC"
"Malaysia","Malaysia",0,"2017-01-01","2017-03-31",90,2017,1,32730000,42200,0,"TBC"
"Malaysia","Malaysia",0,"2017-04-01","2017-06-30",91,2017,2,32730000,42300,0,"TBC"
"Malaysia","Malaysia",0,"2017-07-01","2017-09-30",92,2017,3,32730000,41500,0,"TBC"
"Malaysia","Malaysia",0,"2017-10-01","2017-12-31",92,2017,4,32730000,42100,0,"TBC"
"Malaysia","Malaysia",0,"2018-01-01","2018-03-31",90,2018,1,32730000,43900,0,"TBC"
"Malaysia","Malaysia",0,"2018-04-01","2018-06-30",91,2018,2,32730000,42700,0,"TBC"
"Malaysia","Malaysia",0,"2018-07-01","2018-09-30",92,2018,3,32730000,42200,0,"TBC"
"Malaysia","Malaysia",0,"2018-10-01","2018-12-31",92,2018,4,32730000,43300,0,"TBC"
"Malaysia","Malaysia",0,"2019-01-01","2019-03-31",90,2019,1,32730000,43000,0,"TBC"
"Malaysia","Malaysia",0,"2019-04-01","2019-06-30",91,2019,2,32730000,43300,0,"TBC"
"Malaysia","Malaysia",0,"2019-07-01","2019-09-30",92,2019,3,32730000,42800,0,"TBC"
"Malaysia","Malaysia",0,"2019-10-01","2019-12-31",92,2019,4,32730000,44600,0,"TBC"
"Malaysia","Malaysia",0,"2020-01-01","2020-03-31",91,2020,1,32730000,43200,43,"TBC"
"Malaysia","Malaysia",0,"2020-04-01","2020-06-30",91,2020,2,32730000,43500,78,"TBC"
"Malaysia","Malaysia",0,"2020-07-01","2020-09-30",92,2020,3,32730000,43200,15,"TBC"
"Malaysia","Malaysia",0,"2020-10-01","2020-12-31",92,2020,4,32730000,44400,335,"TBC"
