"country","region","region_code","start_date","end_date","days","year","quarter","population","total_deaths","covid_deaths","expected_deaths"
"Iran","Iran",0,"2014-12-21","2015-03-20",90,2015,1,83183741,104609,0,"TBC"
"Iran","Iran",0,"2015-03-21","2015-06-19",91,2015,2,83183741,91198,0,"TBC"
"Iran","Iran",0,"2015-06-20","2015-09-19",92,2015,3,83183741,90009,0,"TBC"
"Iran","Iran",0,"2015-09-20","2015-12-20",92,2015,4,83183741,90451,0,"TBC"
"Iran","Iran",0,"2015-12-21","2016-03-20",91,2016,1,83183741,95026,0,"TBC"
"Iran","Iran",0,"2016-03-21","2016-06-19",91,2016,2,83183741,90558,0,"TBC"
"Iran","Iran",0,"2016-06-20","2016-09-19",92,2016,3,83183741,88026,0,"TBC"
"Iran","Iran",0,"2016-09-20","2016-12-20",92,2016,4,83183741,95737,0,"TBC"
"Iran","Iran",0,"2016-12-21","2017-03-20",90,2017,1,83183741,94831,0,"TBC"
"Iran","Iran",0,"2017-03-21","2017-06-19",91,2017,2,83183741,93067,0,"TBC"
"Iran","Iran",0,"2017-06-20","2017-09-19",92,2017,3,83183741,88002,0,"TBC"
"Iran","Iran",0,"2017-09-20","2017-12-20",92,2017,4,83183741,94214,0,"TBC"
"Iran","Iran",0,"2017-12-21","2018-03-20",90,2018,1,83183741,101030,0,"TBC"
"Iran","Iran",0,"2018-03-21","2018-06-19",91,2018,2,83183741,90214,0,"TBC"
"Iran","Iran",0,"2018-06-20","2018-09-19",92,2018,3,83183741,91737,0,"TBC"
"Iran","Iran",0,"2018-09-20","2018-12-20",92,2018,4,83183741,93863,0,"TBC"
"Iran","Iran",0,"2018-12-21","2019-03-20",90,2019,1,83183741,101210,0,"TBC"
"Iran","Iran",0,"2019-03-21","2019-06-19",91,2019,2,83183741,91742,0,"TBC"
"Iran","Iran",0,"2019-06-20","2019-09-19",92,2019,3,83183741,94441,0,"TBC"
"Iran","Iran",0,"2019-09-20","2019-12-20",92,2019,4,83183741,103422,0,"TBC"
"Iran","Iran",0,"2019-12-21","2020-03-20",91,2020,1,83183741,105787,1433,"TBC"
"Iran","Iran",0,"2020-03-21","2020-06-19",91,2020,2,83183741,110384,7959,"TBC"
"Iran","Iran",0,"2020-06-20","2020-09-19",92,2020,3,83183741,131294,14726,"TBC"
"Iran","Iran",0,"2020-09-20","2020-12-20",92,2020,4,83183741,155823,29507,"TBC"
