"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Indonesia","Jakarta",0,"2018-01-01","2018-01-31",2018,1,10770000,2652,0,"TBC"
"Indonesia","Jakarta",0,"2018-02-01","2018-02-28",2018,2,10770000,2611,0,"TBC"
"Indonesia","Jakarta",0,"2018-03-01","2018-03-31",2018,3,10770000,2940,0,"TBC"
"Indonesia","Jakarta",0,"2018-04-01","2018-04-30",2018,4,10770000,3145,0,"TBC"
"Indonesia","Jakarta",0,"2018-05-01","2018-05-31",2018,5,10770000,2890,0,"TBC"
"Indonesia","Jakarta",0,"2018-06-01","2018-06-30",2018,6,10770000,2676,0,"TBC"
"Indonesia","Jakarta",0,"2018-07-01","2018-07-31",2018,7,10770000,2757,0,"TBC"
"Indonesia","Jakarta",0,"2018-08-01","2018-08-31",2018,8,10770000,2885,0,"TBC"
"Indonesia","Jakarta",0,"2018-09-01","2018-09-30",2018,9,10770000,2730,0,"TBC"
"Indonesia","Jakarta",0,"2018-10-01","2018-10-31",2018,10,10770000,3066,0,"TBC"
"Indonesia","Jakarta",0,"2018-11-01","2018-11-30",2018,11,10770000,2727,0,"TBC"
"Indonesia","Jakarta",0,"2018-12-01","2018-12-31",2018,12,10770000,2797,0,"TBC"
"Indonesia","Jakarta",0,"2019-01-01","2019-01-31",2019,1,10770000,2783,0,"TBC"
"Indonesia","Jakarta",0,"2019-02-01","2019-02-28",2019,2,10770000,2934,0,"TBC"
"Indonesia","Jakarta",0,"2019-03-01","2019-03-31",2019,3,10770000,3153,0,"TBC"
"Indonesia","Jakarta",0,"2019-04-01","2019-04-30",2019,4,10770000,2790,0,"TBC"
"Indonesia","Jakarta",0,"2019-05-01","2019-05-31",2019,5,10770000,2806,0,"TBC"
"Indonesia","Jakarta",0,"2019-06-01","2019-06-30",2019,6,10770000,2773,0,"TBC"
"Indonesia","Jakarta",0,"2019-07-01","2019-07-31",2019,7,10770000,2632,0,"TBC"
"Indonesia","Jakarta",0,"2019-08-01","2019-08-31",2019,8,10770000,2673,0,"TBC"
"Indonesia","Jakarta",0,"2019-09-01","2019-09-30",2019,9,10770000,2649,0,"TBC"
"Indonesia","Jakarta",0,"2019-10-01","2019-10-31",2019,10,10770000,2815,0,"TBC"
"Indonesia","Jakarta",0,"2019-11-01","2019-11-30",2019,11,10770000,2770,0,"TBC"
"Indonesia","Jakarta",0,"2019-12-01","2019-12-31",2019,12,10770000,2871,0,"TBC"
"Indonesia","Jakarta",0,"2020-01-01","2020-01-31",2020,1,10770000,3303,0,"TBC"
"Indonesia","Jakarta",0,"2020-02-01","2020-02-29",2020,2,10770000,2744,0,"TBC"
"Indonesia","Jakarta",0,"2020-03-01","2020-03-31",2020,3,10770000,4422,84,"TBC"
"Indonesia","Jakarta",0,"2020-04-01","2020-04-30",2020,4,10770000,4377,297,"TBC"
