"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Russia","Moscow",0,"2014-11-01","2014-11-30",2014,11,12537954,9042,0,"TBC"
"Russia","Moscow",0,"2014-12-01","2014-12-31",2014,12,12537954,10783,0,"TBC"
"Russia","Moscow",0,"2015-01-01","2015-01-31",2015,1,12537954,11042,0,"TBC"
"Russia","Moscow",0,"2015-02-01","2015-02-28",2015,2,12537954,10146,0,"TBC"
"Russia","Moscow",0,"2015-03-01","2015-03-31",2015,3,12537954,10886,0,"TBC"
"Russia","Moscow",0,"2015-04-01","2015-04-30",2015,4,12537954,10271,0,"TBC"
"Russia","Moscow",0,"2015-05-01","2015-05-31",2015,5,12537954,9742,0,"TBC"
"Russia","Moscow",0,"2015-06-01","2015-06-30",2015,6,12537954,9649,0,"TBC"
"Russia","Moscow",0,"2015-07-01","2015-07-31",2015,7,12537954,9629,0,"TBC"
"Russia","Moscow",0,"2015-08-01","2015-08-31",2015,8,12537954,9483,0,"TBC"
"Russia","Moscow",0,"2015-09-01","2015-09-30",2015,9,12537954,9821,0,"TBC"
"Russia","Moscow",0,"2015-10-01","2015-10-31",2015,10,12537954,10559,0,"TBC"
"Russia","Moscow",0,"2015-11-01","2015-11-30",2015,11,12537954,9973,0,"TBC"
"Russia","Moscow",0,"2015-12-01","2015-12-31",2015,12,12537954,10816,0,"TBC"
"Russia","Moscow",0,"2016-01-01","2016-01-31",2016,1,12537954,11673,0,"TBC"
"Russia","Moscow",0,"2016-02-01","2016-02-29",2016,2,12537954,10320,0,"TBC"
"Russia","Moscow",0,"2016-03-01","2016-03-31",2016,3,12537954,10262,0,"TBC"
"Russia","Moscow",0,"2016-04-01","2016-04-30",2016,4,12537954,9923,0,"TBC"
"Russia","Moscow",0,"2016-05-01","2016-05-31",2016,5,12537954,10099,0,"TBC"
"Russia","Moscow",0,"2016-06-01","2016-06-30",2016,6,12537954,9720,0,"TBC"
"Russia","Moscow",0,"2016-07-01","2016-07-31",2016,7,12537954,9373,0,"TBC"
"Russia","Moscow",0,"2016-08-01","2016-08-31",2016,8,12537954,10042,0,"TBC"
"Russia","Moscow",0,"2016-09-01","2016-09-30",2016,9,12537954,9841,0,"TBC"
"Russia","Moscow",0,"2016-10-01","2016-10-31",2016,10,12537954,10346,0,"TBC"
"Russia","Moscow",0,"2016-11-01","2016-11-30",2016,11,12537954,10194,0,"TBC"
"Russia","Moscow",0,"2016-12-01","2016-12-31",2016,12,12537954,12086,0,"TBC"
"Russia","Moscow",0,"2017-01-01","2017-01-31",2017,1,12537954,11858,0,"TBC"
"Russia","Moscow",0,"2017-02-01","2017-02-28",2017,2,12537954,9405,0,"TBC"
"Russia","Moscow",0,"2017-03-01","2017-03-31",2017,3,12537954,10193,0,"TBC"
"Russia","Moscow",0,"2017-04-01","2017-04-30",2017,4,12537954,9569,0,"TBC"
"Russia","Moscow",0,"2017-05-01","2017-05-31",2017,5,12537954,9966,0,"TBC"
"Russia","Moscow",0,"2017-06-01","2017-06-30",2017,6,12537954,9314,0,"TBC"
"Russia","Moscow",0,"2017-07-01","2017-07-31",2017,7,12537954,9669,0,"TBC"
"Russia","Moscow",0,"2017-08-01","2017-08-31",2017,8,12537954,9634,0,"TBC"
"Russia","Moscow",0,"2017-09-01","2017-09-30",2017,9,12537954,9420,0,"TBC"
"Russia","Moscow",0,"2017-10-01","2017-10-31",2017,10,12537954,10490,0,"TBC"
"Russia","Moscow",0,"2017-11-01","2017-11-30",2017,11,12537954,9644,0,"TBC"
"Russia","Moscow",0,"2017-12-01","2017-12-31",2017,12,12537954,10121,0,"TBC"
"Russia","Moscow",0,"2018-01-01","2018-01-31",2018,1,12537954,10733,0,"TBC"
"Russia","Moscow",0,"2018-02-01","2018-02-28",2018,2,12537954,9992,0,"TBC"
"Russia","Moscow",0,"2018-03-01","2018-03-31",2018,3,12537954,11752,0,"TBC"
"Russia","Moscow",0,"2018-04-01","2018-04-30",2018,4,12537954,10861,0,"TBC"
"Russia","Moscow",0,"2018-05-01","2018-05-31",2018,5,12537954,9862,0,"TBC"
"Russia","Moscow",0,"2018-06-01","2018-06-30",2018,6,12537954,9780,0,"TBC"
"Russia","Moscow",0,"2018-07-01","2018-07-31",2018,7,12537954,9487,0,"TBC"
"Russia","Moscow",0,"2018-08-01","2018-08-31",2018,8,12537954,9661,0,"TBC"
"Russia","Moscow",0,"2018-09-01","2018-09-30",2018,9,12537954,9251,0,"TBC"
"Russia","Moscow",0,"2018-10-01","2018-10-31",2018,10,12537954,10637,0,"TBC"
"Russia","Moscow",0,"2018-11-01","2018-11-30",2018,11,12537954,9884,0,"TBC"
"Russia","Moscow",0,"2018-12-01","2018-12-31",2018,12,12537954,10497,0,"TBC"
"Russia","Moscow",0,"2019-01-01","2019-01-31",2019,1,12537954,11485,0,"TBC"
"Russia","Moscow",0,"2019-02-01","2019-02-28",2019,2,12537954,9793,0,"TBC"
"Russia","Moscow",0,"2019-03-01","2019-03-31",2019,3,12537954,10060,0,"TBC"
"Russia","Moscow",0,"2019-04-01","2019-04-30",2019,4,12537954,10005,0,"TBC"
"Russia","Moscow",0,"2019-05-01","2019-05-31",2019,5,12537954,10007,0,"TBC"
"Russia","Moscow",0,"2019-06-01","2019-06-30",2019,6,12537954,9268,0,"TBC"
"Russia","Moscow",0,"2019-07-01","2019-07-31",2019,7,12537954,10096,0,"TBC"
"Russia","Moscow",0,"2019-08-01","2019-08-31",2019,8,12537954,9601,0,"TBC"
"Russia","Moscow",0,"2019-09-01","2019-09-30",2019,9,12537954,9712,0,"TBC"
"Russia","Moscow",0,"2019-10-01","2019-10-31",2019,10,12537954,10462,0,"TBC"
"Russia","Moscow",0,"2019-11-01","2019-11-30",2019,11,12537954,9732,0,"TBC"
"Russia","Moscow",0,"2019-12-01","2019-12-31",2019,12,12537954,10562,0,"TBC"
"Russia","Moscow",0,"2020-01-01","2020-01-31",2020,1,12537954,10918,0,"TBC"
"Russia","Moscow",0,"2020-02-01","2020-02-29",2020,2,12537954,9873,0,"TBC"
"Russia","Moscow",0,"2020-03-01","2020-03-31",2020,3,12537954,10250,0,"TBC"
"Russia","Moscow",0,"2020-04-01","2020-04-30",2020,4,12537954,11846,611,"TBC"
"Russia","Moscow",0,"2020-05-01","2020-05-31",2020,5,12537954,15713,1866,"TBC"
"Russia","Moscow",0,"2020-06-01","2020-06-30",2020,6,12537954,13128,1319,"TBC"
