"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Peru","Peru","PE","2017-01-01","2017-01-31",2017,1,32824358,7536,0,"TBC"
"Peru","Peru","PE","2017-02-01","2017-02-28",2017,2,32824358,7271,0,"TBC"
"Peru","Peru","PE","2017-03-01","2017-03-31",2017,3,32824358,8458,0,"TBC"
"Peru","Peru","PE","2017-04-01","2017-04-30",2017,4,32824358,7508,0,"TBC"
"Peru","Peru","PE","2017-05-01","2017-05-31",2017,5,32824358,7890,0,"TBC"
"Peru","Peru","PE","2017-06-01","2017-06-30",2017,6,32824358,8149,0,"TBC"
"Peru","Peru","PE","2017-07-01","2017-07-31",2017,7,32824358,8722,0,"TBC"
"Peru","Peru","PE","2017-08-01","2017-08-31",2017,8,32824358,8630,0,"TBC"
"Peru","Peru","PE","2017-09-01","2017-09-30",2017,9,32824358,8732,0,"TBC"
"Peru","Peru","PE","2017-10-01","2017-10-31",2017,10,32824358,9053,0,"TBC"
"Peru","Peru","PE","2017-11-01","2017-11-30",2017,11,32824358,8504,0,"TBC"
"Peru","Peru","PE","2017-12-01","2017-12-31",2017,12,32824358,8521,0,"TBC"
"Peru","Peru","PE","2018-01-01","2018-01-31",2018,1,32824358,8660,0,"TBC"
"Peru","Peru","PE","2018-02-01","2018-02-28",2018,2,32824358,7825,0,"TBC"
"Peru","Peru","PE","2018-03-01","2018-03-31",2018,3,32824358,8597,0,"TBC"
"Peru","Peru","PE","2018-04-01","2018-04-30",2018,4,32824358,8491,0,"TBC"
"Peru","Peru","PE","2018-05-01","2018-05-31",2018,5,32824358,9534,0,"TBC"
"Peru","Peru","PE","2018-06-01","2018-06-30",2018,6,32824358,10378,0,"TBC"
"Peru","Peru","PE","2018-07-01","2018-07-31",2018,7,32824358,10630,0,"TBC"
"Peru","Peru","PE","2018-08-01","2018-08-31",2018,8,32824358,10232,0,"TBC"
"Peru","Peru","PE","2018-09-01","2018-09-30",2018,9,32824358,9754,0,"TBC"
"Peru","Peru","PE","2018-10-01","2018-10-31",2018,10,32824358,10110,0,"TBC"
"Peru","Peru","PE","2018-11-01","2018-11-30",2018,11,32824358,8963,0,"TBC"
"Peru","Peru","PE","2018-12-01","2018-12-31",2018,12,32824358,9637,0,"TBC"
"Peru","Peru","PE","2019-01-01","2019-01-31",2019,1,32824358,9636,0,"TBC"
"Peru","Peru","PE","2019-02-01","2019-02-28",2019,2,32824358,9226,0,"TBC"
"Peru","Peru","PE","2019-03-01","2019-03-31",2019,3,32824358,9819,0,"TBC"
"Peru","Peru","PE","2019-04-01","2019-04-30",2019,4,32824358,8880,0,"TBC"
"Peru","Peru","PE","2019-05-01","2019-05-31",2019,5,32824358,8937,0,"TBC"
"Peru","Peru","PE","2019-06-01","2019-06-30",2019,6,32824358,9332,0,"TBC"
"Peru","Peru","PE","2019-07-01","2019-07-31",2019,7,32824358,9917,0,"TBC"
"Peru","Peru","PE","2019-08-01","2019-08-31",2019,8,32824358,9959,0,"TBC"
"Peru","Peru","PE","2019-09-01","2019-09-30",2019,9,32824358,9715,0,"TBC"
"Peru","Peru","PE","2019-10-01","2019-10-31",2019,10,32824358,9980,0,"TBC"
"Peru","Peru","PE","2019-11-01","2019-11-30",2019,11,32824358,9579,0,"TBC"
"Peru","Peru","PE","2019-12-01","2019-12-31",2019,12,32824358,9966,0,"TBC"
"Peru","Peru","PE","2020-01-01","2020-01-31",2020,1,32824358,9710,0,"TBC"
"Peru","Peru","PE","2020-02-01","2020-02-29",2020,2,32824358,9201,0,"TBC"
"Peru","Peru","PE","2020-03-01","2020-03-31",2020,3,32824358,9489,30,"TBC"
"Peru","Peru","PE","2020-04-01","2020-04-30",2020,4,32824358,12499,1021,"TBC"
"Peru","Peru","PE","2020-05-01","2020-05-31",2020,5,32824358,24191,3455,"TBC"
"Peru","Peru","PE","2020-06-01","2020-06-30",2020,6,32824358,25900,5171,"TBC"
