country,region,start_date,end_date,year,week,population,total_deaths
Colombia,Colombia,29/12/2014,04/01/2015,2015,1,50372424,4746
Colombia,Colombia,05/01/2015,11/01/2015,2015,2,50372424,4588
Colombia,Colombia,12/01/2015,18/01/2015,2015,3,50372424,4525
Colombia,Colombia,19/01/2015,25/01/2015,2015,4,50372424,4280
Colombia,Colombia,26/01/2015,01/02/2015,2015,5,50372424,4185
Colombia,Colombia,02/02/2015,08/02/2015,2015,6,50372424,4090
Colombia,Colombia,09/02/2015,15/02/2015,2015,7,50372424,4070
Colombia,Colombia,16/02/2015,22/02/2015,2015,8,50372424,4104
Colombia,Colombia,23/02/2015,01/03/2015,2015,9,50372424,4137
Colombia,Colombia,02/03/2015,08/03/2015,2015,10,50372424,4109
Colombia,Colombia,09/03/2015,15/03/2015,2015,11,50372424,4265
Colombia,Colombia,16/03/2015,22/03/2015,2015,12,50372424,4071
Colombia,Colombia,23/03/2015,29/03/2015,2015,13,50372424,4192
Colombia,Colombia,30/03/2015,05/04/2015,2015,14,50372424,4067
Colombia,Colombia,06/04/2015,12/04/2015,2015,15,50372424,4059
Colombia,Colombia,13/04/2015,19/04/2015,2015,16,50372424,4063
Colombia,Colombia,20/04/2015,26/04/2015,2015,17,50372424,4042
Colombia,Colombia,27/04/2015,03/05/2015,2015,18,50372424,4186
Colombia,Colombia,04/05/2015,10/05/2015,2015,19,50372424,4241
Colombia,Colombia,11/05/2015,17/05/2015,2015,20,50372424,4277
Colombia,Colombia,18/05/2015,24/05/2015,2015,21,50372424,4165
Colombia,Colombia,25/05/2015,31/05/2015,2015,22,50372424,4024
Colombia,Colombia,01/06/2015,07/06/2015,2015,23,50372424,4102
Colombia,Colombia,08/06/2015,14/06/2015,2015,24,50372424,4142
Colombia,Colombia,15/06/2015,21/06/2015,2015,25,50372424,4284
Colombia,Colombia,22/06/2015,28/06/2015,2015,26,50372424,4343
Colombia,Colombia,29/06/2015,05/07/2015,2015,27,50372424,4369
Colombia,Colombia,06/07/2015,12/07/2015,2015,28,50372424,4334
Colombia,Colombia,13/07/2015,19/07/2015,2015,29,50372424,4139
Colombia,Colombia,20/07/2015,26/07/2015,2015,30,50372424,3970
Colombia,Colombia,27/07/2015,02/08/2015,2015,31,50372424,4069
Colombia,Colombia,03/08/2015,09/08/2015,2015,32,50372424,4296
Colombia,Colombia,10/08/2015,16/08/2015,2015,33,50372424,4101
Colombia,Colombia,17/08/2015,23/08/2015,2015,34,50372424,4000
Colombia,Colombia,24/08/2015,30/08/2015,2015,35,50372424,4083
Colombia,Colombia,31/08/2015,06/09/2015,2015,36,50372424,4233
Colombia,Colombia,07/09/2015,13/09/2015,2015,37,50372424,4135
Colombia,Colombia,14/09/2015,20/09/2015,2015,38,50372424,4203
Colombia,Colombia,21/09/2015,27/09/2015,2015,39,50372424,4217
Colombia,Colombia,28/09/2015,04/10/2015,2015,40,50372424,4232
Colombia,Colombia,05/10/2015,11/10/2015,2015,41,50372424,4162
Colombia,Colombia,12/10/2015,18/10/2015,2015,42,50372424,4045
Colombia,Colombia,19/10/2015,25/10/2015,2015,43,50372424,4027
Colombia,Colombia,26/10/2015,01/11/2015,2015,44,50372424,4238
Colombia,Colombia,02/11/2015,08/11/2015,2015,45,50372424,4174
Colombia,Colombia,09/11/2015,15/11/2015,2015,46,50372424,4363
Colombia,Colombia,16/11/2015,22/11/2015,2015,47,50372424,4303
Colombia,Colombia,23/11/2015,29/11/2015,2015,48,50372424,4289
Colombia,Colombia,30/11/2015,06/12/2015,2015,49,50372424,4368
Colombia,Colombia,07/12/2015,13/12/2015,2015,50,50372424,4324
Colombia,Colombia,14/12/2015,20/12/2015,2015,51,50372424,4301
Colombia,Colombia,21/12/2015,27/12/2015,2015,52,50372424,4553
Colombia,Colombia,28/12/2015,03/01/2016,2015,53,50372424,4609
Colombia,Colombia,04/01/2016,10/01/2016,2016,1,50372424,4474
Colombia,Colombia,11/01/2016,17/01/2016,2016,2,50372424,4435
Colombia,Colombia,18/01/2016,24/01/2016,2016,3,50372424,4389
Colombia,Colombia,25/01/2016,31/01/2016,2016,4,50372424,4253
Colombia,Colombia,01/02/2016,07/02/2016,2016,5,50372424,4183
Colombia,Colombia,08/02/2016,14/02/2016,2016,6,50372424,4113
Colombia,Colombia,15/02/2016,21/02/2016,2016,7,50372424,4131
Colombia,Colombia,22/02/2016,28/02/2016,2016,8,50372424,4100
Colombia,Colombia,29/02/2016,06/03/2016,2016,9,50372424,4190
Colombia,Colombia,07/03/2016,13/03/2016,2016,10,50372424,4218
Colombia,Colombia,14/03/2016,20/03/2016,2016,11,50372424,4228
Colombia,Colombia,21/03/2016,27/03/2016,2016,12,50372424,4275
Colombia,Colombia,28/03/2016,03/04/2016,2016,13,50372424,4092
Colombia,Colombia,04/04/2016,10/04/2016,2016,14,50372424,4112
Colombia,Colombia,11/04/2016,17/04/2016,2016,15,50372424,4153
Colombia,Colombia,18/04/2016,24/04/2016,2016,16,50372424,4211
Colombia,Colombia,25/04/2016,01/05/2016,2016,17,50372424,4110
Colombia,Colombia,02/05/2016,08/05/2016,2016,18,50372424,4175
Colombia,Colombia,09/05/2016,15/05/2016,2016,19,50372424,4320
Colombia,Colombia,16/05/2016,22/05/2016,2016,20,50372424,4632
Colombia,Colombia,23/05/2016,29/05/2016,2016,21,50372424,4532
Colombia,Colombia,30/05/2016,05/06/2016,2016,22,50372424,4582
Colombia,Colombia,06/06/2016,12/06/2016,2016,23,50372424,4561
Colombia,Colombia,13/06/2016,19/06/2016,2016,24,50372424,4537
Colombia,Colombia,20/06/2016,26/06/2016,2016,25,50372424,4503
Colombia,Colombia,27/06/2016,03/07/2016,2016,26,50372424,4530
Colombia,Colombia,04/07/2016,10/07/2016,2016,27,50372424,4349
Colombia,Colombia,11/07/2016,17/07/2016,2016,28,50372424,4315
Colombia,Colombia,18/07/2016,24/07/2016,2016,29,50372424,4088
Colombia,Colombia,25/07/2016,31/07/2016,2016,30,50372424,4188
Colombia,Colombia,01/08/2016,07/08/2016,2016,31,50372424,4175
Colombia,Colombia,08/08/2016,14/08/2016,2016,32,50372424,4291
Colombia,Colombia,15/08/2016,21/08/2016,2016,33,50372424,4176
Colombia,Colombia,22/08/2016,28/08/2016,2016,34,50372424,4036
Colombia,Colombia,29/08/2016,04/09/2016,2016,35,50372424,4123
Colombia,Colombia,05/09/2016,11/09/2016,2016,36,50372424,4084
Colombia,Colombia,12/09/2016,18/09/2016,2016,37,50372424,4021
Colombia,Colombia,19/09/2016,25/09/2016,2016,38,50372424,4186
Colombia,Colombia,26/09/2016,02/10/2016,2016,39,50372424,4025
Colombia,Colombia,03/10/2016,09/10/2016,2016,40,50372424,4066
Colombia,Colombia,10/10/2016,16/10/2016,2016,41,50372424,4171
Colombia,Colombia,17/10/2016,23/10/2016,2016,42,50372424,4146
Colombia,Colombia,24/10/2016,30/10/2016,2016,43,50372424,4073
Colombia,Colombia,31/10/2016,06/11/2016,2016,44,50372424,4039
Colombia,Colombia,07/11/2016,13/11/2016,2016,45,50372424,4173
Colombia,Colombia,14/11/2016,20/11/2016,2016,46,50372424,4139
Colombia,Colombia,21/11/2016,27/11/2016,2016,47,50372424,4263
Colombia,Colombia,28/11/2016,04/12/2016,2016,48,50372424,4269
Colombia,Colombia,05/12/2016,11/12/2016,2016,49,50372424,4455
Colombia,Colombia,12/12/2016,18/12/2016,2016,50,50372424,4590
Colombia,Colombia,19/12/2016,25/12/2016,2016,51,50372424,4586
Colombia,Colombia,26/12/2016,01/01/2017,2016,52,50372424,4804
Colombia,Colombia,02/01/2017,08/01/2017,2017,1,50372424,4755
Colombia,Colombia,09/01/2017,15/01/2017,2017,2,50372424,4756
Colombia,Colombia,16/01/2017,22/01/2017,2017,3,50372424,4635
Colombia,Colombia,23/01/2017,29/01/2017,2017,4,50372424,4574
Colombia,Colombia,30/01/2017,05/02/2017,2017,5,50372424,4392
Colombia,Colombia,06/02/2017,12/02/2017,2017,6,50372424,4402
Colombia,Colombia,13/02/2017,19/02/2017,2017,7,50372424,4231
Colombia,Colombia,20/02/2017,26/02/2017,2017,8,50372424,4199
Colombia,Colombia,27/02/2017,05/03/2017,2017,9,50372424,4173
Colombia,Colombia,06/03/2017,12/03/2017,2017,10,50372424,4244
Colombia,Colombia,13/03/2017,19/03/2017,2017,11,50372424,4156
Colombia,Colombia,20/03/2017,26/03/2017,2017,12,50372424,4165
Colombia,Colombia,27/03/2017,02/04/2017,2017,13,50372424,4539
Colombia,Colombia,03/04/2017,09/04/2017,2017,14,50372424,4355
Colombia,Colombia,10/04/2017,16/04/2017,2017,15,50372424,4183
Colombia,Colombia,17/04/2017,23/04/2017,2017,16,50372424,4271
Colombia,Colombia,24/04/2017,30/04/2017,2017,17,50372424,4302
Colombia,Colombia,01/05/2017,07/05/2017,2017,18,50372424,4080
Colombia,Colombia,08/05/2017,14/05/2017,2017,19,50372424,4196
Colombia,Colombia,15/05/2017,21/05/2017,2017,20,50372424,4516
Colombia,Colombia,22/05/2017,28/05/2017,2017,21,50372424,4370
Colombia,Colombia,29/05/2017,04/06/2017,2017,22,50372424,4500
Colombia,Colombia,05/06/2017,11/06/2017,2017,23,50372424,4342
Colombia,Colombia,12/06/2017,18/06/2017,2017,24,50372424,4339
Colombia,Colombia,19/06/2017,25/06/2017,2017,25,50372424,4171
Colombia,Colombia,26/06/2017,02/07/2017,2017,26,50372424,4412
Colombia,Colombia,03/07/2017,09/07/2017,2017,27,50372424,4418
Colombia,Colombia,10/07/2017,16/07/2017,2017,28,50372424,4400
Colombia,Colombia,17/07/2017,23/07/2017,2017,29,50372424,4339
Colombia,Colombia,24/07/2017,30/07/2017,2017,30,50372424,4263
Colombia,Colombia,31/07/2017,06/08/2017,2017,31,50372424,4390
Colombia,Colombia,07/08/2017,13/08/2017,2017,32,50372424,4278
Colombia,Colombia,14/08/2017,20/08/2017,2017,33,50372424,4389
Colombia,Colombia,21/08/2017,27/08/2017,2017,34,50372424,4234
Colombia,Colombia,28/08/2017,03/09/2017,2017,35,50372424,4253
Colombia,Colombia,04/09/2017,10/09/2017,2017,36,50372424,4256
Colombia,Colombia,11/09/2017,17/09/2017,2017,37,50372424,4373
Colombia,Colombia,18/09/2017,24/09/2017,2017,38,50372424,4387
Colombia,Colombia,25/09/2017,01/10/2017,2017,39,50372424,4290
Colombia,Colombia,02/10/2017,08/10/2017,2017,40,50372424,4317
Colombia,Colombia,09/10/2017,15/10/2017,2017,41,50372424,4402
Colombia,Colombia,16/10/2017,22/10/2017,2017,42,50372424,4454
Colombia,Colombia,23/10/2017,29/10/2017,2017,43,50372424,4177
Colombia,Colombia,30/10/2017,05/11/2017,2017,44,50372424,4310
Colombia,Colombia,06/11/2017,12/11/2017,2017,45,50372424,4440
Colombia,Colombia,13/11/2017,19/11/2017,2017,46,50372424,4239
Colombia,Colombia,20/11/2017,26/11/2017,2017,47,50372424,4306
Colombia,Colombia,27/11/2017,03/12/2017,2017,48,50372424,4409
Colombia,Colombia,04/12/2017,10/12/2017,2017,49,50372424,4575
Colombia,Colombia,11/12/2017,17/12/2017,2017,50,50372424,4491
Colombia,Colombia,18/12/2017,24/12/2017,2017,51,50372424,4562
Colombia,Colombia,25/12/2017,31/12/2017,2017,52,50372424,4589
Colombia,Colombia,01/01/2018,07/01/2018,2018,1,50372424,4721
Colombia,Colombia,08/01/2018,14/01/2018,2018,2,50372424,4465
Colombia,Colombia,15/01/2018,21/01/2018,2018,3,50372424,4631
Colombia,Colombia,22/01/2018,28/01/2018,2018,4,50372424,4644
Colombia,Colombia,29/01/2018,04/02/2018,2018,5,50372424,4485
Colombia,Colombia,05/02/2018,11/02/2018,2018,6,50372424,4407
Colombia,Colombia,12/02/2018,18/02/2018,2018,7,50372424,4332
Colombia,Colombia,19/02/2018,25/02/2018,2018,8,50372424,4254
Colombia,Colombia,26/02/2018,04/03/2018,2018,9,50372424,4378
Colombia,Colombia,05/03/2018,11/03/2018,2018,10,50372424,4505
Colombia,Colombia,12/03/2018,18/03/2018,2018,11,50372424,4597
Colombia,Colombia,19/03/2018,25/03/2018,2018,12,50372424,4453
Colombia,Colombia,26/03/2018,01/04/2018,2018,13,50372424,4248
Colombia,Colombia,02/04/2018,08/04/2018,2018,14,50372424,4382
Colombia,Colombia,09/04/2018,15/04/2018,2018,15,50372424,4332
Colombia,Colombia,16/04/2018,22/04/2018,2018,16,50372424,4349
Colombia,Colombia,23/04/2018,29/04/2018,2018,17,50372424,4409
Colombia,Colombia,30/04/2018,06/05/2018,2018,18,50372424,4538
Colombia,Colombia,07/05/2018,13/05/2018,2018,19,50372424,4460
Colombia,Colombia,14/05/2018,20/05/2018,2018,20,50372424,4721
Colombia,Colombia,21/05/2018,27/05/2018,2018,21,50372424,4654
Colombia,Colombia,28/05/2018,03/06/2018,2018,22,50372424,4749
Colombia,Colombia,04/06/2018,10/06/2018,2018,23,50372424,4848
Colombia,Colombia,11/06/2018,17/06/2018,2018,24,50372424,4803
Colombia,Colombia,18/06/2018,24/06/2018,2018,25,50372424,4851
Colombia,Colombia,25/06/2018,01/07/2018,2018,26,50372424,4868
Colombia,Colombia,02/07/2018,08/07/2018,2018,27,50372424,4845
Colombia,Colombia,09/07/2018,15/07/2018,2018,28,50372424,4782
Colombia,Colombia,16/07/2018,22/07/2018,2018,29,50372424,4740
Colombia,Colombia,23/07/2018,29/07/2018,2018,30,50372424,4518
Colombia,Colombia,30/07/2018,05/08/2018,2018,31,50372424,4459
Colombia,Colombia,06/08/2018,12/08/2018,2018,32,50372424,4607
Colombia,Colombia,13/08/2018,19/08/2018,2018,33,50372424,4637
Colombia,Colombia,20/08/2018,26/08/2018,2018,34,50372424,4498
Colombia,Colombia,27/08/2018,02/09/2018,2018,35,50372424,4462
Colombia,Colombia,03/09/2018,09/09/2018,2018,36,50372424,4452
Colombia,Colombia,10/09/2018,16/09/2018,2018,37,50372424,4415
Colombia,Colombia,17/09/2018,23/09/2018,2018,38,50372424,4437
Colombia,Colombia,24/09/2018,30/09/2018,2018,39,50372424,4324
Colombia,Colombia,01/10/2018,07/10/2018,2018,40,50372424,4293
Colombia,Colombia,08/10/2018,14/10/2018,2018,41,50372424,4363
Colombia,Colombia,15/10/2018,21/10/2018,2018,42,50372424,4345
Colombia,Colombia,22/10/2018,28/10/2018,2018,43,50372424,4287
Colombia,Colombia,29/10/2018,04/11/2018,2018,44,50372424,4421
Colombia,Colombia,05/11/2018,11/11/2018,2018,45,50372424,4366
Colombia,Colombia,12/11/2018,18/11/2018,2018,46,50372424,4519
Colombia,Colombia,19/11/2018,25/11/2018,2018,47,50372424,4448
