country,region,start_date,end_date,year,month,population,total_deaths,covid_deaths
Indonesia,Jakarta,01/01/2018,31/01/2018,2018,1,10770000,2652,0
Indonesia,Jakarta,01/02/2018,28/02/2018,2018,2,10770000,2611,0
Indonesia,Jakarta,01/03/2018,31/03/2018,2018,3,10770000,2940,0
Indonesia,Jakarta,01/04/2018,30/04/2018,2018,4,10770000,3145,0
Indonesia,Jakarta,01/05/2018,31/05/2018,2018,5,10770000,2890,0
Indonesia,Jakarta,01/06/2018,30/06/2018,2018,6,10770000,2676,0
Indonesia,Jakarta,01/07/2018,31/07/2018,2018,7,10770000,2757,0
Indonesia,Jakarta,01/08/2018,31/08/2018,2018,8,10770000,2885,0
Indonesia,Jakarta,01/09/2018,30/09/2018,2018,9,10770000,2730,0
Indonesia,Jakarta,01/10/2018,31/10/2018,2018,10,10770000,3066,0
Indonesia,Jakarta,01/11/2018,30/11/2018,2018,11,10770000,2727,0
Indonesia,Jakarta,01/12/2018,31/12/2018,2018,12,10770000,2797,0
Indonesia,Jakarta,01/01/2019,31/01/2019,2019,1,10770000,2783,0
Indonesia,Jakarta,01/02/2019,28/02/2019,2019,2,10770000,2934,0
Indonesia,Jakarta,01/03/2019,31/03/2019,2019,3,10770000,3153,0
Indonesia,Jakarta,01/04/2019,30/04/2019,2019,4,10770000,2790,0
Indonesia,Jakarta,01/05/2019,31/05/2019,2019,5,10770000,2806,0
Indonesia,Jakarta,01/06/2019,30/06/2019,2019,6,10770000,2773,0
Indonesia,Jakarta,01/07/2019,31/07/2019,2019,7,10770000,2632,0
Indonesia,Jakarta,01/08/2019,31/08/2019,2019,8,10770000,2673,0
Indonesia,Jakarta,01/09/2019,30/09/2019,2019,9,10770000,2649,0
Indonesia,Jakarta,01/10/2019,31/10/2019,2019,10,10770000,2815,0
Indonesia,Jakarta,01/11/2019,30/11/2019,2019,11,10770000,2770,0
Indonesia,Jakarta,01/12/2019,31/12/2019,2019,12,10770000,2871,0
Indonesia,Jakarta,01/01/2020,31/01/2020,2020,1,10770000,3303,0
Indonesia,Jakarta,01/02/2020,29/02/2020,2020,2,10770000,2744,0
Indonesia,Jakarta,01/03/2020,31/03/2020,2020,3,10770000,4422,84
Indonesia,Jakarta,01/04/2020,30/04/2020,2020,4,10770000,4377,297
