year,week,start_date,end_date
2018,15,08/04/2018,14/04/2018
2018,16,15/04/2018,21/04/2018
2018,17,22/04/2018,28/04/2018
2018,18,29/04/2018,05/05/2018
2018,19,06/05/2018,12/05/2018
2018,20,13/05/2018,19/05/2018
2018,21,20/05/2018,26/05/2018
2018,22,27/05/2018,02/06/2018
2018,23,03/06/2018,09/06/2018
2018,24,10/06/2018,16/06/2018
2018,25,17/06/2018,23/06/2018
2018,26,24/06/2018,30/06/2018
2018,27,01/07/2018,07/07/2018
2018,28,08/07/2018,14/07/2018
2018,29,15/07/2018,21/07/2018
2018,30,22/07/2018,28/07/2018
2018,31,29/07/2018,04/08/2018
2018,32,05/08/2018,11/08/2018
2018,33,12/08/2018,18/08/2018
2018,34,19/08/2018,25/08/2018
2018,35,26/08/2018,01/09/2018
2018,36,02/09/2018,08/09/2018
2018,37,09/09/2018,15/09/2018
2018,38,16/09/2018,22/09/2018
2018,39,23/09/2018,29/09/2018
2018,40,30/09/2018,06/10/2018
2018,41,07/10/2018,13/10/2018
2018,42,14/10/2018,20/10/2018
2018,43,21/10/2018,27/10/2018
2018,44,28/10/2018,03/11/2018
2018,45,04/11/2018,10/11/2018
2018,46,11/11/2018,17/11/2018
2018,47,18/11/2018,24/11/2018
2018,48,25/11/2018,01/12/2018
2018,49,02/12/2018,08/12/2018
2018,50,09/12/2018,15/12/2018
2018,51,16/12/2018,22/12/2018
2018,52,23/12/2018,29/12/2018
2019,1,30/12/2018,05/01/2019
2019,2,06/01/2019,12/01/2019
2019,3,13/01/2019,19/01/2019
2019,4,20/01/2019,26/01/2019
2019,5,27/01/2019,02/02/2019
2019,6,03/02/2019,09/02/2019
2019,7,10/02/2019,16/02/2019
2019,8,17/02/2019,23/02/2019
2019,9,24/02/2019,02/03/2019
2019,10,03/03/2019,09/03/2019
2019,11,10/03/2019,16/03/2019
2019,12,17/03/2019,23/03/2019
2019,13,24/03/2019,30/03/2019
2019,14,31/03/2019,06/04/2019
2019,15,07/04/2019,13/04/2019
2019,16,14/04/2019,20/04/2019
2019,17,21/04/2019,27/04/2019
2019,18,28/04/2019,04/05/2019
2019,19,05/05/2019,11/05/2019
2019,20,12/05/2019,18/05/2019
2019,21,19/05/2019,25/05/2019
2019,22,26/05/2019,01/06/2019
2019,23,02/06/2019,08/06/2019
2019,24,09/06/2019,15/06/2019
2019,25,16/06/2019,22/06/2019
2019,26,23/06/2019,29/06/2019
2019,27,30/06/2019,06/07/2019
2019,28,07/07/2019,13/07/2019
2019,29,14/07/2019,20/07/2019
2019,30,21/07/2019,27/07/2019
2019,31,28/07/2019,03/08/2019
2019,32,04/08/2019,10/08/2019
2019,33,11/08/2019,17/08/2019
2019,34,18/08/2019,24/08/2019
2019,35,25/08/2019,31/08/2019
2019,36,01/09/2019,07/09/2019
2019,37,08/09/2019,14/09/2019
2019,38,15/09/2019,21/09/2019
2019,39,22/09/2019,28/09/2019
2019,40,29/09/2019,05/10/2019
2019,41,06/10/2019,12/10/2019
2019,42,13/10/2019,19/10/2019
2019,43,20/10/2019,26/10/2019
2019,44,27/10/2019,02/11/2019
2019,45,03/11/2019,09/11/2019
2019,46,10/11/2019,16/11/2019
2019,47,17/11/2019,23/11/2019
2019,48,24/11/2019,30/11/2019
2019,49,01/12/2019,07/12/2019
2019,50,08/12/2019,14/12/2019
2019,51,15/12/2019,21/12/2019
2019,52,22/12/2019,28/12/2019
2020,1,29/12/2019,04/01/2020
2020,2,05/01/2020,11/01/2020
2020,3,12/01/2020,18/01/2020
2020,4,19/01/2020,25/01/2020
2020,5,26/01/2020,01/02/2020
2020,6,02/02/2020,08/02/2020
2020,7,09/02/2020,15/02/2020
2020,8,16/02/2020,22/02/2020
2020,9,23/02/2020,29/02/2020
2020,10,01/03/2020,07/03/2020
2020,11,08/03/2020,14/03/2020
2020,12,15/03/2020,21/03/2020
2020,13,22/03/2020,28/03/2020
2020,14,29/03/2020,04/04/2020
2020,15,05/04/2020,11/04/2020
2020,16,12/04/2020,18/04/2020
2020,17,19/04/2020,25/04/2020
2020,18,26/04/2020,02/05/2020
2020,19,03/05/2020,09/05/2020
2020,20,10/05/2020,16/05/2020
2020,21,17/05/2020,23/05/2020
2020,22,24/05/2020,30/05/2020
2020,23,31/05/2020,06/06/2020
2020,24,07/06/2020,13/06/2020
2020,25,14/06/2020,20/06/2020
2020,26,21/06/2020,27/06/2020
2020,27,28/06/2020,04/07/2020
2020,28,05/07/2020,11/07/2020
2020,29,12/07/2020,18/07/2020
2020,30,19/07/2020,25/07/2020
2020,31,26/07/2020,01/08/2020
2020,32,02/08/2020,08/08/2020
2020,33,09/08/2020,15/08/2020
2020,34,16/08/2020,22/08/2020
2020,35,23/08/2020,29/08/2020
2020,36,30/08/2020,05/09/2020
2020,37,06/09/2020,12/09/2020
2020,38,13/09/2020,19/09/2020
2020,39,20/09/2020,26/09/2020
2020,40,27/09/2020,03/10/2020
2020,41,04/10/2020,10/10/2020
2020,42,11/10/2020,17/10/2020
2020,43,18/10/2020,24/10/2020
2020,44,25/10/2020,31/10/2020
2020,45,01/11/2020,07/11/2020
2020,46,08/11/2020,14/11/2020
2020,47,15/11/2020,21/11/2020
2020,48,22/11/2020,28/11/2020
2020,49,29/11/2020,05/12/2020
2020,50,06/12/2020,12/12/2020
2020,51,13/12/2020,19/12/2020
2020,52,20/12/2020,26/12/2020
