year,week,start_date,end_date
2014,53,28/12/2014,03/01/2015
2015,1,04/01/2015,10/01/2015
2015,2,11/01/2015,17/01/2015
2015,3,18/01/2015,24/01/2015
2015,4,25/01/2015,31/01/2015
2015,5,01/02/2015,07/02/2015
2015,6,08/02/2015,14/02/2015
2015,7,15/02/2015,21/02/2015
2015,8,22/02/2015,28/02/2015
2015,9,01/03/2015,07/03/2015
2015,10,08/03/2015,14/03/2015
2015,11,15/03/2015,21/03/2015
2015,12,22/03/2015,28/03/2015
2015,13,29/03/2015,04/04/2015
2015,14,05/04/2015,11/04/2015
2015,15,12/04/2015,18/04/2015
2015,16,19/04/2015,25/04/2015
2015,17,26/04/2015,02/05/2015
2015,18,03/05/2015,09/05/2015
2015,19,10/05/2015,16/05/2015
2015,20,17/05/2015,23/05/2015
2015,21,24/05/2015,30/05/2015
2015,22,31/05/2015,06/06/2015
2015,23,07/06/2015,13/06/2015
2015,24,14/06/2015,20/06/2015
2015,25,21/06/2015,27/06/2015
2015,26,28/06/2015,04/07/2015
2015,27,05/07/2015,11/07/2015
2015,28,12/07/2015,18/07/2015
2015,29,19/07/2015,25/07/2015
2015,30,26/07/2015,01/08/2015
2015,31,02/08/2015,08/08/2015
2015,32,09/08/2015,15/08/2015
2015,33,16/08/2015,22/08/2015
2015,34,23/08/2015,29/08/2015
2015,35,30/08/2015,05/09/2015
2015,36,06/09/2015,12/09/2015
2015,37,13/09/2015,19/09/2015
2015,38,20/09/2015,26/09/2015
2015,39,27/09/2015,03/10/2015
2015,40,04/10/2015,10/10/2015
2015,41,11/10/2015,17/10/2015
2015,42,18/10/2015,24/10/2015
2015,43,25/10/2015,31/10/2015
2015,44,01/11/2015,07/11/2015
2015,45,08/11/2015,14/11/2015
2015,46,15/11/2015,21/11/2015
2015,47,22/11/2015,28/11/2015
2015,48,29/11/2015,05/12/2015
2015,49,06/12/2015,12/12/2015
2015,50,13/12/2015,19/12/2015
2015,51,20/12/2015,26/12/2015
2015,52,27/12/2015,02/01/2016
2016,1,03/01/2016,09/01/2016
2016,2,10/01/2016,16/01/2016
2016,3,17/01/2016,23/01/2016
2016,4,24/01/2016,30/01/2016
2016,5,31/01/2016,06/02/2016
2016,6,07/02/2016,13/02/2016
2016,7,14/02/2016,20/02/2016
2016,8,21/02/2016,27/02/2016
2016,9,28/02/2016,05/03/2016
2016,10,06/03/2016,12/03/2016
2016,11,13/03/2016,19/03/2016
2016,12,20/03/2016,26/03/2016
2016,13,27/03/2016,02/04/2016
2016,14,03/04/2016,09/04/2016
2016,15,10/04/2016,16/04/2016
2016,16,17/04/2016,23/04/2016
2016,17,24/04/2016,30/04/2016
2016,18,01/05/2016,07/05/2016
2016,19,08/05/2016,14/05/2016
2016,20,15/05/2016,21/05/2016
2016,21,22/05/2016,28/05/2016
2016,22,29/05/2016,04/06/2016
2016,23,05/06/2016,11/06/2016
2016,24,12/06/2016,18/06/2016
2016,25,19/06/2016,25/06/2016
2016,26,26/06/2016,02/07/2016
2016,27,03/07/2016,09/07/2016
2016,28,10/07/2016,16/07/2016
2016,29,17/07/2016,23/07/2016
2016,30,24/07/2016,30/07/2016
2016,31,31/07/2016,06/08/2016
2016,32,07/08/2016,13/08/2016
2016,33,14/08/2016,20/08/2016
2016,34,21/08/2016,27/08/2016
2016,35,28/08/2016,03/09/2016
2016,36,04/09/2016,10/09/2016
2016,37,11/09/2016,17/09/2016
2016,38,18/09/2016,24/09/2016
2016,39,25/09/2016,01/10/2016
2016,40,02/10/2016,08/10/2016
2016,41,09/10/2016,15/10/2016
2016,42,16/10/2016,22/10/2016
2016,43,23/10/2016,29/10/2016
2016,44,30/10/2016,05/11/2016
2016,45,06/11/2016,12/11/2016
2016,46,13/11/2016,19/11/2016
2016,47,20/11/2016,26/11/2016
2016,48,27/11/2016,03/12/2016
2016,49,04/12/2016,10/12/2016
2016,50,11/12/2016,17/12/2016
2016,51,18/12/2016,24/12/2016
2016,52,25/12/2016,31/12/2016
2017,1,01/01/2017,07/01/2017
2017,2,08/01/2017,14/01/2017
2017,3,15/01/2017,21/01/2017
2017,4,22/01/2017,28/01/2017
2017,5,29/01/2017,04/02/2017
2017,6,05/02/2017,11/02/2017
2017,7,12/02/2017,18/02/2017
2017,8,19/02/2017,25/02/2017
2017,9,26/02/2017,04/03/2017
2017,10,05/03/2017,11/03/2017
2017,11,12/03/2017,18/03/2017
2017,12,19/03/2017,25/03/2017
2017,13,26/03/2017,01/04/2017
2017,14,02/04/2017,08/04/2017
2017,15,09/04/2017,15/04/2017
2017,16,16/04/2017,22/04/2017
2017,17,23/04/2017,29/04/2017
2017,18,30/04/2017,06/05/2017
2017,19,07/05/2017,13/05/2017
2017,20,14/05/2017,20/05/2017
2017,21,21/05/2017,27/05/2017
2017,22,28/05/2017,03/06/2017
2017,23,04/06/2017,10/06/2017
2017,24,11/06/2017,17/06/2017
2017,25,18/06/2017,24/06/2017
2017,26,25/06/2017,01/07/2017
2017,27,02/07/2017,08/07/2017
2017,28,09/07/2017,15/07/2017
2017,29,16/07/2017,22/07/2017
2017,30,23/07/2017,29/07/2017
2017,31,30/07/2017,05/08/2017
2017,32,06/08/2017,12/08/2017
2017,33,13/08/2017,19/08/2017
2017,34,20/08/2017,26/08/2017
2017,35,27/08/2017,02/09/2017
2017,36,03/09/2017,09/09/2017
2017,37,10/09/2017,16/09/2017
2017,38,17/09/2017,23/09/2017
2017,39,24/09/2017,30/09/2017
2017,40,01/10/2017,07/10/2017
2017,41,08/10/2017,14/10/2017
2017,42,15/10/2017,21/10/2017
2017,43,22/10/2017,28/10/2017
2017,44,29/10/2017,04/11/2017
2017,45,05/11/2017,11/11/2017
2017,46,12/11/2017,18/11/2017
2017,47,19/11/2017,25/11/2017
2017,48,26/11/2017,02/12/2017
2017,49,03/12/2017,09/12/2017
2017,50,10/12/2017,16/12/2017
2017,51,17/12/2017,23/12/2017
2017,52,24/12/2017,30/12/2017
2018,1,31/12/2017,06/01/2018
2018,2,07/01/2018,13/01/2018
2018,3,14/01/2018,20/01/2018
2018,4,21/01/2018,27/01/2018
2018,5,28/01/2018,03/02/2018
2018,6,04/02/2018,10/02/2018
2018,7,11/02/2018,17/02/2018
2018,8,18/02/2018,24/02/2018
2018,9,25/02/2018,03/03/2018
2018,10,04/03/2018,10/03/2018
2018,11,11/03/2018,17/03/2018
2018,12,18/03/2018,24/03/2018
2018,13,25/03/2018,31/03/2018
2018,14,01/04/2018,07/04/2018
