country,year,expected_deaths_annual,total_deaths_annual
Denmark,2015,NA,52529.42857142857
Denmark,2016,NA,52839.42857142857
Denmark,2017,NA,53267.142857142855
Denmark,2018,NA,55237.42857142857
Denmark,2019,NA,53962.71428571428
Denmark,2020,54711.36630551004,54619.28571428572
Denmark,2021,54943.2236757618,57204.28571428572
Sweden,2015,NA,90893.2
Sweden,2016,NA,91042.17142857143
Sweden,2017,NA,91920.3
Sweden,2018,NA,92204.78571428571
Sweden,2019,NA,88795.58571428571
Sweden,2020,89590.72387774216,98075.41428571429
Sweden,2021,88886.6015596574,91967.47142857143
Finland,2015,NA,52529.71428571429
Finland,2016,NA,53888
Finland,2017,NA,53704.71428571429
Finland,2018,NA,54542.28571428572
Finland,2019,NA,53945.857142857145
Finland,2020,54389.00631353511,55433.42857142857
Finland,2021,54422.0787051883,57416.57142857143
Norway,2015,NA,40761.71428571428
Norway,2016,NA,40660.42857142857
Norway,2017,NA,40771.28571428572
Norway,2018,NA,40828.42857142857
Norway,2019,NA,40579.857142857145
Norway,2020,40461.96324237619,40577.57142857143
Norway,2021,40248.46998394931,41954.71428571428
Iceland,2015,NA,2180.5714285714284
Iceland,2016,NA,2310
Iceland,2017,NA,2235.4285714285716
Iceland,2018,NA,2252.5714285714284
Iceland,2019,NA,2271.714285714286
Iceland,2020,2316.7438603531064,2305
Iceland,2021,2331.907249866228,2329.8571428571427
Belgium,2015,NA,110444.42857142857
Belgium,2016,NA,108096.42857142857
Belgium,2017,NA,109623.42857142857
Belgium,2018,NA,110670.71428571429
Belgium,2019,NA,108744.57142857143
Belgium,2020,108467.72875869703,126749.85714285714
Belgium,2021,107830.19036918426,112569
Germany,2015,NA,925312.4285714285
Germany,2016,NA,910864.1428571428
Germany,2017,NA,932171.5714285714
Germany,2018,NA,954964.4285714285
Germany,2019,NA,939497.7142857143
Germany,2020,947388.8483413415,985068.4285714285
Germany,2021,949755.1336008363,1021422.8571428572
Portugal,2015,NA,108460.42857142857
Portugal,2016,NA,110569.85714285714
Portugal,2017,NA,109740.14285714286
Portugal,2018,NA,113066.42857142858
Portugal,2019,NA,111816.71428571429
Portugal,2020,112231.89906367016,123645
Portugal,2021,112411.42434456952,125187.42857142857
Spain,2015,NA,420123
Spain,2016,NA,408331.71428571426
Spain,2017,NA,421996.85714285716
Spain,2018,NA,425297.85714285716
Spain,2019,NA,416098.71428571426
Spain,2020,417709.12097378226,492197.14285714284
Spain,2021,416332.4165864089,455013.28571428574
Japan,2020,1403748.177717066,1384544
Japan,2021,1421095.36267726,1452289
Japan,2015,NA,1290510
Japan,2016,NA,1308158
Japan,2017,NA,1340567
Japan,2018,NA,1362470
Japan,2019,NA,1387775
Ireland,2020,31251.54782077083,31981
Ireland,2021,31329.57454763075,34354
Ireland,2015,NA,30127
Ireland,2016,NA,30667
Ireland,2017,NA,30418
Ireland,2018,NA,31140
Ireland,2019,NA,31270
United States,2017,NA,2820462.285714286
United States,2018,NA,2846304.285714286
United States,2019,NA,2853586.4285714286
United States,2020,2966950.9813697347,3449687.285714286
United States,2021,2996042.30468448,3542880.714285714
