"country","region","region_code","start_date","end_date","year","month","population","total_deaths","covid_deaths","expected_deaths","excess_deaths","non_covid_deaths","covid_deaths_per_100k","excess_deaths_per_100k","excess_deaths_pct_change"
"Brazil","Fortaleza","2304400","2020-01-01","2020-01-31",2020,1,2669342,354.290322580645,0,316.298387096774,37.991935483871,354.290322580645,0,1.42326968533335,0.120114224522577
"Brazil","Fortaleza","2304400","2020-02-01","2020-02-29",2020,2,2669342,355.551724137931,0,325.198275862069,30.3534482758621,355.551724137931,0,1.13711350122472,0.0933382816849138
"Brazil","Fortaleza","2304400","2020-03-01","2020-03-31",2020,3,2669342,382.804845222073,22,350.471063257066,32.3337819650067,377.830417227456,0.186354090057266,1.21130158537223,0.0922580645161291
"Brazil","Fortaleza","2304400","2020-04-01","2020-04-30",2020,4,2669342,510.3,629,371.816666666667,138.483333333333,363.533333333333,5.49823389684299,5.18792021904025,0.372450580483213
"Brazil","Manaus","1302603","2020-01-01","2020-01-31",2020,1,2182763,253.129032258065,0,210.677419354839,42.4516129032258,253.129032258065,0,1.94485672073541,0.201500535905681
"Brazil","Manaus","1302603","2020-02-01","2020-02-29",2020,2,2182763,235.344827586207,0,211.387931034483,23.9568965517241,235.344827586207,0,1.09754914077819,0.113331430202683
"Brazil","Manaus","1302603","2020-03-01","2020-03-31",2020,3,2182763,236.737550471063,1,208.699865410498,28.0376850605653,236.511440107672,0.0103589058176108,1.28450432138374,0.134344528710726
"Brazil","Manaus","1302603","2020-04-01","2020-04-30",2020,4,2182763,619.733333333333,410,221.783333333333,397.95,524.066666666667,4.38282427669274,18.2314800095109,1.79431877958969
"Brazil","Recife","2611606","2020-01-01","2020-01-31",2020,1,1645727,300.322580645161,0,245.395161290323,54.9274193548387,300.322580645161,0,3.33757782152439,0.223832528180354
"Brazil","Recife","2611606","2020-02-01","2020-02-29",2020,2,1645727,299.793103448276,0,248.801724137931,50.9913793103448,299.793103448276,0,3.09841056933166,0.20494785350473
"Brazil","Recife","2611606","2020-03-01","2020-03-31",2020,3,1645727,312.936742934051,6,261.892328398385,51.0444145356662,311.580080753701,0.0824354331155734,3.10163317097345,0.194906108353119
"Brazil","Recife","2611606","2020-04-01","2020-04-30",2020,4,1645727,416.966666666667,216,243.133333333333,173.833333333333,366.566666666667,3.06247634024355,10.5627077475993,0.714971209213052
"Brazil","Rio de Janeiro","3304557","2020-01-01","2020-01-31",2020,1,6718903,1068.29032258065,0,1089.45967741935,-21.1693548387097,1068.29032258065,0,-0.315071594852756,-0.0194310586040728
"Brazil","Rio de Janeiro","3304557","2020-02-01","2020-02-29",2020,2,6718903,1083.55172413793,0,1026.76724137931,56.7844827586207,1083.55172413793,0,0.845145148822965,0.0553041434028798
"Brazil","Rio de Janeiro","3304557","2020-03-01","2020-03-31",2020,3,6718903,1101.60969044415,43,1044.12113055182,57.4885598923284,1091.8869448183,0.144707337281714,0.855624197764552,0.0550592821179146
"Brazil","Rio de Janeiro","3304557","2020-04-01","2020-04-30",2020,4,6718903,1616.76666666667,1655,1125.95,490.816666666667,1230.6,5.74746601739401,7.30501194416212,0.43591337685214
"Brazil","São Paulo","3550308","2020-01-01","2020-01-31",2020,1,12252023,1833.77419354839,0,1474.91129032258,358.862903225806,1833.77419354839,0,2.92900938257957,0.243311516821679
"Brazil","São Paulo","3550308","2020-02-01","2020-02-29",2020,2,12252023,1466.62068965517,0,1398.25,68.3706896551724,1466.62068965517,0,0.558035923170993,0.0488973285572483
"Brazil","São Paulo","3550308","2020-03-01","2020-03-31",2020,3,12252023,1727.25706594886,307,1442.92328398385,284.333781965007,1657.84118438762,0.566566693200284,2.32070884918357,0.197053984173
"Brazil","São Paulo","3550308","2020-04-01","2020-04-30",2020,4,12252023,2175.36666666667,1738,1500.33333333333,675.033333333333,1769.83333333333,3.30992957924853,5.50956632495167,0.449922239502333
"Ecuador","Ecuador","EC","2020-01-01","2020-01-31",2020,1,17226800,1508.83870967742,0,1504.77419354839,4.06451612903226,1508.83870967742,0,0.0235941447571938,0.00270108043217276
"Ecuador","Ecuador","EC","2020-02-01","2020-02-29",2020,2,17226800,1447.79310344828,0,1401.08620689655,46.7068965517241,1447.79310344828,0,0.271129266908098,0.0333362046687915
"Ecuador","Ecuador","EC","2020-03-01","2020-03-31",2020,3,17226800,2141.26514131898,79,1418.50336473755,722.761776581427,2123.40242261104,0.103691449996173,4.19556607484516,0.509524189049175
"Ecuador","Ecuador","EC","2020-04-01","2020-04-30",2020,4,17226800,4598.76666666667,821,1380.16666666667,3218.6,4407.2,1.11202699669507,18.6836789188938,2.33203719357566
"Ecuador","Ecuador","EC","2020-05-01","2020-05-31",2020,5,17226800,2139.51612903226,2458,1328.08064516129,811.435483870968,1584.48387096774,3.2219115451768,4.71030884360977,0.61098359262093
"Ecuador","Ecuador","EC","2020-06-01","2020-06-30",2020,6,17226800,1874.6,1169,1349.83333333333,524.766666666667,1601.83333333333,1.58338557751101,3.04622255245702,0.38876404494382
"Ecuador","Azuay","EC-A","2020-01-01","2020-01-31",2020,1,867200,81.5161290322581,0,80.8387096774194,0.67741935483871,81.5161290322581,0,0.0781157005118438,0.0083798882681565
"Ecuador","Azuay","EC-A","2020-02-01","2020-02-29",2020,2,867200,77,0,74.3448275862069,2.6551724137931,77,0,0.306177630741825,0.0357142857142858
"Ecuador","Azuay","EC-A","2020-03-01","2020-03-31",2020,3,867200,74.6164199192463,0,74.2772543741588,0.339165545087483,74.6164199192463,0,0.0391104180220806,0.00456621004566204
