country,region,region_code,start_date,end_date,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,timestamp
France,France,0,2020-01-01,2020-01-07,2020,1,64639133,12883,0,13441,-558,12883,2020-06-13T19:08:44Z
France,France,0,2020-01-08,2020-01-14,2020,2,64639133,12860,0,13474,-614,12860,2020-06-13T19:08:44Z
France,France,0,2020-01-15,2020-01-21,2020,3,64639133,12326,0,13081.2,-755.200000000001,12326,2020-06-13T19:08:44Z
France,France,0,2020-01-22,2020-01-28,2020,4,64639133,12309,0,13077.4,-768.4,12309,2020-06-13T19:08:44Z
France,France,0,2020-01-29,2020-02-04,2020,5,64639133,12440,0,13098,-658,12440,2020-06-13T19:08:44Z
France,France,0,2020-02-05,2020-02-11,2020,6,64639133,12138,0,13107.8,-969.799999999999,12138,2020-06-13T19:08:44Z
France,France,0,2020-02-12,2020-02-18,2020,7,64639133,12132,1,13026.4,-894.4,12131,2020-06-13T19:08:44Z
France,France,0,2020-02-19,2020-02-25,2020,8,64639133,11513,0,12780.6,-1267.6,11513,2020-06-13T19:08:44Z
France,France,0,2020-02-26,2020-03-03,2020,9,64639133,12025,3,12748.4,-723.4,12022,2020-06-13T19:08:44Z
France,France,0,2020-03-04,2020-03-10,2020,10,64639133,12204,29,12477.4,-273.4,12175,2020-06-13T19:08:44Z
France,France,0,2020-03-11,2020-03-17,2020,11,64639133,12898,142,11897.8,1000.2,12756,2020-06-13T19:08:44Z
France,France,0,2020-03-18,2020-03-24,2020,12,64639133,14179,925,11718.6,2460.4,13254,2020-06-13T19:08:44Z
France,France,0,2020-03-25,2020-03-31,2020,13,64639133,17213,2423,11484.8,5728.2,14790,2020-06-13T19:08:44Z
France,France,0,2020-04-01,2020-04-07,2020,14,64639133,18698,6805,11291.8,7406.2,11893,2020-06-13T19:08:44Z
France,France,0,2020-04-08,2020-04-14,2020,15,64639133,16811,5401,11132.8,5678.2,11410,2020-06-13T19:08:44Z
France,France,0,2020-04-15,2020-04-21,2020,16,64639133,14448,5067,10964.6,3483.4,9381,2020-06-13T19:08:44Z
France,France,0,2020-04-22,2020-04-28,2020,17,64639133,12339,2864,10772.2,1566.8,9475,2020-06-13T19:08:44Z
France,France,0,2020-04-29,2020-05-05,2020,18,64639133,11013,1871,10733.2,279.799999999999,9142,2020-06-13T19:08:44Z
France,France,0,2020-05-06,2020-05-12,2020,19,64639133,10659,1460,10577.4,81.6000000000004,9199,2020-06-13T19:08:44Z
France,France,0,2020-05-13,2020-05-19,2020,20,64639133,10735,1031,10404.4,330.6,9704,2020-06-13T19:08:44Z
France,France,0,2020-05-20,2020-05-26,2020,21,64639133,10554,508,10432.6,121.4,10046,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-01,2020-01-07,2020,1,46733038,8393,0,9019.25,-626.25,8393,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-08,2020-01-14,2020,2,46733038,9186,0,9227,-41,9186,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-15,2020-01-21,2020,3,46733038,9450,0,9277.5,172.5,9450,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-22,2020-01-28,2020,4,46733038,9468,0,9193.5,274.5,9468,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-29,2020-02-04,2020,5,46733038,9375,0,9099.25,275.75,9375,2020-06-13T19:08:44Z
Spain,Spain,0,2020-02-05,2020-02-11,2020,6,46733038,8569,0,9127.5,-558.5,8569,2020-06-13T19:08:44Z
