Date_evenement,Zone,Remontee_dematerialisee_2020,Total_deces_2020,Taux_dematerialisation_2020,Remontee_dematerialisee_2019,Total_deces_2019,Remontee_dematerialisee_2018,Total_deces_2018
01/03/2020,France,1567,1737,0.9,1646,1872,1823,2136
02/03/2020,France,3151,3490,0.9,3329,3782,3719,4327
03/03/2020,France,4733,5215,0.91,4837,5530,5567,6455
04/03/2020,France,6346,6958,0.91,6489,7410,7341,8545
05/03/2020,France,7918,8682,0.91,8123,9278,9232,10746
06/03/2020,France,9528,10436,0.91,9778,11148,11084,12904
07/03/2020,France,10996,12054,0.91,11392,13007,12878,14959
08/03/2020,France,12494,13676,0.91,12982,14807,14706,17066
09/03/2020,France,14096,15415,0.91,14528,16580,16514,19115
10/03/2020,France,15661,17145,0.91,15981,18247,18289,21201
11/03/2020,France,17297,18908,0.91,17528,20013,19963,23143
12/03/2020,France,18813,20518,0.92,19046,21719,21710,25190
13/03/2020,France,20309,22095,0.92,20524,23410,23405,27170
14/03/2020,France,21788,23642,0.92,22029,25128,25049,29097
15/03/2020,France,23341,25255,0.92,23547,26873,26690,30995
16/03/2020,France,24970,26944,0.93,25041,28593,28360,32902
17/03/2020,France,26630,NA,,26460,30228,29952,34742
18/03/2020,France,28242,NA,,28013,31985,31450,36533
19/03/2020,France,29892,NA,,29480,33669,33034,38356
20/03/2020,France,31426,NA,,30932,35330,34569,40147
21/03/2020,France,NA,NA,,32424,37031,36222,42049
22/03/2020,France,NA,NA,,33906,38719,37889,43941
23/03/2020,France,NA,NA,,35401,40417,39442,45767
24/03/2020,France,NA,NA,,36835,42045,41063,47652
25/03/2020,France,NA,NA,,38306,43710,42629,49469
26/03/2020,France,NA,NA,,39747,45335,44218,51322
27/03/2020,France,NA,NA,,41228,47021,45840,53182
28/03/2020,France,NA,NA,,42706,48711,47418,55009
29/03/2020,France,NA,NA,,44153,50374,48979,56836
30/03/2020,France,NA,NA,,45566,52011,50539,58641
31/03/2020,France,NA,NA,,46957,53629,52060,60407
01/03/2020,Dept_01,9,14,0.64,11,15,8,13
02/03/2020,Dept_01,15,22,0.68,23,34,22,29
03/03/2020,Dept_01,26,36,0.72,32,46,33,48
04/03/2020,Dept_01,33,46,0.72,41,56,45,62
05/03/2020,Dept_01,45,60,0.75,49,72,61,83
06/03/2020,Dept_01,55,72,0.76,54,82,74,97
07/03/2020,Dept_01,66,86,0.77,61,91,89,115
08/03/2020,Dept_01,77,97,0.79,70,103,100,128
09/03/2020,Dept_01,88,109,0.81,77,112,107,141
10/03/2020,Dept_01,100,122,0.82,89,124,116,155
11/03/2020,Dept_01,111,134,0.83,97,139,120,161
12/03/2020,Dept_01,116,140,0.83,101,144,134,178
13/03/2020,Dept_01,130,155,0.84,109,155,145,192
14/03/2020,Dept_01,141,167,0.84,123,171,153,203
15/03/2020,Dept_01,157,183,0.86,133,183,165,216
16/03/2020,Dept_01,163,189,0.86,142,195,172,225
17/03/2020,Dept_01,176,NA,,150,207,181,237
18/03/2020,Dept_01,188,NA,,157,217,189,255
19/03/2020,Dept_01,199,NA,,162,228,201,272
20/03/2020,Dept_01,202,NA,,171,241,211,283
21/03/2020,Dept_01,NA,NA,,180,252,224,303
22/03/2020,Dept_01,NA,NA,,186,264,231,313
23/03/2020,Dept_01,NA,NA,,198,278,246,331
24/03/2020,Dept_01,NA,NA,,211,293,257,345
25/03/2020,Dept_01,NA,NA,,221,306,265,356
26/03/2020,Dept_01,NA,NA,,231,319,273,366
27/03/2020,Dept_01,NA,NA,,240,331,286,382
28/03/2020,Dept_01,NA,NA,,250,352,295,394
29/03/2020,Dept_01,NA,NA,,258,363,308,412
30/03/2020,Dept_01,NA,NA,,271,380,324,429
31/03/2020,Dept_01,NA,NA,,276,388,332,443
01/03/2020,Dept_02,19,23,0.83,13,16,12,18
02/03/2020,Dept_02,29,39,0.74,23,29,25,35
03/03/2020,Dept_02,45,57,0.79,34,43,46,62
04/03/2020,Dept_02,55,69,0.8,48,60,60,81
05/03/2020,Dept_02,71,86,0.83,62,76,85,107
06/03/2020,Dept_02,82,101,0.81,79,97,111,137
07/03/2020,Dept_02,104,128,0.81,89,110,124,154
08/03/2020,Dept_02,118,143,0.83,112,135,142,180
09/03/2020,Dept_02,128,158,0.81,121,145,158,198
10/03/2020,Dept_02,141,176,0.8,138,163,178,220
11/03/2020,Dept_02,161,199,0.81,152,177,199,246
12/03/2020,Dept_02,172,212,0.81,165,192,216,268
13/03/2020,Dept_02,182,223,0.82,173,202,241,293
14/03/2020,Dept_02,202,246,0.82,191,223,257,314
15/03/2020,Dept_02,222,268,0.83,202,236,276,338
16/03/2020,Dept_02,240,286,0.84,211,248,291,359
17/03/2020,Dept_02,267,NA,,225,264,313,386
18/03/2020,Dept_02,287,NA,,237,276,322,399
19/03/2020,Dept_02,307,NA,,262,306,339,419
20/03/2020,Dept_02,326,NA,,274,322,356,436
21/03/2020,Dept_02,NA,NA,,281,331,375,459
22/03/2020,Dept_02,NA,NA,,291,346,395,481
23/03/2020,Dept_02,NA,NA,,304,365,405,494
24/03/2020,Dept_02,NA,NA,,314,376,420,512
25/03/2020,Dept_02,NA,NA,,328,392,433,528
26/03/2020,Dept_02,NA,NA,,339,404,443,540
27/03/2020,Dept_02,NA,NA,,354,421,453,551
28/03/2020,Dept_02,NA,NA,,370,443,462,563
29/03/2020,Dept_02,NA,NA,,384,459,473,574
30/03/2020,Dept_02,NA,NA,,398,476,488,591
31/03/2020,Dept_02,NA,NA,,407,488,503,609
01/03/2020,Dept_03,7,10,0.7,17,22,5,7
02/03/2020,Dept_03,24,27,0.89,30,36,19,22
03/03/2020,Dept_03,40,43,0.93,41,50,30,35
04/03/2020,Dept_03,51,55,0.93,50,62,47,57
05/03/2020,Dept_03,65,72,0.9,64,79,66,80
06/03/2020,Dept_03,74,82,0.9,73,91,79,97
07/03/2020,Dept_03,85,97,0.88,86,109,89,113
08/03/2020,Dept_03,91,105,0.87,94,118,107,135
09/03/2020,Dept_03,105,120,0.88,108,134,118,147
10/03/2020,Dept_03,114,134,0.85,118,147,129,161
11/03/2020,Dept_03,127,149,0.85,132,166,140,182
12/03/2020,Dept_03,140,162,0.86,140,174,146,189
13/03/2020,Dept_03,146,168,0.87,152,189,157,206
14/03/2020,Dept_03,154,177,0.87,165,206,164,216
15/03/2020,Dept_03,161,184,0.88,180,222,173,226
16/03/2020,Dept_03,168,192,0.88,195,241,187,240
17/03/2020,Dept_03,176,NA,,210,257,197,254
18/03/2020,Dept_03,185,NA,,218,267,209,271
19/03/2020,Dept_03,193,NA,,233,287,220,285
20/03/2020,Dept_03,204,NA,,245,302,232,300
21/03/2020,Dept_03,NA,NA,,257,318,240,311
22/03/2020,Dept_03,NA,NA,,265,326,250,324
23/03/2020,Dept_03,NA,NA,,275,338,260,336
24/03/2020,Dept_03,NA,NA,,288,353,268,345
25/03/2020,Dept_03,NA,NA,,297,363,284,362
26/03/2020,Dept_03,NA,NA,,310,378,299,380
27/03/2020,Dept_03,NA,NA,,318,390,308,390
28/03/2020,Dept_03,NA,NA,,326,400,316,401
29/03/2020,Dept_03,NA,NA,,336,411,326,411
30/03/2020,Dept_03,NA,NA,,342,421,330,417
31/03/2020,Dept_03,NA,NA,,356,438,337,426
01/03/2020,Dept_04,6,7,0.86,2,2,11,11
02/03/2020,Dept_04,8,12,0.67,5,7,17,17
03/03/2020,Dept_04,13,17,0.76,12,15,23,24
04/03/2020,Dept_04,18,24,0.75,17,20,27,29
05/03/2020,Dept_04,21,28,0.75,24,29,29,34
06/03/2020,Dept_04,26,34,0.76,33,39,36,43
07/03/2020,Dept_04,33,42,0.79,38,46,43,51
08/03/2020,Dept_04,34,43,0.79,42,51,50,58
09/03/2020,Dept_04,44,53,0.83,49,59,61,71
10/03/2020,Dept_04,50,60,0.83,52,66,67,79
11/03/2020,Dept_04,56,67,0.84,61,75,74,87
12/03/2020,Dept_04,64,75,0.85,67,83,76,90
13/03/2020,Dept_04,66,79,0.84,69,86,87,104
14/03/2020,Dept_04,69,83,0.83,72,90,92,109
15/03/2020,Dept_04,72,86,0.84,78,97,97,115
16/03/2020,Dept_04,77,92,0.84,82,102,100,119
17/03/2020,Dept_04,79,NA,,88,109,105,126
18/03/2020,Dept_04,83,NA,,93,115,107,130
19/03/2020,Dept_04,88,NA,,95,119,113,138
20/03/2020,Dept_04,93,NA,,96,121,119,145
21/03/2020,Dept_04,NA,NA,,100,127,122,148
22/03/2020,Dept_04,NA,NA,,103,130,127,153
23/03/2020,Dept_04,NA,NA,,107,134,129,155
24/03/2020,Dept_04,NA,NA,,112,142,131,158
25/03/2020,Dept_04,NA,NA,,117,148,136,165
26/03/2020,Dept_04,NA,NA,,124,157,144,175
27/03/2020,Dept_04,NA,NA,,130,163,150,182
28/03/2020,Dept_04,NA,NA,,138,171,158,192
29/03/2020,Dept_04,NA,NA,,143,176,161,199
30/03/2020,Dept_04,NA,NA,,146,181,165,206
31/03/2020,Dept_04,NA,NA,,149,185,173,214
01/03/2020,Dept_05,1,1,1,4,5,3,4
02/03/2020,Dept_05,5,5,1,8,11,8,10
03/03/2020,Dept_05,6,7,0.86,13,17,14,17
04/03/2020,Dept_05,12,14,0.86,15,22,19,22
05/03/2020,Dept_05,16,19,0.84,20,29,24,27
06/03/2020,Dept_05,19,23,0.83,23,33,29,33
07/03/2020,Dept_05,20,26,0.77,25,36,31,38
08/03/2020,Dept_05,21,29,0.72,27,38,34,41
09/03/2020,Dept_05,23,32,0.72,29,42,40,47
10/03/2020,Dept_05,24,35,0.69,32,46,41,49
11/03/2020,Dept_05,26,37,0.7,38,53,45,55
12/03/2020,Dept_05,32,43,0.74,44,59,49,62
13/03/2020,Dept_05,34,45,0.76,46,64,51,65
14/03/2020,Dept_05,34,45,0.76,47,66,53,68
15/03/2020,Dept_05,36,49,0.73,49,71,56,71
16/03/2020,Dept_05,40,53,0.75,54,77,58,73
17/03/2020,Dept_05,41,NA,,56,79,58,74
18/03/2020,Dept_05,42,NA,,59,83,60,77
19/03/2020,Dept_05,46,NA,,60,86,61,78
20/03/2020,Dept_05,50,NA,,63,89,67,85
21/03/2020,Dept_05,NA,NA,,64,90,69,90
22/03/2020,Dept_05,NA,NA,,65,91,73,94
23/03/2020,Dept_05,NA,NA,,66,93,79,102
24/03/2020,Dept_05,NA,NA,,68,95,84,107
25/03/2020,Dept_05,NA,NA,,73,101,91,115
26/03/2020,Dept_05,NA,NA,,77,106,92,117
27/03/2020,Dept_05,NA,NA,,84,113,95,120
28/03/2020,Dept_05,NA,NA,,89,118,102,128
29/03/2020,Dept_05,NA,NA,,92,125,102,130
30/03/2020,Dept_05,NA,NA,,93,126,103,133
31/03/2020,Dept_05,NA,NA,,96,130,105,135
01/03/2020,Dept_06,28,28,1,42,42,32,35
02/03/2020,Dept_06,60,61,0.98,76,77,78,87
03/03/2020,Dept_06,91,92,0.99,112,115,116,126
04/03/2020,Dept_06,131,133,0.98,154,159,151,164
05/03/2020,Dept_06,168,170,0.99,193,198,177,190
06/03/2020,Dept_06,203,205,0.99,230,236,206,224
07/03/2020,Dept_06,232,235,0.99,261,268,253,273
08/03/2020,Dept_06,255,258,0.99,300,308,295,315
09/03/2020,Dept_06,297,300,0.99,334,343,341,363
10/03/2020,Dept_06,333,336,0.99,369,378,380,402
11/03/2020,Dept_06,369,373,0.99,405,415,408,431
12/03/2020,Dept_06,407,412,0.99,441,453,439,464
13/03/2020,Dept_06,437,442,0.99,476,489,472,497
14/03/2020,Dept_06,467,473,0.99,495,508,514,542
15/03/2020,Dept_06,501,508,0.99,527,540,543,576
16/03/2020,Dept_06,531,539,0.99,562,576,577,611
17/03/2020,Dept_06,568,NA,,595,609,620,655
18/03/2020,Dept_06,608,NA,,637,652,647,684
19/03/2020,Dept_06,650,NA,,679,695,669,711
20/03/2020,Dept_06,681,NA,,705,723,714,758
21/03/2020,Dept_06,NA,NA,,744,764,749,794
22/03/2020,Dept_06,NA,NA,,780,800,791,836
23/03/2020,Dept_06,NA,NA,,813,834,820,866
24/03/2020,Dept_06,NA,NA,,843,866,849,897
25/03/2020,Dept_06,NA,NA,,867,892,884,934
26/03/2020,Dept_06,NA,NA,,903,928,918,970
27/03/2020,Dept_06,NA,NA,,931,957,952,1006
28/03/2020,Dept_06,NA,NA,,963,990,994,1049
29/03/2020,Dept_06,NA,NA,,989,1017,1033,1094
30/03/2020,Dept_06,NA,NA,,1021,1049,1057,1119
31/03/2020,Dept_06,NA,NA,,1052,1081,1084,1146
01/03/2020,Dept_07,8,9,0.89,10,12,4,6
02/03/2020,Dept_07,20,22,0.91,18,21,15,22
03/03/2020,Dept_07,28,31,0.9,23,26,24,33
04/03/2020,Dept_07,33,39,0.85,28,34,31,44
05/03/2020,Dept_07,45,52,0.87,39,45,38,58
06/03/2020,Dept_07,48,57,0.84,44,50,51,75
07/03/2020,Dept_07,56,67,0.84,53,62,63,87
08/03/2020,Dept_07,64,75,0.85,62,74,73,98
09/03/2020,Dept_07,72,85,0.85,71,88,85,111
10/03/2020,Dept_07,77,92,0.84,78,96,93,121
11/03/2020,Dept_07,90,105,0.86,85,110,104,133
12/03/2020,Dept_07,94,112,0.84,92,119,111,144
13/03/2020,Dept_07,100,118,0.85,98,125,118,153
14/03/2020,Dept_07,108,126,0.86,103,134,124,162
15/03/2020,Dept_07,123,141,0.87,107,143,138,183
16/03/2020,Dept_07,126,145,0.87,109,147,147,193
17/03/2020,Dept_07,130,NA,,117,158,162,215
18/03/2020,Dept_07,143,NA,,127,169,168,224
19/03/2020,Dept_07,150,NA,,134,178,179,236
20/03/2020,Dept_07,160,NA,,141,187,186,246
21/03/2020,Dept_07,NA,NA,,149,197,194,258
22/03/2020,Dept_07,NA,NA,,158,207,203,268
23/03/2020,Dept_07,NA,NA,,165,216,211,285
24/03/2020,Dept_07,NA,NA,,175,229,223,300
25/03/2020,Dept_07,NA,NA,,183,237,233,310
26/03/2020,Dept_07,NA,NA,,192,248,240,320
27/03/2020,Dept_07,NA,NA,,195,259,244,326
28/03/2020,Dept_07,NA,NA,,203,273,248,331
29/03/2020,Dept_07,NA,NA,,208,281,257,341
30/03/2020,Dept_07,NA,NA,,215,289,260,347
31/03/2020,Dept_07,NA,NA,,222,298,264,354
01/03/2020,Dept_08,7,8,0.88,4,6,10,11
02/03/2020,Dept_08,16,18,0.89,11,13,15,18
03/03/2020,Dept_08,20,25,0.8,18,22,27,31
04/03/2020,Dept_08,26,31,0.84,28,32,36,40
05/03/2020,Dept_08,30,36,0.83,33,39,43,49
06/03/2020,Dept_08,38,45,0.84,43,50,51,60
07/03/2020,Dept_08,45,52,0.87,49,57,54,66
08/03/2020,Dept_08,52,59,0.88,54,62,69,81
09/03/2020,Dept_08,57,64,0.89,60,69,81,95
10/03/2020,Dept_08,60,69,0.87,62,72,89,105
11/03/2020,Dept_08,70,82,0.85,67,77,97,116
12/03/2020,Dept_08,75,87,0.86,73,83,101,121
13/03/2020,Dept_08,78,92,0.85,76,87,106,126
14/03/2020,Dept_08,83,98,0.85,80,91,110,130
15/03/2020,Dept_08,85,101,0.84,88,100,116,138
16/03/2020,Dept_08,88,106,0.83,92,105,126,149
17/03/2020,Dept_08,90,NA,,99,115,141,166
18/03/2020,Dept_08,93,NA,,104,121,147,175
19/03/2020,Dept_08,98,NA,,113,130,155,183
20/03/2020,Dept_08,102,NA,,119,136,159,192
21/03/2020,Dept_08,NA,NA,,127,146,164,198
22/03/2020,Dept_08,NA,NA,,133,152,175,209
23/03/2020,Dept_08,NA,NA,,136,155,188,225
24/03/2020,Dept_08,NA,NA,,144,165,196,233
25/03/2020,Dept_08,NA,NA,,153,174,204,244
26/03/2020,Dept_08,NA,NA,,158,179,210,251
27/03/2020,Dept_08,NA,NA,,167,189,216,259
28/03/2020,Dept_08,NA,NA,,172,195,223,267
29/03/2020,Dept_08,NA,NA,,181,206,227,271
30/03/2020,Dept_08,NA,NA,,194,220,235,280
31/03/2020,Dept_08,NA,NA,,201,230,237,282
01/03/2020,Dept_09,3,4,0.75,4,4,5,6
02/03/2020,Dept_09,9,10,0.9,6,8,10,14
03/03/2020,Dept_09,14,15,0.93,13,16,14,18
04/03/2020,Dept_09,25,26,0.96,18,23,18,23
05/03/2020,Dept_09,29,30,0.97,20,27,20,25
06/03/2020,Dept_09,30,32,0.94,23,30,24,31
07/03/2020,Dept_09,32,35,0.91,30,39,26,34
08/03/2020,Dept_09,35,38,0.92,33,43,29,38
09/03/2020,Dept_09,37,40,0.93,38,49,33,43
10/03/2020,Dept_09,42,45,0.93,44,56,35,46
11/03/2020,Dept_09,45,48,0.94,45,57,37,51
12/03/2020,Dept_09,49,53,0.92,46,61,42,62
13/03/2020,Dept_09,52,56,0.93,49,65,44,65
14/03/2020,Dept_09,57,61,0.93,52,69,46,72
15/03/2020,Dept_09,61,65,0.94,58,78,47,73
16/03/2020,Dept_09,68,72,0.94,63,83,57,83
17/03/2020,Dept_09,71,NA,,66,86,63,91
18/03/2020,Dept_09,73,NA,,71,91,64,93
19/03/2020,Dept_09,76,NA,,77,98,69,98
20/03/2020,Dept_09,78,NA,,79,102,71,102
21/03/2020,Dept_09,NA,NA,,83,107,77,109
22/03/2020,Dept_09,NA,NA,,85,109,82,116
23/03/2020,Dept_09,NA,NA,,88,115,85,121
24/03/2020,Dept_09,NA,NA,,89,116,90,128
25/03/2020,Dept_09,NA,NA,,92,119,93,134
26/03/2020,Dept_09,NA,NA,,95,123,95,137
27/03/2020,Dept_09,NA,NA,,99,127,99,141
28/03/2020,Dept_09,NA,NA,,105,134,102,145
29/03/2020,Dept_09,NA,NA,,112,142,104,148
30/03/2020,Dept_09,NA,NA,,116,147,108,154
