PopCode,Area,Year ,Week ,Sex,Age,AgeInterval,Deaths,Type,Access
KOR,1,2010,3,m,65,10,672,O,O
KOR,1,2010,3,m,75,10,694,O,O
KOR,1,2010,3,m,85,+,301,O,O
KOR,1,2010,3,m,TOT,.,2740,O,O
KOR,1,2010,3,m,UNK,.,0,O,O
KOR,1,2010,3,f,0,15,19,O,O
KOR,1,2010,3,f,15,50,397,O,O
KOR,1,2010,3,f,65,10,372,O,O
KOR,1,2010,3,f,75,10,781,O,O
KOR,1,2010,3,f,85,+,628,O,O
KOR,1,2010,3,f,TOT,.,2197,O,O
KOR,1,2010,3,f,UNK,.,0,O,O
KOR,1,2010,3,b,0,15,53,O,O
KOR,1,2010,3,b,15,50,1436,O,O
KOR,1,2010,3,b,65,10,1044,O,O
KOR,1,2010,3,b,75,10,1475,O,O
KOR,1,2010,3,b,85,+,929,O,O
KOR,1,2010,3,b,TOT,.,4937,O,O
KOR,1,2010,3,b,UNK,.,0,O,O
KOR,1,2010,4,m,0,15,34,O,O
KOR,1,2010,4,m,15,50,1006,O,O
KOR,1,2010,4,m,65,10,713,O,O
KOR,1,2010,4,m,75,10,659,O,O
KOR,1,2010,4,m,85,+,267,O,O
KOR,1,2010,4,m,TOT,.,2679,O,O
KOR,1,2010,4,m,UNK,.,0,O,O
KOR,1,2010,4,f,0,15,19,O,O
KOR,1,2010,4,f,15,50,391,O,O
KOR,1,2010,4,f,65,10,410,O,O
KOR,1,2010,4,f,75,10,773,O,O
KOR,1,2010,4,f,85,+,627,O,O
KOR,1,2010,4,f,TOT,.,2220,O,O
KOR,1,2010,4,f,UNK,.,0,O,O
KOR,1,2010,4,b,0,15,53,O,O
KOR,1,2010,4,b,15,50,1397,O,O
KOR,1,2010,4,b,65,10,1123,O,O
KOR,1,2010,4,b,75,10,1432,O,O
KOR,1,2010,4,b,85,+,894,O,O
KOR,1,2010,4,b,TOT,.,4899,O,O
KOR,1,2010,4,b,UNK,.,0,O,O
KOR,1,2010,5,m,0,15,33,O,O
KOR,1,2010,5,m,15,50,981,O,O
KOR,1,2010,5,m,65,10,734,O,O
KOR,1,2010,5,m,75,10,651,O,O
KOR,1,2010,5,m,85,+,295,O,O
KOR,1,2010,5,m,TOT,.,2694,O,O
KOR,1,2010,5,m,UNK,.,0,O,O
KOR,1,2010,5,f,0,15,16,O,O
KOR,1,2010,5,f,15,50,378,O,O
KOR,1,2010,5,f,65,10,394,O,O
KOR,1,2010,5,f,75,10,698,O,O
KOR,1,2010,5,f,85,+,607,O,O
KOR,1,2010,5,f,TOT,.,2093,O,O
KOR,1,2010,5,f,UNK,.,0,O,O
KOR,1,2010,5,b,0,15,49,O,O
KOR,1,2010,5,b,15,50,1359,O,O
KOR,1,2010,5,b,65,10,1128,O,O
KOR,1,2010,5,b,75,10,1349,O,O
KOR,1,2010,5,b,85,+,902,O,O
KOR,1,2010,5,b,TOT,.,4787,O,O
KOR,1,2010,5,b,UNK,.,0,O,O
KOR,1,2010,6,m,0,15,33,O,O
KOR,1,2010,6,m,15,50,981,O,O
KOR,1,2010,6,m,65,10,664,O,O
KOR,1,2010,6,m,75,10,655,O,O
KOR,1,2010,6,m,85,+,282,O,O
KOR,1,2010,6,m,TOT,.,2615,O,O
KOR,1,2010,6,m,UNK,.,0,O,O
KOR,1,2010,6,f,0,15,19,O,O
KOR,1,2010,6,f,15,50,393,O,O
KOR,1,2010,6,f,65,10,345,O,O
KOR,1,2010,6,f,75,10,693,O,O
KOR,1,2010,6,f,85,+,601,O,O
KOR,1,2010,6,f,TOT,.,2052,O,O
KOR,1,2010,6,f,UNK,.,1,O,O
KOR,1,2010,6,b,0,15,52,O,O
KOR,1,2010,6,b,15,50,1374,O,O
KOR,1,2010,6,b,65,10,1009,O,O
KOR,1,2010,6,b,75,10,1348,O,O
KOR,1,2010,6,b,85,+,883,O,O
KOR,1,2010,6,b,TOT,.,4667,O,O
KOR,1,2010,6,b,UNK,.,1,O,O
KOR,1,2010,7,m,0,15,27,O,O
KOR,1,2010,7,m,15,50,1011,O,O
KOR,1,2010,7,m,65,10,700,O,O
KOR,1,2010,7,m,75,10,657,O,O
KOR,1,2010,7,m,85,+,275,O,O
KOR,1,2010,7,m,TOT,.,2671,O,O
KOR,1,2010,7,m,UNK,.,1,O,O
KOR,1,2010,7,f,0,15,21,O,O
KOR,1,2010,7,f,15,50,439,O,O
KOR,1,2010,7,f,65,10,396,O,O
KOR,1,2010,7,f,75,10,720,O,O
KOR,1,2010,7,f,85,+,669,O,O
KOR,1,2010,7,f,TOT,.,2245,O,O
KOR,1,2010,7,f,UNK,.,0,O,O
KOR,1,2010,7,b,0,15,48,O,O
KOR,1,2010,7,b,15,50,1450,O,O
KOR,1,2010,7,b,65,10,1096,O,O
KOR,1,2010,7,b,75,10,1377,O,O
KOR,1,2010,7,b,85,+,944,O,O
KOR,1,2010,7,b,TOT,.,4916,O,O
KOR,1,2010,7,b,UNK,.,1,O,O
KOR,1,2010,8,m,0,15,35,O,O
KOR,1,2010,8,m,15,50,1000,O,O
KOR,1,2010,8,m,65,10,767,O,O
KOR,1,2010,8,m,75,10,672,O,O
KOR,1,2010,8,m,85,+,334,O,O
KOR,1,2010,8,m,TOT,.,2808,O,O
