PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
POL,1,2000,2,b,TOT,.,8292,O,O
POL,1,2000,2,b,UNK,.,0,O,O
POL,1,2000,3,m,0,5,38,O,O
POL,1,2000,3,m,5,5,4,O,O
POL,1,2000,3,m,10,5,7,O,O
POL,1,2000,3,m,15,5,22,O,O
POL,1,2000,3,m,20,5,33,O,O
POL,1,2000,3,m,25,5,23,O,O
POL,1,2000,3,m,30,5,35,O,O
POL,1,2000,3,m,35,5,87,O,O
POL,1,2000,3,m,40,5,138,O,O
POL,1,2000,3,m,45,5,254,O,O
POL,1,2000,3,m,50,5,287,O,O
POL,1,2000,3,m,55,5,292,O,O
POL,1,2000,3,m,60,5,464,O,O
POL,1,2000,3,m,65,5,636,O,O
POL,1,2000,3,m,70,5,718,O,O
POL,1,2000,3,m,75,5,667,O,O
POL,1,2000,3,m,80,5,367,O,O
POL,1,2000,3,m,85,5,369,O,O
POL,1,2000,3,m,90,+,181,O,O
POL,1,2000,3,m,TOT,.,4622,O,O
POL,1,2000,3,m,UNK,.,0,O,O
POL,1,2000,3,f,0,5,29,O,O
POL,1,2000,3,f,5,5,6,O,O
POL,1,2000,3,f,10,5,5,O,O
POL,1,2000,3,f,15,5,8,O,O
POL,1,2000,3,f,20,5,6,O,O
POL,1,2000,3,f,25,5,12,O,O
POL,1,2000,3,f,30,5,13,O,O
POL,1,2000,3,f,35,5,29,O,O
POL,1,2000,3,f,40,5,55,O,O
POL,1,2000,3,f,45,5,100,O,O
POL,1,2000,3,f,50,5,116,O,O
POL,1,2000,3,f,55,5,125,O,O
POL,1,2000,3,f,60,5,229,O,O
POL,1,2000,3,f,65,5,388,O,O
POL,1,2000,3,f,70,5,605,O,O
POL,1,2000,3,f,75,5,728,O,O
POL,1,2000,3,f,80,5,617,O,O
POL,1,2000,3,f,85,5,739,O,O
POL,1,2000,3,f,90,+,538,O,O
POL,1,2000,3,f,TOT,.,4348,O,O
POL,1,2000,3,f,UNK,.,0,O,O
POL,1,2000,3,b,0,5,67,O,O
POL,1,2000,3,b,5,5,10,O,O
POL,1,2000,3,b,10,5,12,O,O
POL,1,2000,3,b,15,5,30,O,O
POL,1,2000,3,b,20,5,39,O,O
POL,1,2000,3,b,25,5,35,O,O
POL,1,2000,3,b,30,5,48,O,O
POL,1,2000,3,b,35,5,116,O,O
POL,1,2000,3,b,40,5,193,O,O
POL,1,2000,3,b,45,5,354,O,O
POL,1,2000,3,b,50,5,403,O,O
POL,1,2000,3,b,55,5,417,O,O
POL,1,2000,3,b,60,5,693,O,O
POL,1,2000,3,b,65,5,1024,O,O
POL,1,2000,3,b,70,5,1323,O,O
POL,1,2000,3,b,75,5,1395,O,O
POL,1,2000,3,b,80,5,984,O,O
POL,1,2000,3,b,85,5,1108,O,O
POL,1,2000,3,b,90,+,719,O,O
POL,1,2000,3,b,TOT,.,8970,O,O
POL,1,2000,3,b,UNK,.,0,O,O
POL,1,2000,4,m,0,5,37,O,O
POL,1,2000,4,m,5,5,4,O,O
POL,1,2000,4,m,10,5,8,O,O
POL,1,2000,4,m,15,5,24,O,O
POL,1,2000,4,m,20,5,32,O,O
POL,1,2000,4,m,25,5,29,O,O
POL,1,2000,4,m,30,5,34,O,O
POL,1,2000,4,m,35,5,67,O,O
POL,1,2000,4,m,40,5,160,O,O
POL,1,2000,4,m,45,5,238,O,O
POL,1,2000,4,m,50,5,294,O,O
POL,1,2000,4,m,55,5,290,O,O
POL,1,2000,4,m,60,5,473,O,O
POL,1,2000,4,m,65,5,636,O,O
POL,1,2000,4,m,70,5,779,O,O
POL,1,2000,4,m,75,5,658,O,O
POL,1,2000,4,m,80,5,418,O,O
POL,1,2000,4,m,85,5,435,O,O
POL,1,2000,4,m,90,+,190,O,O
POL,1,2000,4,m,TOT,.,4806,O,O
POL,1,2000,4,m,UNK,.,0,O,O
POL,1,2000,4,f,0,5,29,O,O
POL,1,2000,4,f,5,5,1,O,O
POL,1,2000,4,f,10,5,5,O,O
POL,1,2000,4,f,15,5,9,O,O
POL,1,2000,4,f,20,5,7,O,O
POL,1,2000,4,f,25,5,10,O,O
POL,1,2000,4,f,30,5,14,O,O
POL,1,2000,4,f,35,5,21,O,O
POL,1,2000,4,f,40,5,54,O,O
POL,1,2000,4,f,45,5,93,O,O
POL,1,2000,4,f,50,5,121,O,O
POL,1,2000,4,f,55,5,130,O,O
POL,1,2000,4,f,60,5,212,O,O
POL,1,2000,4,f,65,5,397,O,O
POL,1,2000,4,f,70,5,601,O,O
POL,1,2000,4,f,75,5,776,O,O
POL,1,2000,4,f,80,5,680,O,O
POL,1,2000,4,f,85,5,825,O,O
POL,1,2000,4,f,90,+,589,O,O
POL,1,2000,4,f,TOT,.,4574,O,O
POL,1,2000,4,f,UNK,.,0,O,O
POL,1,2000,4,b,0,5,66,O,O
POL,1,2000,4,b,5,5,5,O,O
POL,1,2000,4,b,10,5,13,O,O
POL,1,2000,4,b,15,5,33,O,O
POL,1,2000,4,b,20,5,39,O,O
POL,1,2000,4,b,25,5,39,O,O
POL,1,2000,4,b,30,5,48,O,O
POL,1,2000,4,b,35,5,88,O,O
POL,1,2000,4,b,40,5,214,O,O
POL,1,2000,4,b,45,5,331,O,O
POL,1,2000,4,b,50,5,415,O,O
POL,1,2000,4,b,55,5,420,O,O
POL,1,2000,4,b,60,5,685,O,O
