PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
CAN,1,2010,1,m,0,45,140,O,O
CAN,1,2010,1,m,45,20,505,O,O
CAN,1,2010,1,m,65,20,1250,O,O
CAN,1,2010,1,m,85,+,640,O,O
CAN,1,2010,1,m,TOT,.,2535,O,O
CAN,1,2010,1,f,0,45,100,O,O
CAN,1,2010,1,f,45,20,285,O,O
CAN,1,2010,1,f,65,20,1005,O,O
CAN,1,2010,1,f,85,+,1030,O,O
CAN,1,2010,1,f,TOT,.,2420,O,O
CAN,1,2010,1,b,0,45,240,O,O
CAN,1,2010,1,b,45,20,790,O,O
CAN,1,2010,1,b,65,20,2255,O,O
CAN,1,2010,1,b,85,+,1670,O,O
CAN,1,2010,1,b,TOT,.,4955,O,O
CAN,1,2010,2,m,0,45,145,O,O
CAN,1,2010,2,m,45,20,490,O,O
CAN,1,2010,2,m,65,20,1180,O,O
CAN,1,2010,2,m,85,+,650,O,O
CAN,1,2010,2,m,TOT,.,2465,O,O
CAN,1,2010,2,f,0,45,100,O,O
CAN,1,2010,2,f,45,20,310,O,O
CAN,1,2010,2,f,65,20,935,O,O
CAN,1,2010,2,f,85,+,1085,O,O
CAN,1,2010,2,f,TOT,.,2430,O,O
CAN,1,2010,2,b,0,45,245,O,O
CAN,1,2010,2,b,45,20,800,O,O
CAN,1,2010,2,b,65,20,2115,O,O
CAN,1,2010,2,b,85,+,1735,O,O
CAN,1,2010,2,b,TOT,.,4895,O,O
CAN,1,2010,3,m,0,45,115,O,O
CAN,1,2010,3,m,45,20,465,O,O
CAN,1,2010,3,m,65,20,1195,O,O
CAN,1,2010,3,m,85,+,590,O,O
CAN,1,2010,3,m,TOT,.,2365,O,O
CAN,1,2010,3,f,0,45,90,O,O
CAN,1,2010,3,f,45,20,320,O,O
CAN,1,2010,3,f,65,20,965,O,O
CAN,1,2010,3,f,85,+,1040,O,O
CAN,1,2010,3,f,TOT,.,2415,O,O
CAN,1,2010,3,b,0,45,205,O,O
CAN,1,2010,3,b,45,20,785,O,O
CAN,1,2010,3,b,65,20,2160,O,O
CAN,1,2010,3,b,85,+,1630,O,O
CAN,1,2010,3,b,TOT,.,4780,O,O
CAN,1,2010,4,m,0,45,145,O,O
CAN,1,2010,4,m,45,20,435,O,O
CAN,1,2010,4,m,65,20,1165,O,O
CAN,1,2010,4,m,85,+,575,O,O
CAN,1,2010,4,m,TOT,.,2320,O,O
CAN,1,2010,4,f,0,45,85,O,O
CAN,1,2010,4,f,45,20,305,O,O
CAN,1,2010,4,f,65,20,940,O,O
CAN,1,2010,4,f,85,+,980,O,O
CAN,1,2010,4,f,TOT,.,2310,O,O
CAN,1,2010,4,b,0,45,230,O,O
CAN,1,2010,4,b,45,20,740,O,O
CAN,1,2010,4,b,65,20,2105,O,O
CAN,1,2010,4,b,85,+,1555,O,O
CAN,1,2010,4,b,TOT,.,4630,O,O
CAN,1,2010,5,m,0,45,140,O,O
CAN,1,2010,5,m,45,20,455,O,O
CAN,1,2010,5,m,65,20,1135,O,O
CAN,1,2010,5,m,85,+,575,O,O
CAN,1,2010,5,m,TOT,.,2305,O,O
CAN,1,2010,5,f,0,45,80,O,O
CAN,1,2010,5,f,45,20,290,O,O
CAN,1,2010,5,f,65,20,955,O,O
CAN,1,2010,5,f,85,+,1065,O,O
CAN,1,2010,5,f,TOT,.,2390,O,O
CAN,1,2010,5,b,0,45,220,O,O
CAN,1,2010,5,b,45,20,745,O,O
CAN,1,2010,5,b,65,20,2090,O,O
CAN,1,2010,5,b,85,+,1640,O,O
CAN,1,2010,5,b,TOT,.,4695,O,O
CAN,1,2010,6,m,0,45,135,O,O
CAN,1,2010,6,m,45,20,475,O,O
CAN,1,2010,6,m,65,20,1190,O,O
CAN,1,2010,6,m,85,+,575,O,O
CAN,1,2010,6,m,TOT,.,2375,O,O
CAN,1,2010,6,f,0,45,80,O,O
CAN,1,2010,6,f,45,20,235,O,O
CAN,1,2010,6,f,65,20,990,O,O
CAN,1,2010,6,f,85,+,1015,O,O
CAN,1,2010,6,f,TOT,.,2320,O,O
CAN,1,2010,6,b,0,45,215,O,O
CAN,1,2010,6,b,45,20,710,O,O
CAN,1,2010,6,b,65,20,2180,O,O
CAN,1,2010,6,b,85,+,1590,O,O
CAN,1,2010,6,b,TOT,.,4695,O,O
CAN,1,2010,7,m,0,45,135,O,O
CAN,1,2010,7,m,45,20,500,O,O
CAN,1,2010,7,m,65,20,1185,O,O
CAN,1,2010,7,m,85,+,600,O,O
CAN,1,2010,7,m,TOT,.,2420,O,O
CAN,1,2010,7,f,0,45,80,O,O
CAN,1,2010,7,f,45,20,310,O,O
CAN,1,2010,7,f,65,20,940,O,O
CAN,1,2010,7,f,85,+,1045,O,O
CAN,1,2010,7,f,TOT,.,2375,O,O
CAN,1,2010,7,b,0,45,215,O,O
CAN,1,2010,7,b,45,20,810,O,O
CAN,1,2010,7,b,65,20,2125,O,O
CAN,1,2010,7,b,85,+,1645,O,O
CAN,1,2010,7,b,TOT,.,4795,O,O
CAN,1,2010,8,m,0,45,145,O,O
CAN,1,2010,8,m,45,20,440,O,O
CAN,1,2010,8,m,65,20,1180,O,O
CAN,1,2010,8,m,85,+,575,O,O
CAN,1,2010,8,m,TOT,.,2340,O,O
CAN,1,2010,8,f,0,45,90,O,O
CAN,1,2010,8,f,45,20,295,O,O
CAN,1,2010,8,f,65,20,940,O,O
CAN,1,2010,8,f,85,+,1040,O,O
CAN,1,2010,8,f,TOT,.,2365,O,O
CAN,1,2010,8,b,0,45,235,O,O
CAN,1,2010,8,b,45,20,735,O,O
CAN,1,2010,8,b,65,20,2120,O,O
CAN,1,2010,8,b,85,+,1615,O,O
CAN,1,2010,8,b,TOT,.,4705,O,O
CAN,1,2010,9,m,0,45,145,O,O
CAN,1,2010,9,m,45,20,465,O,O
CAN,1,2010,9,m,65,20,1130,O,O
CAN,1,2010,9,m,85,+,615,O,O
CAN,1,2010,9,m,TOT,.,2355,O,O
CAN,1,2010,9,f,0,45,90,O,O
CAN,1,2010,9,f,45,20,305,O,O
CAN,1,2010,9,f,65,20,960,O,O
CAN,1,2010,9,f,85,+,1035,O,O
CAN,1,2010,9,f,TOT,.,2390,O,O
CAN,1,2010,9,b,0,45,235,O,O
CAN,1,2010,9,b,45,20,770,O,O
CAN,1,2010,9,b,65,20,2090,O,O
CAN,1,2010,9,b,85,+,1650,O,O
CAN,1,2010,9,b,TOT,.,4745,O,O
CAN,1,2010,10,m,0,45,155,O,O
CAN,1,2010,10,m,45,20,465,O,O
CAN,1,2010,10,m,65,20,1175,O,O
CAN,1,2010,10,m,85,+,600,O,O
CAN,1,2010,10,m,TOT,.,2395,O,O
CAN,1,2010,10,f,0,45,100,O,O
CAN,1,2010,10,f,45,20,305,O,O
CAN,1,2010,10,f,65,20,945,O,O
CAN,1,2010,10,f,85,+,975,O,O
CAN,1,2010,10,f,TOT,.,2325,O,O
CAN,1,2010,10,b,0,45,255,O,O
CAN,1,2010,10,b,45,20,770,O,O
CAN,1,2010,10,b,65,20,2120,O,O
CAN,1,2010,10,b,85,+,1575,O,O
CAN,1,2010,10,b,TOT,.,4720,O,O
CAN,1,2010,11,m,0,45,150,O,O
CAN,1,2010,11,m,45,20,465,O,O
CAN,1,2010,11,m,65,20,1165,O,O
CAN,1,2010,11,m,85,+,550,O,O
CAN,1,2010,11,m,TOT,.,2330,O,O
CAN,1,2010,11,f,0,45,90,O,O
CAN,1,2010,11,f,45,20,290,O,O
CAN,1,2010,11,f,65,20,970,O,O
CAN,1,2010,11,f,85,+,1020,O,O
CAN,1,2010,11,f,TOT,.,2370,O,O
CAN,1,2010,11,b,0,45,240,O,O
CAN,1,2010,11,b,45,20,755,O,O
CAN,1,2010,11,b,65,20,2135,O,O
CAN,1,2010,11,b,85,+,1570,O,O
CAN,1,2010,11,b,TOT,.,4700,O,O
CAN,1,2010,12,m,0,45,160,O,O
CAN,1,2010,12,m,45,20,445,O,O
CAN,1,2010,12,m,65,20,1185,O,O
CAN,1,2010,12,m,85,+,585,O,O
CAN,1,2010,12,m,TOT,.,2375,O,O
CAN,1,2010,12,f,0,45,100,O,O
CAN,1,2010,12,f,45,20,325,O,O
CAN,1,2010,12,f,65,20,970,O,O
CAN,1,2010,12,f,85,+,1005,O,O
CAN,1,2010,12,f,TOT,.,2400,O,O
CAN,1,2010,12,b,0,45,260,O,O
CAN,1,2010,12,b,45,20,770,O,O
CAN,1,2010,12,b,65,20,2155,O,O
CAN,1,2010,12,b,85,+,1590,O,O
CAN,1,2010,12,b,TOT,.,4775,O,O
CAN,1,2010,13,m,0,45,140,O,O
CAN,1,2010,13,m,45,20,445,O,O
CAN,1,2010,13,m,65,20,1180,O,O
CAN,1,2010,13,m,85,+,620,O,O
CAN,1,2010,13,m,TOT,.,2385,O,O
CAN,1,2010,13,f,0,45,75,O,O
CAN,1,2010,13,f,45,20,330,O,O
CAN,1,2010,13,f,65,20,1010,O,O
CAN,1,2010,13,f,85,+,970,O,O
CAN,1,2010,13,f,TOT,.,2385,O,O
CAN,1,2010,13,b,0,45,215,O,O
CAN,1,2010,13,b,45,20,775,O,O
CAN,1,2010,13,b,65,20,2190,O,O
CAN,1,2010,13,b,85,+,1590,O,O
CAN,1,2010,13,b,TOT,.,4770,O,O
CAN,1,2010,14,m,0,45,130,O,O
CAN,1,2010,14,m,45,20,440,O,O
CAN,1,2010,14,m,65,20,1075,O,O
CAN,1,2010,14,m,85,+,555,O,O
CAN,1,2010,14,m,TOT,.,2200,O,O
CAN,1,2010,14,f,0,45,90,O,O
CAN,1,2010,14,f,45,20,285,O,O
CAN,1,2010,14,f,65,20,920,O,O
CAN,1,2010,14,f,85,+,1015,O,O
CAN,1,2010,14,f,TOT,.,2310,O,O
CAN,1,2010,14,b,0,45,220,O,O
CAN,1,2010,14,b,45,20,725,O,O
CAN,1,2010,14,b,65,20,1995,O,O
CAN,1,2010,14,b,85,+,1570,O,O
CAN,1,2010,14,b,TOT,.,4510,O,O
CAN,1,2010,15,m,0,45,145,O,O
CAN,1,2010,15,m,45,20,480,O,O
CAN,1,2010,15,m,65,20,1145,O,O
CAN,1,2010,15,m,85,+,610,O,O
CAN,1,2010,15,m,TOT,.,2380,O,O
CAN,1,2010,15,f,0,45,85,O,O
CAN,1,2010,15,f,45,20,320,O,O
CAN,1,2010,15,f,65,20,895,O,O
CAN,1,2010,15,f,85,+,1030,O,O
CAN,1,2010,15,f,TOT,.,2330,O,O
CAN,1,2010,15,b,0,45,230,O,O
CAN,1,2010,15,b,45,20,800,O,O
CAN,1,2010,15,b,65,20,2040,O,O
CAN,1,2010,15,b,85,+,1640,O,O
CAN,1,2010,15,b,TOT,.,4710,O,O
CAN,1,2010,16,m,0,45,135,O,O
CAN,1,2010,16,m,45,20,490,O,O
CAN,1,2010,16,m,65,20,1120,O,O
