PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
TWN,1,2000,2,b,45,5,124,O,O
TWN,1,2000,2,b,50,5,110,O,O
TWN,1,2000,2,b,55,5,147,O,O
TWN,1,2000,2,b,60,5,185,O,O
TWN,1,2000,2,b,65,5,254,O,O
TWN,1,2000,2,b,70,5,358,O,O
TWN,1,2000,2,b,75,5,370,O,O
TWN,1,2000,2,b,80,5,290,O,O
TWN,1,2000,2,b,85,5,190,O,O
TWN,1,2000,2,b,90,5,115,O,O
TWN,1,2000,2,b,95,5,28,O,O
TWN,1,2000,2,b,100,+,6,O,O
TWN,1,2000,2,b,TOT,.,2513,O,O
TWN,1,2000,3,m,0,5,23,O,O
TWN,1,2000,3,m,5,5,2,O,O
TWN,1,2000,3,m,10,5,4,O,O
TWN,1,2000,3,m,15,5,7,O,O
TWN,1,2000,3,m,20,5,19,O,O
TWN,1,2000,3,m,25,5,36,O,O
TWN,1,2000,3,m,30,5,29,O,O
TWN,1,2000,3,m,35,5,57,O,O
TWN,1,2000,3,m,40,5,77,O,O
TWN,1,2000,3,m,45,5,84,O,O
TWN,1,2000,3,m,50,5,72,O,O
TWN,1,2000,3,m,55,5,90,O,O
TWN,1,2000,3,m,60,5,143,O,O
TWN,1,2000,3,m,65,5,151,O,O
TWN,1,2000,3,m,70,5,249,O,O
TWN,1,2000,3,m,75,5,228,O,O
TWN,1,2000,3,m,80,5,174,O,O
TWN,1,2000,3,m,85,5,92,O,O
TWN,1,2000,3,m,90,5,37,O,O
TWN,1,2000,3,m,95,5,12,O,O
TWN,1,2000,3,m,100,+,0,O,O
TWN,1,2000,3,m,TOT,.,1586,O,O
TWN,1,2000,3,f,0,5,29,O,O
TWN,1,2000,3,f,5,5,2,O,O
TWN,1,2000,3,f,10,5,3,O,O
TWN,1,2000,3,f,15,5,4,O,O
TWN,1,2000,3,f,20,5,5,O,O
TWN,1,2000,3,f,25,5,7,O,O
TWN,1,2000,3,f,30,5,7,O,O
TWN,1,2000,3,f,35,5,17,O,O
TWN,1,2000,3,f,40,5,24,O,O
TWN,1,2000,3,f,45,5,27,O,O
TWN,1,2000,3,f,50,5,24,O,O
TWN,1,2000,3,f,55,5,58,O,O
TWN,1,2000,3,f,60,5,68,O,O
TWN,1,2000,3,f,65,5,88,O,O
TWN,1,2000,3,f,70,5,114,O,O
TWN,1,2000,3,f,75,5,147,O,O
TWN,1,2000,3,f,80,5,134,O,O
TWN,1,2000,3,f,85,5,83,O,O
TWN,1,2000,3,f,90,5,54,O,O
TWN,1,2000,3,f,95,5,19,O,O
TWN,1,2000,3,f,100,+,5,O,O
TWN,1,2000,3,f,TOT,.,919,O,O
TWN,1,2000,3,b,0,5,52,O,O
TWN,1,2000,3,b,5,5,4,O,O
TWN,1,2000,3,b,10,5,7,O,O
TWN,1,2000,3,b,15,5,11,O,O
TWN,1,2000,3,b,20,5,24,O,O
TWN,1,2000,3,b,25,5,43,O,O
TWN,1,2000,3,b,30,5,36,O,O
TWN,1,2000,3,b,35,5,74,O,O
TWN,1,2000,3,b,40,5,101,O,O
TWN,1,2000,3,b,45,5,111,O,O
TWN,1,2000,3,b,50,5,96,O,O
TWN,1,2000,3,b,55,5,148,O,O
TWN,1,2000,3,b,60,5,211,O,O
TWN,1,2000,3,b,65,5,239,O,O
TWN,1,2000,3,b,70,5,363,O,O
TWN,1,2000,3,b,75,5,375,O,O
TWN,1,2000,3,b,80,5,308,O,O
TWN,1,2000,3,b,85,5,175,O,O
TWN,1,2000,3,b,90,5,91,O,O
TWN,1,2000,3,b,95,5,31,O,O
TWN,1,2000,3,b,100,+,5,O,O
TWN,1,2000,3,b,TOT,.,2505,O,O
TWN,1,2000,4,m,0,5,29,O,O
TWN,1,2000,4,m,5,5,1,O,O
TWN,1,2000,4,m,10,5,4,O,O
TWN,1,2000,4,m,15,5,23,O,O
TWN,1,2000,4,m,20,5,24,O,O
TWN,1,2000,4,m,25,5,24,O,O
TWN,1,2000,4,m,30,5,35,O,O
TWN,1,2000,4,m,35,5,60,O,O
TWN,1,2000,4,m,40,5,91,O,O
TWN,1,2000,4,m,45,5,80,O,O
TWN,1,2000,4,m,50,5,72,O,O
TWN,1,2000,4,m,55,5,108,O,O
TWN,1,2000,4,m,60,5,108,O,O
TWN,1,2000,4,m,65,5,216,O,O
TWN,1,2000,4,m,70,5,250,O,O
TWN,1,2000,4,m,75,5,242,O,O
TWN,1,2000,4,m,80,5,165,O,O
TWN,1,2000,4,m,85,5,93,O,O
TWN,1,2000,4,m,90,5,51,O,O
TWN,1,2000,4,m,95,5,14,O,O
TWN,1,2000,4,m,100,+,0,O,O
TWN,1,2000,4,m,TOT,.,1690,O,O
TWN,1,2000,4,f,0,5,19,O,O
TWN,1,2000,4,f,5,5,1,O,O
TWN,1,2000,4,f,10,5,4,O,O
TWN,1,2000,4,f,15,5,4,O,O
TWN,1,2000,4,f,20,5,11,O,O
TWN,1,2000,4,f,25,5,8,O,O
TWN,1,2000,4,f,30,5,11,O,O
TWN,1,2000,4,f,35,5,19,O,O
TWN,1,2000,4,f,40,5,20,O,O
TWN,1,2000,4,f,45,5,30,O,O
TWN,1,2000,4,f,50,5,33,O,O
TWN,1,2000,4,f,55,5,39,O,O
TWN,1,2000,4,f,60,5,68,O,O
TWN,1,2000,4,f,65,5,98,O,O
TWN,1,2000,4,f,70,5,125,O,O
TWN,1,2000,4,f,75,5,151,O,O
TWN,1,2000,4,f,80,5,142,O,O
TWN,1,2000,4,f,85,5,89,O,O
TWN,1,2000,4,f,90,5,63,O,O
TWN,1,2000,4,f,95,5,14,O,O
TWN,1,2000,4,f,100,+,5,O,O
TWN,1,2000,4,f,TOT,.,954,O,O
TWN,1,2000,4,b,0,5,48,O,O
TWN,1,2000,4,b,5,5,2,O,O
TWN,1,2000,4,b,10,5,8,O,O
TWN,1,2000,4,b,15,5,27,O,O
TWN,1,2000,4,b,20,5,35,O,O
TWN,1,2000,4,b,25,5,32,O,O
TWN,1,2000,4,b,30,5,46,O,O
TWN,1,2000,4,b,35,5,79,O,O
TWN,1,2000,4,b,40,5,111,O,O
TWN,1,2000,4,b,45,5,110,O,O
TWN,1,2000,4,b,50,5,105,O,O
TWN,1,2000,4,b,55,5,147,O,O
TWN,1,2000,4,b,60,5,176,O,O
TWN,1,2000,4,b,65,5,314,O,O
TWN,1,2000,4,b,70,5,375,O,O
TWN,1,2000,4,b,75,5,393,O,O
TWN,1,2000,4,b,80,5,307,O,O
TWN,1,2000,4,b,85,5,182,O,O
TWN,1,2000,4,b,90,5,114,O,O
TWN,1,2000,4,b,95,5,28,O,O
TWN,1,2000,4,b,100,+,5,O,O
TWN,1,2000,4,b,TOT,.,2644,O,O
TWN,1,2000,5,m,0,5,26,O,O
TWN,1,2000,5,m,5,5,1,O,O
TWN,1,2000,5,m,10,5,4,O,O
TWN,1,2000,5,m,15,5,17,O,O
TWN,1,2000,5,m,20,5,19,O,O
TWN,1,2000,5,m,25,5,21,O,O
TWN,1,2000,5,m,30,5,48,O,O
TWN,1,2000,5,m,35,5,43,O,O
TWN,1,2000,5,m,40,5,84,O,O
TWN,1,2000,5,m,45,5,82,O,O
TWN,1,2000,5,m,50,5,73,O,O
TWN,1,2000,5,m,55,5,85,O,O
TWN,1,2000,5,m,60,5,117,O,O
TWN,1,2000,5,m,65,5,183,O,O
TWN,1,2000,5,m,70,5,229,O,O
TWN,1,2000,5,m,75,5,247,O,O
TWN,1,2000,5,m,80,5,189,O,O
TWN,1,2000,5,m,85,5,118,O,O
TWN,1,2000,5,m,90,5,55,O,O
TWN,1,2000,5,m,95,5,11,O,O
