PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
BEL,1,2000,1,m,0,5,9,O,O
BEL,1,2000,1,m,5,5,0,O,O
BEL,1,2000,1,m,10,5,0,O,O
BEL,1,2000,1,m,15,5,4,O,O
BEL,1,2000,1,m,20,5,9,O,O
BEL,1,2000,1,m,25,5,4,O,O
BEL,1,2000,1,m,30,5,8,O,O
BEL,1,2000,1,m,35,5,10,O,O
BEL,1,2000,1,m,40,5,16,O,O
BEL,1,2000,1,m,45,5,31,O,O
BEL,1,2000,1,m,50,5,63,O,O
BEL,1,2000,1,m,55,5,45,O,O
BEL,1,2000,1,m,60,5,87,O,O
BEL,1,2000,1,m,65,5,154,O,O
BEL,1,2000,1,m,70,5,200,O,O
BEL,1,2000,1,m,75,5,270,O,O
BEL,1,2000,1,m,80,5,179,O,O
BEL,1,2000,1,m,85,5,174,O,O
BEL,1,2000,1,m,90,+,117,O,O
BEL,1,2000,1,m,TOT,.,1380,O,O
BEL,1,2000,1,f,0,5,4,O,O
BEL,1,2000,1,f,5,5,2,O,O
BEL,1,2000,1,f,10,5,3,O,O
BEL,1,2000,1,f,15,5,2,O,O
BEL,1,2000,1,f,20,5,6,O,O
BEL,1,2000,1,f,25,5,4,O,O
BEL,1,2000,1,f,30,5,3,O,O
BEL,1,2000,1,f,35,5,8,O,O
BEL,1,2000,1,f,40,5,10,O,O
BEL,1,2000,1,f,45,5,20,O,O
BEL,1,2000,1,f,50,5,30,O,O
BEL,1,2000,1,f,55,5,37,O,O
BEL,1,2000,1,f,60,5,45,O,O
BEL,1,2000,1,f,65,5,76,O,O
BEL,1,2000,1,f,70,5,110,O,O
BEL,1,2000,1,f,75,5,217,O,O
BEL,1,2000,1,f,80,5,215,O,O
BEL,1,2000,1,f,85,5,307,O,O
BEL,1,2000,1,f,90,+,335,O,O
BEL,1,2000,1,f,TOT,.,1434,O,O
BEL,1,2000,1,b,0,5,13,O,O
BEL,1,2000,1,b,5,5,2,O,O
BEL,1,2000,1,b,10,5,3,O,O
BEL,1,2000,1,b,15,5,6,O,O
BEL,1,2000,1,b,20,5,15,O,O
BEL,1,2000,1,b,25,5,8,O,O
BEL,1,2000,1,b,30,5,11,O,O
BEL,1,2000,1,b,35,5,18,O,O
BEL,1,2000,1,b,40,5,26,O,O
BEL,1,2000,1,b,45,5,51,O,O
BEL,1,2000,1,b,50,5,93,O,O
BEL,1,2000,1,b,55,5,82,O,O
BEL,1,2000,1,b,60,5,132,O,O
BEL,1,2000,1,b,65,5,230,O,O
BEL,1,2000,1,b,70,5,310,O,O
BEL,1,2000,1,b,75,5,487,O,O
BEL,1,2000,1,b,80,5,394,O,O
BEL,1,2000,1,b,85,5,481,O,O
BEL,1,2000,1,b,90,+,452,O,O
BEL,1,2000,1,b,TOT,.,2814,O,O
BEL,1,2000,2,m,0,5,8,O,O
BEL,1,2000,2,m,5,5,1,O,O
BEL,1,2000,2,m,10,5,0,O,O
BEL,1,2000,2,m,15,5,6,O,O
BEL,1,2000,2,m,20,5,7,O,O
BEL,1,2000,2,m,25,5,10,O,O
BEL,1,2000,2,m,30,5,13,O,O
BEL,1,2000,2,m,35,5,20,O,O
BEL,1,2000,2,m,40,5,22,O,O
BEL,1,2000,2,m,45,5,30,O,O
BEL,1,2000,2,m,50,5,45,O,O
BEL,1,2000,2,m,55,5,51,O,O
BEL,1,2000,2,m,60,5,72,O,O
BEL,1,2000,2,m,65,5,140,O,O
BEL,1,2000,2,m,70,5,179,O,O
BEL,1,2000,2,m,75,5,255,O,O
BEL,1,2000,2,m,80,5,203,O,O
BEL,1,2000,2,m,85,5,197,O,O
BEL,1,2000,2,m,90,+,115,O,O
BEL,1,2000,2,m,TOT,.,1374,O,O
BEL,1,2000,2,f,0,5,7,O,O
BEL,1,2000,2,f,5,5,1,O,O
