CY,Week,Ending,Age,NumberOfDeaths,Expected,lowerB,upperB,Excess
2010,1,10.01.2010,0-64,193,195,159,231,
2010,2,17.01.2010,0-64,198,195,159,231,
2010,3,24.01.2010,0-64,191,194,158,230,
2010,4,31.01.2010,0-64,207,194,158,229,
2010,5,07.02.2010,0-64,175,193,157,229,
2010,6,14.02.2010,0-64,179,192,157,228,
2010,7,21.02.2010,0-64,218,192,156,227,
2010,8,28.02.2010,0-64,184,191,155,227,
2010,9,07.03.2010,0-64,179,190,155,226,
2010,10,14.03.2010,0-64,221,190,154,225,
2010,11,21.03.2010,0-64,196,189,154,225,
2010,12,28.03.2010,0-64,200,189,153,224,
2010,13,04.04.2010,0-64,162,188,153,223,
2010,14,11.04.2010,0-64,180,187,152,223,
2010,15,18.04.2010,0-64,158,187,152,222,
2010,16,25.04.2010,0-64,226,186,151,221,226
2010,17,02.05.2010,0-64,176,185,150,221,
2010,18,09.05.2010,0-64,161,185,150,220,
2010,19,16.05.2010,0-64,190,184,149,219,
2010,20,23.05.2010,0-64,193,183,149,218,
2010,21,30.05.2010,0-64,191,183,148,218,
2010,22,06.06.2010,0-64,202,182,148,217,
2010,23,13.06.2010,0-64,189,182,147,217,
2010,24,20.06.2010,0-64,192,182,147,217,
2010,25,27.06.2010,0-64,168,182,147,216,
2010,26,04.07.2010,0-64,189,181,147,216,
2010,27,11.07.2010,0-64,187,181,146,216,
2010,28,18.07.2010,0-64,184,181,146,216,
2010,29,25.07.2010,0-64,170,181,146,216,
2010,30,01.08.2010,0-64,177,181,146,216,
2010,31,08.08.2010,0-64,187,181,146,216,
2010,32,15.08.2010,0-64,172,181,147,216,
2010,33,22.08.2010,0-64,171,181,147,216,
2010,34,29.08.2010,0-64,169,182,147,216,
2010,35,05.09.2010,0-64,176,182,147,216,
2010,36,12.09.2010,0-64,197,182,147,217,
2010,37,19.09.2010,0-64,176,182,147,217,
2010,38,26.09.2010,0-64,186,182,147,217,
2010,39,03.10.2010,0-64,185,182,148,217,
2010,40,10.10.2010,0-64,192,183,148,217,
