country,region,start_date,end_date,population,total_deaths
Germany,Germany,01/01/2016,01/01/2016,83149300,2558
Germany,Germany,02/01/2016,02/01/2016,83149300,2422
Germany,Germany,03/01/2016,03/01/2016,83149300,2522
Germany,Germany,04/01/2016,04/01/2016,83149300,2743
Germany,Germany,05/01/2016,05/01/2016,83149300,2633
Germany,Germany,06/01/2016,06/01/2016,83149300,2578
Germany,Germany,07/01/2016,07/01/2016,83149300,2584
Germany,Germany,08/01/2016,08/01/2016,83149300,2765
Germany,Germany,09/01/2016,09/01/2016,83149300,2579
Germany,Germany,10/01/2016,10/01/2016,83149300,2585
Germany,Germany,11/01/2016,11/01/2016,83149300,2751
Germany,Germany,12/01/2016,12/01/2016,83149300,2627
Germany,Germany,13/01/2016,13/01/2016,83149300,2698
Germany,Germany,14/01/2016,14/01/2016,83149300,2581
Germany,Germany,15/01/2016,15/01/2016,83149300,2657
Germany,Germany,16/01/2016,16/01/2016,83149300,2627
Germany,Germany,17/01/2016,17/01/2016,83149300,2498
Germany,Germany,18/01/2016,18/01/2016,83149300,2624
Germany,Germany,19/01/2016,19/01/2016,83149300,2641
Germany,Germany,20/01/2016,20/01/2016,83149300,2640
Germany,Germany,21/01/2016,21/01/2016,83149300,2685
Germany,Germany,22/01/2016,22/01/2016,83149300,2668
Germany,Germany,23/01/2016,23/01/2016,83149300,2688
Germany,Germany,24/01/2016,24/01/2016,83149300,2681
Germany,Germany,25/01/2016,25/01/2016,83149300,2777
Germany,Germany,26/01/2016,26/01/2016,83149300,2679
Germany,Germany,27/01/2016,27/01/2016,83149300,2691
Germany,Germany,28/01/2016,28/01/2016,83149300,2639
Germany,Germany,29/01/2016,29/01/2016,83149300,2755
Germany,Germany,30/01/2016,30/01/2016,83149300,2650
Germany,Germany,31/01/2016,31/01/2016,83149300,2516
Germany,Germany,01/02/2016,01/02/2016,83149300,2683
Germany,Germany,02/02/2016,02/02/2016,83149300,2745
Germany,Germany,03/02/2016,03/02/2016,83149300,2518
Germany,Germany,04/02/2016,04/02/2016,83149300,2579
Germany,Germany,05/02/2016,05/02/2016,83149300,2649
Germany,Germany,06/02/2016,06/02/2016,83149300,2700
Germany,Germany,07/02/2016,07/02/2016,83149300,2619
Germany,Germany,08/02/2016,08/02/2016,83149300,2663
Germany,Germany,09/02/2016,09/02/2016,83149300,2640
Germany,Germany,10/02/2016,10/02/2016,83149300,2751
Germany,Germany,11/02/2016,11/02/2016,83149300,2594
Germany,Germany,12/02/2016,12/02/2016,83149300,2620
Germany,Germany,13/02/2016,13/02/2016,83149300,2701
Germany,Germany,14/02/2016,14/02/2016,83149300,2572
Germany,Germany,15/02/2016,15/02/2016,83149300,2643
