country,region,start_date,end_date,week,population,total_deaths
Norway,Norway,03/09/2015,09/09/2015,36,5367580,745
Norway,Norway,10/09/2015,16/09/2015,37,5367580,712
Norway,Norway,17/09/2015,23/09/2015,38,5367580,750
Norway,Norway,24/09/2015,30/09/2015,39,5367580,709
Norway,Norway,01/10/2015,07/10/2015,40,5367580,766
Norway,Norway,08/10/2015,14/10/2015,41,5367580,752
Norway,Norway,15/10/2015,21/10/2015,42,5367580,741
Norway,Norway,22/10/2015,28/10/2015,43,5367580,752
Norway,Norway,29/10/2015,04/11/2015,44,5367580,745
Norway,Norway,05/11/2015,11/11/2015,45,5367580,748
Norway,Norway,12/11/2015,18/11/2015,46,5367580,753
Norway,Norway,19/11/2015,25/11/2015,47,5367580,745
Norway,Norway,26/11/2015,02/12/2015,48,5367580,831
Norway,Norway,03/12/2015,09/12/2015,49,5367580,804
Norway,Norway,10/12/2015,16/12/2015,50,5367580,816
Norway,Norway,17/12/2015,23/12/2015,51,5367580,786
Norway,Norway,24/12/2015,30/12/2015,52,5367580,833
Norway,Norway,01/01/2016,07/01/2016,1,5367580,870
Norway,Norway,08/01/2016,14/01/2016,2,5367580,864
Norway,Norway,15/01/2016,21/01/2016,3,5367580,939
Norway,Norway,22/01/2016,28/01/2016,4,5367580,937
Norway,Norway,29/01/2016,04/02/2016,5,5367580,881
Norway,Norway,05/02/2016,11/02/2016,6,5367580,852
Norway,Norway,12/02/2016,18/02/2016,7,5367580,826
Norway,Norway,19/02/2016,25/02/2016,8,5367580,764
Norway,Norway,26/02/2016,03/03/2016,9,5367580,873
Norway,Norway,04/03/2016,10/03/2016,10,5367580,762
Norway,Norway,11/03/2016,17/03/2016,11,5367580,798
Norway,Norway,18/03/2016,24/03/2016,12,5367580,802
Norway,Norway,25/03/2016,31/03/2016,13,5367580,759
Norway,Norway,01/04/2016,07/04/2016,14,5367580,802
Norway,Norway,08/04/2016,14/04/2016,15,5367580,773
Norway,Norway,15/04/2016,21/04/2016,16,5367580,756
Norway,Norway,22/04/2016,28/04/2016,17,5367580,755
Norway,Norway,29/04/2016,05/05/2016,18,5367580,748
Norway,Norway,06/05/2016,12/05/2016,19,5367580,711
Norway,Norway,13/05/2016,19/05/2016,20,5367580,776
Norway,Norway,20/05/2016,26/05/2016,21,5367580,713
Norway,Norway,27/05/2016,02/06/2016,22,5367580,679
Norway,Norway,03/06/2016,09/06/2016,23,5367580,669
Norway,Norway,10/06/2016,16/06/2016,24,5367580,729
Norway,Norway,17/06/2016,23/06/2016,25,5367580,725
Norway,Norway,24/06/2016,30/06/2016,26,5367580,678
Norway,Norway,01/07/2016,07/07/2016,27,5367580,756
Norway,Norway,08/07/2016,14/07/2016,28,5367580,734
Norway,Norway,15/07/2016,21/07/2016,29,5367580,685
Norway,Norway,22/07/2016,28/07/2016,30,5367580,721
Norway,Norway,29/07/2016,04/08/2016,31,5367580,709
Norway,Norway,05/08/2016,11/08/2016,32,5367580,739
Norway,Norway,12/08/2016,18/08/2016,33,5367580,717
Norway,Norway,19/08/2016,25/08/2016,34,5367580,684
Norway,Norway,26/08/2016,01/09/2016,35,5367580,723
Norway,Norway,02/09/2016,08/09/2016,36,5367580,759
Norway,Norway,09/09/2016,15/09/2016,37,5367580,714
Norway,Norway,16/09/2016,22/09/2016,38,5367580,681
Norway,Norway,23/09/2016,29/09/2016,39,5367580,740
Norway,Norway,30/09/2016,06/10/2016,40,5367580,741
Norway,Norway,07/10/2016,13/10/2016,41,5367580,731
Norway,Norway,14/10/2016,20/10/2016,42,5367580,786
Norway,Norway,21/10/2016,27/10/2016,43,5367580,773
Norway,Norway,28/10/2016,03/11/2016,44,5367580,688
Norway,Norway,04/11/2016,10/11/2016,45,5367580,810
Norway,Norway,11/11/2016,17/11/2016,46,5367580,818
Norway,Norway,18/11/2016,24/11/2016,47,5367580,855
Norway,Norway,25/11/2016,01/12/2016,48,5367580,789
Norway,Norway,02/12/2016,08/12/2016,49,5367580,819
Norway,Norway,09/12/2016,15/12/2016,50,5367580,918
Norway,Norway,16/12/2016,22/12/2016,51,5367580,923
Norway,Norway,23/12/2016,29/12/2016,52,5367580,982
Norway,Norway,01/01/2017,07/01/2017,1,5367580,1006
Norway,Norway,08/01/2017,14/01/2017,2,5367580,1048
Norway,Norway,15/01/2017,21/01/2017,3,5367580,928
Norway,Norway,22/01/2017,28/01/2017,4,5367580,866
Norway,Norway,29/01/2017,04/02/2017,5,5367580,914
Norway,Norway,05/02/2017,11/02/2017,6,5367580,823
Norway,Norway,12/02/2017,18/02/2017,7,5367580,845
Norway,Norway,19/02/2017,25/02/2017,8,5367580,898
Norway,Norway,26/02/2017,04/03/2017,9,5367580,863
Norway,Norway,05/03/2017,11/03/2017,10,5367580,822
Norway,Norway,12/03/2017,18/03/2017,11,5367580,804
Norway,Norway,19/03/2017,25/03/2017,12,5367580,788
Norway,Norway,26/03/2017,01/04/2017,13,5367580,756
Norway,Norway,02/04/2017,08/04/2017,14,5367580,809
Norway,Norway,09/04/2017,15/04/2017,15,5367580,776
Norway,Norway,16/04/2017,22/04/2017,16,5367580,757
Norway,Norway,23/04/2017,29/04/2017,17,5367580,816
Norway,Norway,30/04/2017,06/05/2017,18,5367580,745
Norway,Norway,07/05/2017,13/05/2017,19,5367580,733
Norway,Norway,14/05/2017,20/05/2017,20,5367580,694
Norway,Norway,21/05/2017,27/05/2017,21,5367580,735
Norway,Norway,28/05/2017,03/06/2017,22,5367580,688
Norway,Norway,04/06/2017,10/06/2017,23,5367580,724
Norway,Norway,11/06/2017,17/06/2017,24,5367580,732
Norway,Norway,18/06/2017,24/06/2017,25,5367580,757
Norway,Norway,25/06/2017,01/07/2017,26,5367580,733
Norway,Norway,02/07/2017,08/07/2017,27,5367580,756
Norway,Norway,09/07/2017,15/07/2017,28,5367580,694
