country,region,start_date,end_date,population,total_deaths
Turkey,Istanbul,01/01/2017,01/01/2017,15519267,286
Turkey,Istanbul,02/01/2017,02/01/2017,15519267,296
Turkey,Istanbul,03/01/2017,03/01/2017,15519267,273
Turkey,Istanbul,04/01/2017,04/01/2017,15519267,278
Turkey,Istanbul,05/01/2017,05/01/2017,15519267,273
Turkey,Istanbul,06/01/2017,06/01/2017,15519267,277
Turkey,Istanbul,07/01/2017,07/01/2017,15519267,269
Turkey,Istanbul,08/01/2017,08/01/2017,15519267,274
Turkey,Istanbul,09/01/2017,09/01/2017,15519267,294
Turkey,Istanbul,10/01/2017,10/01/2017,15519267,299
Turkey,Istanbul,11/01/2017,11/01/2017,15519267,295
Turkey,Istanbul,12/01/2017,12/01/2017,15519267,266
Turkey,Istanbul,13/01/2017,13/01/2017,15519267,282
Turkey,Istanbul,14/01/2017,14/01/2017,15519267,247
Turkey,Istanbul,15/01/2017,15/01/2017,15519267,254
Turkey,Istanbul,16/01/2017,16/01/2017,15519267,263
Turkey,Istanbul,17/01/2017,17/01/2017,15519267,282
Turkey,Istanbul,18/01/2017,18/01/2017,15519267,275
Turkey,Istanbul,19/01/2017,19/01/2017,15519267,258
Turkey,Istanbul,20/01/2017,20/01/2017,15519267,262
Turkey,Istanbul,21/01/2017,21/01/2017,15519267,230
Turkey,Istanbul,22/01/2017,22/01/2017,15519267,257
Turkey,Istanbul,23/01/2017,23/01/2017,15519267,268
Turkey,Istanbul,24/01/2017,24/01/2017,15519267,261
Turkey,Istanbul,25/01/2017,25/01/2017,15519267,270
Turkey,Istanbul,26/01/2017,26/01/2017,15519267,267
Turkey,Istanbul,27/01/2017,27/01/2017,15519267,248
Turkey,Istanbul,28/01/2017,28/01/2017,15519267,229
Turkey,Istanbul,29/01/2017,29/01/2017,15519267,224
Turkey,Istanbul,30/01/2017,30/01/2017,15519267,215
Turkey,Istanbul,31/01/2017,31/01/2017,15519267,244
Turkey,Istanbul,01/02/2017,01/02/2017,15519267,211
Turkey,Istanbul,02/02/2017,02/02/2017,15519267,236
Turkey,Istanbul,03/02/2017,03/02/2017,15519267,212
Turkey,Istanbul,04/02/2017,04/02/2017,15519267,249
Turkey,Istanbul,05/02/2017,05/02/2017,15519267,227
Turkey,Istanbul,06/02/2017,06/02/2017,15519267,214
Turkey,Istanbul,07/02/2017,07/02/2017,15519267,246
Turkey,Istanbul,08/02/2017,08/02/2017,15519267,255
Turkey,Istanbul,09/02/2017,09/02/2017,15519267,224
Turkey,Istanbul,10/02/2017,10/02/2017,15519267,237
Turkey,Istanbul,11/02/2017,11/02/2017,15519267,205
Turkey,Istanbul,12/02/2017,12/02/2017,15519267,185
Turkey,Istanbul,13/02/2017,13/02/2017,15519267,246
Turkey,Istanbul,14/02/2017,14/02/2017,15519267,209
Turkey,Istanbul,15/02/2017,15/02/2017,15519267,237
Turkey,Istanbul,16/02/2017,16/02/2017,15519267,229
Turkey,Istanbul,17/02/2017,17/02/2017,15519267,212
Turkey,Istanbul,18/02/2017,18/02/2017,15519267,190
Turkey,Istanbul,19/02/2017,19/02/2017,15519267,229
Turkey,Istanbul,20/02/2017,20/02/2017,15519267,220
Turkey,Istanbul,21/02/2017,21/02/2017,15519267,229
Turkey,Istanbul,22/02/2017,22/02/2017,15519267,233
Turkey,Istanbul,23/02/2017,23/02/2017,15519267,208
Turkey,Istanbul,24/02/2017,24/02/2017,15519267,214
Turkey,Istanbul,25/02/2017,25/02/2017,15519267,203
Turkey,Istanbul,26/02/2017,26/02/2017,15519267,190
Turkey,Istanbul,27/02/2017,27/02/2017,15519267,198
Turkey,Istanbul,28/02/2017,28/02/2017,15519267,240
Turkey,Istanbul,01/03/2017,01/03/2017,15519267,221.5
Turkey,Istanbul,02/03/2017,02/03/2017,15519267,203
Turkey,Istanbul,03/03/2017,03/03/2017,15519267,232
Turkey,Istanbul,04/03/2017,04/03/2017,15519267,203
Turkey,Istanbul,05/03/2017,05/03/2017,15519267,211
Turkey,Istanbul,06/03/2017,06/03/2017,15519267,186
Turkey,Istanbul,07/03/2017,07/03/2017,15519267,234
Turkey,Istanbul,08/03/2017,08/03/2017,15519267,213
Turkey,Istanbul,09/03/2017,09/03/2017,15519267,203
Turkey,Istanbul,10/03/2017,10/03/2017,15519267,213
Turkey,Istanbul,11/03/2017,11/03/2017,15519267,227
Turkey,Istanbul,12/03/2017,12/03/2017,15519267,190
Turkey,Istanbul,13/03/2017,13/03/2017,15519267,189
Turkey,Istanbul,14/03/2017,14/03/2017,15519267,211
Turkey,Istanbul,15/03/2017,15/03/2017,15519267,202
Turkey,Istanbul,16/03/2017,16/03/2017,15519267,216
Turkey,Istanbul,17/03/2017,17/03/2017,15519267,197
Turkey,Istanbul,18/03/2017,18/03/2017,15519267,236
Turkey,Istanbul,19/03/2017,19/03/2017,15519267,204
Turkey,Istanbul,20/03/2017,20/03/2017,15519267,194
Turkey,Istanbul,21/03/2017,21/03/2017,15519267,241
Turkey,Istanbul,22/03/2017,22/03/2017,15519267,230
Turkey,Istanbul,23/03/2017,23/03/2017,15519267,203
Turkey,Istanbul,24/03/2017,24/03/2017,15519267,207
Turkey,Istanbul,25/03/2017,25/03/2017,15519267,212
Turkey,Istanbul,26/03/2017,26/03/2017,15519267,210
Turkey,Istanbul,27/03/2017,27/03/2017,15519267,185
Turkey,Istanbul,28/03/2017,28/03/2017,15519267,219
Turkey,Istanbul,29/03/2017,29/03/2017,15519267,192
Turkey,Istanbul,30/03/2017,30/03/2017,15519267,210
Turkey,Istanbul,31/03/2017,31/03/2017,15519267,193
Turkey,Istanbul,01/04/2017,01/04/2017,15519267,213
Turkey,Istanbul,02/04/2017,02/04/2017,15519267,173
Turkey,Istanbul,03/04/2017,03/04/2017,15519267,231
Turkey,Istanbul,04/04/2017,04/04/2017,15519267,217
Turkey,Istanbul,05/04/2017,05/04/2017,15519267,210
Turkey,Istanbul,06/04/2017,06/04/2017,15519267,182
Turkey,Istanbul,07/04/2017,07/04/2017,15519267,209
Turkey,Istanbul,08/04/2017,08/04/2017,15519267,183
Turkey,Istanbul,09/04/2017,09/04/2017,15519267,212
Turkey,Istanbul,10/04/2017,10/04/2017,15519267,205
Turkey,Istanbul,11/04/2017,11/04/2017,15519267,243
Turkey,Istanbul,12/04/2017,12/04/2017,15519267,209
Turkey,Istanbul,13/04/2017,13/04/2017,15519267,213
Turkey,Istanbul,14/04/2017,14/04/2017,15519267,199
Turkey,Istanbul,15/04/2017,15/04/2017,15519267,226
Turkey,Istanbul,16/04/2017,16/04/2017,15519267,204
Turkey,Istanbul,17/04/2017,17/04/2017,15519267,195
Turkey,Istanbul,18/04/2017,18/04/2017,15519267,232
Turkey,Istanbul,19/04/2017,19/04/2017,15519267,188
Turkey,Istanbul,20/04/2017,20/04/2017,15519267,204
Turkey,Istanbul,21/04/2017,21/04/2017,15519267,195
Turkey,Istanbul,22/04/2017,22/04/2017,15519267,191
Turkey,Istanbul,23/04/2017,23/04/2017,15519267,201
Turkey,Istanbul,24/04/2017,24/04/2017,15519267,188
Turkey,Istanbul,25/04/2017,25/04/2017,15519267,201
Turkey,Istanbul,26/04/2017,26/04/2017,15519267,216
Turkey,Istanbul,27/04/2017,27/04/2017,15519267,180
Turkey,Istanbul,28/04/2017,28/04/2017,15519267,218
Turkey,Istanbul,29/04/2017,29/04/2017,15519267,215
Turkey,Istanbul,30/04/2017,30/04/2017,15519267,190
Turkey,Istanbul,01/05/2017,01/05/2017,15519267,209
Turkey,Istanbul,02/05/2017,02/05/2017,15519267,187
Turkey,Istanbul,03/05/2017,03/05/2017,15519267,220
Turkey,Istanbul,04/05/2017,04/05/2017,15519267,179
Turkey,Istanbul,05/05/2017,05/05/2017,15519267,188
Turkey,Istanbul,06/05/2017,06/05/2017,15519267,182
Turkey,Istanbul,07/05/2017,07/05/2017,15519267,185
Turkey,Istanbul,08/05/2017,08/05/2017,15519267,219
Turkey,Istanbul,09/05/2017,09/05/2017,15519267,189
Turkey,Istanbul,10/05/2017,10/05/2017,15519267,214
Turkey,Istanbul,11/05/2017,11/05/2017,15519267,182
Turkey,Istanbul,12/05/2017,12/05/2017,15519267,161
Turkey,Istanbul,13/05/2017,13/05/2017,15519267,207
Turkey,Istanbul,14/05/2017,14/05/2017,15519267,201
Turkey,Istanbul,15/05/2017,15/05/2017,15519267,187
Turkey,Istanbul,16/05/2017,16/05/2017,15519267,220
Turkey,Istanbul,17/05/2017,17/05/2017,15519267,190
Turkey,Istanbul,18/05/2017,18/05/2017,15519267,186
Turkey,Istanbul,19/05/2017,19/05/2017,15519267,180
Turkey,Istanbul,20/05/2017,20/05/2017,15519267,182
Turkey,Istanbul,21/05/2017,21/05/2017,15519267,194
Turkey,Istanbul,22/05/2017,22/05/2017,15519267,202
Turkey,Istanbul,23/05/2017,23/05/2017,15519267,208
Turkey,Istanbul,24/05/2017,24/05/2017,15519267,221
Turkey,Istanbul,25/05/2017,25/05/2017,15519267,197
Turkey,Istanbul,26/05/2017,26/05/2017,15519267,182
Turkey,Istanbul,27/05/2017,27/05/2017,15519267,214
Turkey,Istanbul,28/05/2017,28/05/2017,15519267,193
Turkey,Istanbul,29/05/2017,29/05/2017,15519267,188
Turkey,Istanbul,30/05/2017,30/05/2017,15519267,219
Turkey,Istanbul,31/05/2017,31/05/2017,15519267,202
Turkey,Istanbul,01/06/2017,01/06/2017,15519267,190
Turkey,Istanbul,02/06/2017,02/06/2017,15519267,179
Turkey,Istanbul,03/06/2017,03/06/2017,15519267,208
Turkey,Istanbul,04/06/2017,04/06/2017,15519267,171
Turkey,Istanbul,05/06/2017,05/06/2017,15519267,183
Turkey,Istanbul,06/06/2017,06/06/2017,15519267,172
Turkey,Istanbul,07/06/2017,07/06/2017,15519267,168
Turkey,Istanbul,08/06/2017,08/06/2017,15519267,179
Turkey,Istanbul,09/06/2017,09/06/2017,15519267,190
Turkey,Istanbul,10/06/2017,10/06/2017,15519267,178
Turkey,Istanbul,11/06/2017,11/06/2017,15519267,188
Turkey,Istanbul,12/06/2017,12/06/2017,15519267,191
Turkey,Istanbul,13/06/2017,13/06/2017,15519267,178
Turkey,Istanbul,14/06/2017,14/06/2017,15519267,198
Turkey,Istanbul,15/06/2017,15/06/2017,15519267,209
Turkey,Istanbul,16/06/2017,16/06/2017,15519267,164
