date,object_id,cod_istatn,nome_com,nome_pro,positivi,deceduti,totale
2020-04-09,87,03097042,LECCO,LECCO,232,44,276
2020-04-09,88,03017152,PRALBOINO,BRESCIA,20,4,24
2020-04-09,89,03018007,BAGNARIA,PAVIA,1,0,1
2020-04-09,90,03020045,PORTO MANTOVANO,MANTOVA,30,4,34
2020-04-09,91,03016248,ALGUA,BERGAMO,5,1,6
2020-04-09,92,03017029,BRESCIA,BRESCIA,"1,230",285,"1,515"
2020-04-09,93,03016008,ALZANO LOMBARDO,BERGAMO,117,62,179
2020-04-09,94,03012125,TAINO,VARESE,3,0,3
2020-04-09,95,03017090,LODRINO,BRESCIA,8,4,12
2020-04-09,96,03012136,VENEGONO INFERIORE,VARESE,8,1,9
2020-04-09,98,03098010,CASALPUSTERLENGO,LODI,146,40,186
2020-04-09,99,03016139,MONTELLO,BERGAMO,20,8,28
2020-04-09,100,03017093,LONGHENA,BRESCIA,9,1,10
2020-04-09,101,03016184,RONCOBELLO,BERGAMO,1,0,1
2020-04-09,102,03019055,MADIGNANO,CREMONA,18,8,26
2020-04-09,103,03017073,GAMBARA,BRESCIA,27,2,29
2020-04-09,104,03098040,MONTANASO LOMBARDO,LODI,17,1,18
2020-04-09,105,03017111,MONTE ISOLA,BRESCIA,13,2,15
2020-04-09,106,03012027,CADEGLIANO - VICONAGO,VARESE,7,0,7
2020-04-09,107,03012071,GALLIATE LOMBARDO,VARESE,1,0,1
2020-04-09,108,03019010,CAMISANO,CREMONA,13,2,15
2020-04-09,49,03018175,VERRUA PO,PAVIA,2,4,6
2020-04-09,50,03017026,BRANDICO,BRESCIA,7,3,10
2020-04-09,51,03012002,ALBIZZATE,VARESE,6,1,7
2020-04-09,54,03016094,ENTRATICO,BERGAMO,9,3,12
2020-04-09,55,03017066,DELLO,BRESCIA,35,7,42
2020-04-09,56,03017189,TREMOSINE SUL GARDA,BRESCIA,2,2,4
2020-04-09,110,03016010,ANTEGNATE,BERGAMO,7,4,11
2020-04-09,111,03098030,LIVRAGA,LODI,16,8,24
2020-04-09,112,03108044,USMATE VELATE,MONZA E DELLA BRIANZA,20,4,24
2020-04-09,113,03014043,MESE,SONDRIO,3,0,3
2020-04-09,114,03013074,COLONNO,COMO,2,1,3
2020-04-09,115,03098005,BORGO SAN GIOVANNI,LODI,14,0,14
2020-04-09,116,03014037,LIVIGNO,SONDRIO,22,3,25
2020-04-09,117,03017099,MAIRANO,BRESCIA,14,2,16
2020-04-09,158,03016232,VERDELLINO,BERGAMO,46,13,59
2020-04-09,160,03017109,MONIGA DEL GARDA,BRESCIA,14,4,18
2020-04-09,164,03012131,VALGANNA,VARESE,1,0,1
2020-04-09,165,03018156,TORRE BERETTI E CASTELLARO,PAVIA,3,1,4
2020-04-09,166,03013154,MONTANO LUCINO,COMO,10,2,12
2020-04-09,167,03097083,VALMADRERA,LECCO,39,8,47
2020-04-09,169,03016149,ONORE,BERGAMO,11,2,13
2020-04-09,171,03016080,COLZATE,BERGAMO,14,7,21
2020-04-09,172,03013137,LURAGO MARINONE,COMO,3,0,3
2020-04-09,173,03017123,OME,BRESCIA,25,6,31
2020-04-09,118,03017008,AZZANO MELLA,BRESCIA,17,5,22
2020-04-09,119,03016002,ADRARA SAN ROCCO,BERGAMO,1,0,1
2020-04-09,120,03014009,BORMIO,SONDRIO,19,6,25
2020-04-09,121,03097026,COSTA MASNAGA,LECCO,18,6,24
2020-04-09,122,03016196,SEDRINA,BERGAMO,20,11,31
2020-04-09,123,03012090,LONATE POZZOLO,VARESE,17,0,17
2020-04-09,124,03012008,BARASSO,VARESE,1,0,1
2020-04-09,125,03017034,CALVISANO,BRESCIA,36,16,52
2020-04-09,126,03012107,OGGIONA CON SANTO STEFANO,VARESE,3,0,3
2020-04-09,127,03020070,VOLTA MANTOVANA,MANTOVA,91,14,105
2020-04-09,128,03016113,GHISALBA,BERGAMO,22,10,32
2020-04-09,129,03016237,VIGOLO,BERGAMO,7,3,10
2020-04-09,130,03108010,BOVISIO MASCIAGO,MONZA E DELLA BRIANZA,37,3,40
2020-04-09,131,03018034,CASORATE PRIMO,PAVIA,21,5,26
2020-04-09,132,03018003,ALBONESE,PAVIA,1,3,4
